SEASON,SEASON_TYPE,GAME_ID,TEAM_ABB,Q1,Q2,Q3,Q4,OT1,OT2,OT3,OT4,FINAL,PITP,FB_PTS,BIG_LD,BPTS,TREB,TOV,TTOV,POT,LEAD_CHANGES,TIMES_TIED
2015-16,pre-season,0011500106,PHI,17,23,13,12,0,0,0,0,65,42,11,1,26,10,23,0,16,1,1
2015-16,pre-season,0011500106,BOS,24,19,20,18,0,0,0,0,81,42,11,19,57,8,17,1,10,1,1
2015-16,pre-season,0011500104,MIA,26,28,9,27,0,0,0,0,90,34,4,12,44,8,16,1,7,9,11
2015-16,pre-season,0011500104,NOP,23,25,18,27,0,0,0,0,93,16,7,7,28,12,14,0,17,9,11
2015-16,pre-season,0011500103,DAL,28,25,24,25,0,0,0,0,102,32,9,9,52,4,12,0,20,13,7
2015-16,pre-season,0011500103,CHI,32,17,25,29,0,0,0,0,103,40,17,9,58,4,12,1,18,13,7
2015-16,pre-season,0011500105,MIL,28,25,30,25,0,0,0,0,108,38,17,5,57,11,13,1,10,10,11
2015-16,pre-season,0011500105,MIN,30,26,27,29,0,0,0,0,112,38,19,11,53,8,13,0,16,10,11
2015-16,pre-season,0011500102,MEM,18,21,24,13,0,0,0,0,76,22,5,5,40,10,19,0,9,8,3
2015-16,pre-season,0011500102,ORL,26,16,25,19,0,0,0,0,86,38,18,16,52,7,17,0,24,8,3
2015-16,pre-season,0011500109,HOU,30,25,15,16,0,0,0,0,86,38,23,8,42,8,13,0,13,4,6
2015-16,pre-season,0011500109,SAS,30,28,27,26,0,0,0,0,111,34,11,28,50,9,11,1,17,4,6
2015-16,pre-season,0011500107,WAS,28,17,19,18,0,0,0,0,82,36,16,10,33,11,16,2,10,9,3
2015-16,pre-season,0011500107,TOR,21,25,29,17,0,0,0,0,92,36,5,13,30,6,11,0,14,9,3
2015-16,pre-season,0011500108,ATL,20,26,22,19,0,0,0,0,87,34,10,3,54,8,21,0,10,1,0
2015-16,pre-season,0011500108,DET,30,29,26,30,0,0,0,0,115,46,11,30,44,4,14,0,21,1,0
2015-16,pre-season,0011500100,NYK,23,20,26,16,0,0,0,0,85,36,8,3,35,6,15,2,14,3,4
2015-16,pre-season,0011500100,BOS,29,26,19,25,0,0,0,0,99,48,10,19,48,15,13,1,17,3,4
2015-16,pre-season,0011500101,POR,45,27,17,20,0,0,0,0,109,44,26,35,29,9,17,0,19,3,1
2015-16,pre-season,0011500101,LAC,17,37,26,35,0,0,0,0,115,38,30,8,52,6,24,0,16,3,1
2015-16,pre-season,0011500099,GSW,39,33,40,24,0,0,0,0,136,50,21,43,51,9,18,1,27,2,1
2015-16,pre-season,0011500099,LAL,29,21,24,23,0,0,0,0,97,34,14,3,55,7,22,1,25,2,1
2015-16,pre-season,0011500097,CHA,28,18,20,20,0,0,0,0,86,30,6,7,29,9,9,0,14,6,9
2015-16,pre-season,0011500097,IND,24,20,26,28,0,0,0,0,98,42,29,13,48,6,9,1,10,6,9
2015-16,pre-season,0011500098,DEN,16,21,21,20,0,0,0,0,78,30,20,0,31,9,15,1,22,0,0
2015-16,pre-season,0011500098,UTA,27,25,21,25,0,0,0,0,98,40,15,27,51,8,16,0,21,0,0
2015-16,pre-season,0011500095,MEM,7,26,25,24,0,0,0,0,82,28,10,13,27,12,14,0,15,3,1
2015-16,pre-season,0011500095,ATL,24,13,18,26,0,0,0,0,81,34,18,17,15,7,15,1,9,3,1
2015-16,pre-season,0011500094,PHX,20,23,27,29,0,0,0,0,99,48,11,15,49,13,16,0,21,2,3
2015-16,pre-season,0011500094,DAL,31,25,16,15,0,0,0,0,87,42,14,16,31,12,20,1,15,2,3
2015-16,pre-season,0011500096,WAS,29,23,29,24,0,0,0,0,105,48,20,16,30,6,18,0,11,13,3
2015-16,pre-season,0011500096,MIA,17,36,19,38,0,0,0,0,110,46,11,5,67,9,9,1,18,13,3
2015-16,pre-season,0011500092,NOP,21,37,21,22,6,0,0,0,107,28,13,13,42,11,22,0,20,12,9
2015-16,pre-season,0011500092,ORL,29,19,27,26,9,0,0,0,110,44,10,10,44,11,18,1,18,12,9
2015-16,pre-season,0011500093,CHA,21,27,22,29,0,0,0,0,99,20,9,5,38,5,15,0,15,10,3
