SEASON,SEASON_TYPE,LINEUP,TEAM_ABB,GROUP_NAME,TEAM_ABBREVIATION,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
2016-17,All+Star,L. James - D. DeRozan - K. Irving - J. Butler - G. Antetokounmpo,EST,1,12,138.5,115.8,22.7,65.2,3.00,27.3,-,62.5,-,0.1,81.3,82.1,152.10,61.9,0,0
2016-17,All+Star,B. Armstrong - W. Butler - P. Rosenberg - L. Whalen - J. Williams,EST,1,11,105.0,50.0,55.0,44.4,2.00,15.4,-,-,-,0.1,52.6,54.0,87.54,110.0,0,0
2016-17,All+Star,D. Exum - D. Saric - N. Jokic - K. Porzingis - B. Hield,WLD,1,11,132.3,113.3,18.9,52.9,2.25,19.1,-,-,-,0.1,61.7,62.0,138.11,58.7,0,0
2016-17,All+Star,D. Russell - K. Towns - D. Booker - M. Turner - M. Chriss,USA,1,11,120.0,160.0,-40.0,50.0,1.60,19.0,-,-,-,0.2,64.3,64.3,130.71,38.0,0,0
2016-17,All+Star,K. Durant - J. Harden - S. Curry - K. Leonard - A. Davis,WST,1,11,123.1,126.3,-3.2,71.4,2.14,25.9,28.6,-,-,0.2,68.6,68.6,164.75,47.6,0,0
2016-17,All+Star,K. Durant - M. Gasol - J. Harden - S. Curry - A. Davis,WST,1,10,113.3,110.0,3.3,73.3,3.67,23.9,-,-,-,0.1,55.0,55.1,140.26,50.3,0,0
2016-17,All+Star,J. Simmons - J. Okafor - F. Kaminsky - B. Ingram - M. Brogdon,USA,1,9,115.4,116.0,-0.6,28.6,1.00,11.1,-,-,-,0.2,57.7,55.8,136.25,46.6,0,0
2016-17,All+Star,K. Lowry - P. Millsap - J. Wall - P. George - I. Thomas,EST,1,8,133.3,125.9,7.4,53.3,2.00,21.6,30.0,-,-,0.1,72.0,72.0,166.87,51.5,0,0
2016-17,All+Star,D. Saric - N. Jokic - K. Porzingis - B. Hield - J. Murray,WLD,1,7,163.2,150.0,13.2,50.0,2.00,19.4,-,-,-,0.2,68.2,69.1,129.64,55.3,0,0
2016-17,All+Star,K. Towns - D. Booker - M. Turner - M. Chriss - M. Brogdon,USA,1,7,120.0,163.2,-43.2,20.0,0.40,8.3,-,-,-,0.3,61.8,63.5,128.51,39.8,0,0
2016-17,All+Star,J. Simmons - J. Okafor - D. Russell - F. Kaminsky - B. Ingram,USA,1,6,191.7,136.4,55.3,44.4,4.00,25.0,-,-,-,0.1,104.5,96.8,98.87,62.5,0,0
2016-17,All+Star,M. Gasol - R. Westbrook - J. Harden - G. Hayward - A. Davis,WST,1,6,150.0,136.8,13.2,61.5,4.00,26.7,-,-,-,0.1,78.9,78.9,145.49,60.5,0,0
2016-17,All+Star,R. Westbrook - D. Jordan - G. Hayward - K. Thompson - D. Green,WST,1,6,147.4,123.8,23.6,72.7,4.00,28.6,-,85.7,-,0.1,76.5,78.3,158.24,55.2,0,0
2016-17,All+Star,A. Abrines - T. Lyles - W. Hernangomez - D. Sabonis - J. Murray,WLD,1,5,115.4,128.6,-13.2,66.7,2.00,16.7,-,-,-,0.2,62.5,62.5,119.26,38.5,0,0
2016-17,All+Star,B. Armstrong - A. Elgort - O. Schmidt - L. Whalen - J. Williams,EST,1,5,141.7,63.6,78.0,28.6,1.00,11.8,-,-,-,0.2,70.8,70.8,104.48,87.8,0,0
2016-17,All+Star,C. Anthony - K. Lowry - J. Wall - K. Walker - I. Thomas,EST,1,5,133.3,143.8,-10.4,25.0,0.67,10.5,-,-,-,0.2,69.2,72.0,147.33,41.3,0,0
2016-17,All+Star,L. James - C. Anthony - K. Walker - J. Butler - G. Antetokounmpo,EST,1,5,75.0,126.7,-51.7,33.3,0.67,11.1,-,-,-,0.2,50.0,50.0,144.00,33.3,0,0
2016-17,All+Star,M. Cuban - A. Mackie - R. Miller - H. Minhaj -  . Master P,WST,1,5,66.7,100.0,-33.3,100,2.00,11.1,-,-,-,0.1,20.0,31.6,127.53,10.5,0,0
2016-17,All+Star,M. Cuban - B. Davis - R. Miller -  . Master P - C. Parker,WST,1,5,44.4,66.7,-22.2,0.0,0.00,0.0,-,-,-,0.0,10.0,17.0,81.00,-42.9,0,0
2016-17,All+Star,M. Gasol - R. Westbrook - G. Hayward - K. Thompson - D. Green,WST,1,5,117.6,118.8,-1.1,77.8,3.50,25.9,-,-,-,0.1,58.8,58.8,165.57,55.8,0,0
2016-17,All+Star,N. Ogwumike - B. Davis - R. Miller - H. Minhaj -  . Master P,WST,1,5,72.7,127.3,-54.5,33.3,0.50,7.1,-,-,-,0.2,38.9,40.5,113.14,20.9,0,0
2016-17,All+Star,W. Butler - N. Cannon - M. Lasry - L. Whalen - J. Williams,EST,1,5,127.3,72.7,54.5,57.1,2.00,21.1,-,-,-,0.2,53.8,53.8,113.14,79.1,0,0
2016-17,All+Star,A. Grammer - J. Jinfu - A. Mackie - R. Miller - A. Sanchez,WST,1,4,150.0,80.0,70.0,0.0,0.00,0.0,-,-,-,0.0,42.9,42.9,58.91,84.6,0,0
2016-17,All+Star,B. Armstrong - W. Butler - M. Lasry - L. Whalen - J. Williams,EST,1,4,133.3,62.5,70.8,50.0,0.00,21.4,-,-,-,0.0,60.0,60.0,107.84,96.8,0,0
