SEASON,SEASON_TYPE,LINEUP,TEAM_ABB,GROUP_NAME,TEAM_ABBREVIATION,GP,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
2015-16,Playoffs,L. James - J. Smith - K. Love - K. Irving - T. Thompson,CLE,20,371,56.0,0.238,12.1,33.6,49.8,0.189,13.4,24.1,0,0
2015-16,Playoffs,K. Durant - R. Westbrook - S. Ibaka - A. Roberson - S. Adams,OKC,18,276,49.2,0.279,12.2,31.0,52.1,0.198,13.0,22.8,0,0
2015-16,Playoffs,A. Aminu - D. Lillard - M. Harkless - C. McCollum - M. Plumlee,POR,11,167,44.4,0.274,12.8,30.4,46.4,0.214,11.7,22.4,0,0
2015-16,Playoffs,J. Johnson - D. Wade - L. Deng - G. Dragic - H. Whiteside,MIA,10,139,54.4,0.170,15.1,19.7,40.2,0.205,8.5,24.2,0,0
2015-16,Playoffs,K. Korver - P. Millsap - A. Horford - J. Teague - K. Bazemore,ATL,10,136,47.8,0.208,13.4,22.9,44.6,0.293,18.5,29.7,0,0
2015-16,Playoffs,K. Lowry - D. DeRozan - D. Carroll - P. Patterson - B. Biyombo,TOR,15,133,52.9,0.344,10.5,27.6,48.0,0.254,11.2,23.5,0,0
2015-16,Playoffs,T. Duncan - T. Parker - L. Aldridge - D. Green - K. Leonard,SAS,10,131,52.2,0.149,9.9,20.5,42.2,0.210,16.1,27.5,0,0
2015-16,Playoffs,A. Iguodala - S. Curry - K. Thompson - H. Barnes - D. Green,GSW,17,125,51.5,0.218,13.8,24.6,51.2,0.403,15.1,28.7,0,0
2015-16,Playoffs,A. Bogut - S. Curry - K. Thompson - H. Barnes - D. Green,GSW,14,119,54.0,0.215,14.6,17.9,43.3,0.172,12.9,33.3,0,0
2015-16,Playoffs,K. Lowry - D. DeRozan - D. Carroll - P. Patterson - J. Valanciunas,TOR,11,95,52.5,0.278,16.5,33.7,49.3,0.303,14.3,20.5,0,0
2015-16,Playoffs,K. Durant - R. Westbrook - S. Ibaka - D. Waiters - S. Adams,OKC,17,93,53.1,0.303,14.9,35.4,47.1,0.310,7.9,28.4,0,0
2015-16,Playoffs,M. Morris - T. Harris - R. Jackson - A. Drummond - K. Caldwell-Pope,DET,4,86,55.0,0.264,9.4,20.5,57.6,0.145,8.6,25.0,0,0
2015-16,Playoffs,A. Iguodala - A. Bogut - S. Curry - K. Thompson - D. Green,GSW,12,79,53.8,0.212,13.6,31.0,47.9,0.291,15.7,31.4,0,0
2015-16,Playoffs,S. Livingston - A. Bogut - K. Thompson - H. Barnes - D. Green,GSW,10,79,44.6,0.177,13.3,30.0,40.0,0.238,14.0,42.0,0,0
2015-16,Playoffs,R. Jefferson - L. James - C. Frye - I. Shumpert - M. Dellavedova,CLE,16,77,66.7,0.252,10.0,21.7,47.3,0.306,17.7,18.8,0,0
2015-16,Playoffs,R. Jefferson - L. James - J. Smith - K. Irving - T. Thompson,CLE,9,72,58.5,0.210,12.3,31.3,50.9,0.191,18.6,22.9,0,0
2015-16,Playoffs,A. Jefferson - M. Williams - C. Lee - K. Walker - F. Kaminsky,CHA,5,63,45.0,0.164,5.9,14.9,58.2,0.135,15.3,22.6,0,0
2015-16,Playoffs,L. Scola - K. Lowry - D. DeRozan - D. Carroll - B. Biyombo,TOR,6,60,50.0,0.337,16.1,21.1,58.3,0.222,12.6,30.9,0,0
2015-16,Playoffs,C. Paul - J. Redick - D. Jordan - L. Mbah a Moute - B. Griffin,LAC,4,59,47.6,0.170,11.8,17.2,39.7,0.172,12.5,30.3,0,0
2015-16,Playoffs,K. Durant - R. Westbrook - S. Ibaka - D. Waiters - A. Roberson,OKC,6,59,53.6,0.324,11.5,25.8,46.0,0.143,16.2,26.1,0,0
2015-16,Playoffs,I. Mahinmi - M. Ellis - G. Hill - P. George - M. Turner,IND,5,57,47.8,0.253,17.3,26.9,44.1,0.312,19.1,32.8,0,0
2015-16,Playoffs,D. Howard - T. Ariza - J. Harden - P. Beverley - D. Motiejunas,HOU,4,56,40.5,0.343,18.8,45.3,49.0,0.150,15.9,27.6,0,0
2015-16,Playoffs,A. Aminu - D. Lillard - A. Crabbe - C. McCollum - M. Plumlee,POR,8,51,52.6,0.268,17.1,33.9,60.4,0.319,11.9,31.3,0,0
2015-16,Playoffs,M. Ellis - G. Hill - P. George - S. Hill - M. Turner,IND,7,51,59.3,0.321,10.4,30.8,51.8,0.402,11.3,37.8,0,0
2015-16,Playoffs,T. Sefolosha - P. Millsap - A. Horford - J. Teague - K. Bazemore,ATL,8,41,56.6,0.393,14.6,22.6,57.6,0.094,15.9,37.0,0,0
2015-16,All+Star,Z. LaVine - J. Clarkson - M. Smart - J. Parker - K. Towns,USA,1,22,56.7,0.060,7.6,33.3,68.3,0.000,15.4,-,0,0
