SEASON,SEASON_TYPE,LINEUP,TEAM_ABB,GROUP_NAME,TEAM_ABBREVIATION,GP,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2015-16,All+Star,Z. LaVine - J. Clarkson - M. Smart - J. Parker - K. Towns,USA,1,21.7,38.0,63.0,60.3,10.0,23.0,43.5,0.0,0.0,0.0,8.0,19.0,27.0,28.0,10.0,4.0,1.0,1.0,5.0,0.0,86.0,6.0,0,0
2015-16,All+Star,K. Bryant - K. Durant - R. Westbrook - S. Curry - K. Leonard,WST,1,20.9,35.0,63.0,55.6,9.0,29.0,31.0,0.0,0.0,0.0,7.0,21.0,28.0,16.0,16.0,6.0,1.0,0.0,3.0,2.0,79.0,-9.0,0,0
2015-16,All+Star,E. Payton - R. Hood - J. Okafor - D. Russell - D. Booker,USA,1,16.3,25.0,39.0,64.1,5.0,12.0,41.7,2.0,4.0,50.0,6.0,12.0,18.0,16.0,9.0,4.0,2.0,0.0,2.0,3.0,57.0,-12.0,0,0
2015-16,All+Star,C. Paul - L. Aldridge - J. Harden - K. Thompson - A. Davis,WST,1,14.2,22.0,41.0,53.7,6.0,14.0,42.9,0.0,1.0,0.0,4.0,11.0,15.0,7.0,4.0,3.0,1.0,0.0,1.0,1.0,50.0,-1.0,0,0
2015-16,All+Star,L. James - C. Anthony - D. Wade - K. Lowry - P. George,EST,1,14.1,28.0,47.0,59.6,8.0,25.0,32.0,1.0,2.0,50.0,4.0,15.0,19.0,18.0,7.0,11.0,0.0,1.0,0.0,2.0,65.0,18.0,0,0
2015-16,All+Star,J. Sudeikis - C. Billups - O. Jackson Jr - E. Delle Donne - M. Bogues,USA,1,13.7,8.0,28.0,28.6,0.0,6.0,0.0,1.0,2.0,50.0,7.0,9.0,16.0,4.0,3.0,1.0,0.0,1.0,3.0,1.0,17.0,-9.0,0,0
2015-16,All+Star,D. Powell - A. Wiggins - K. Porzingis - E. Mudiay - M. Hezonja,WLD,1,8.0,12.0,22.0,54.5,4.0,11.0,36.4,4.0,4.0,100,2.0,2.0,4.0,6.0,3.0,3.0,0.0,1.0,2.0,2.0,32.0,-4.0,0,0
2015-16,All+Star,J. Jordan - S. James - T. Cavanagh - T. Sutton-Brown - T. McGrady,CAN,1,7.9,4.0,15.0,26.7,1.0,8.0,12.5,4.0,6.0,66.7,2.0,7.0,9.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,13.0,-3.0,0,0
2015-16,All+Star,B. Bogdanovic - A. Wiggins - N. Jokic - K. Porzingis - E. Mudiay,WLD,1,7.5,13.0,20.0,65.0,7.0,11.0,63.6,2.0,2.0,100,1.0,4.0,5.0,6.0,3.0,0.0,1.0,1.0,0.0,1.0,35.0,-1.0,0,0
2015-16,All+Star,J. Moore - J. Sudeikis - C. Billups - E. Delle Donne - K. Hart,USA,1,5.8,5.0,11.0,45.5,1.0,4.0,25.0,1.0,3.0,33.3,1.0,7.0,8.0,4.0,3.0,0.0,0.0,1.0,3.0,1.0,12.0,-1.0,0,0
2015-16,All+Star,C. Paul - J. Harden - D. Cousins - K. Thompson - D. Green,WST,1,5.0,6.0,11.0,54.5,1.0,4.0,25.0,3.0,4.0,75.0,1.0,4.0,5.0,3.0,1.0,2.0,0.0,0.0,1.0,4.0,16.0,-4.0,0,0
2015-16,All+Star,J. Jordan - D. Scott - J. Scott - S. James - T. Cavanagh,CAN,1,5.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,6.0,16.7,1.0,2.0,3.0,1.0,5.0,1.0,0.0,0.0,4.0,3.0,3.0,-9.0,0,0
2015-16,All+Star,J. Scott - K. Wu - M. Raonic - T. Sutton-Brown - R. Fox,CAN,1,5.0,2.0,8.0,25.0,1.0,5.0,20.0,2.0,4.0,50.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,7.0,-3.0,0,0
2015-16,All+Star,K. Wu - M. Raonic - T. Sutton-Brown - T. McGrady - B. Eugenie,CAN,1,5.0,5.0,9.0,55.6,1.0,5.0,20.0,1.0,2.0,50.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,4.0,0,0
2015-16,All+Star,A. Anderson - M. Lasry - J. Moore -  - K. Hart,USA,1,4.6,6.0,14.0,42.9,2.0,4.0,50.0,0.0,0.0,0.0,3.0,2.0,5.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,14.0,1.0,0,0
2015-16,All+Star,A. Anderson - M. Lasry - J. Moore - N. Cannon -,USA,1,4.6,4.0,6.0,66.7,0.0,0.0,0.0,4.0,8.0,50.0,2.0,6.0,8.0,2.0,4.0,5.0,0.0,0.0,2.0,4.0,12.0,9.0,0,0
2015-16,All+Star,P. Millsap - A. Horford - D. DeRozan - J. Wall - I. Thomas,EST,1,4.6,9.0,14.0,64.3,4.0,6.0,66.7,0.0,0.0,0.0,3.0,7.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,7.0,0,0
2015-16,All+Star,J. Jordan - S. James - T. Cavanagh - T. Sutton-Brown - B. Eugenie,CAN,1,4.3,2.0,6.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,0,0
2015-16,All+Star,K. Bryant - S. Curry - D. Cousins - K. Leonard - D. Green,WST,1,4.0,7.0,13.0,53.8,3.0,8.0,37.5,0.0,0.0,0.0,3.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,17.0,-4.0,0,0
2015-16,All+Star,P. Gasol - P. Millsap - D. DeRozan - J. Wall - I. Thomas,EST,1,4.0,6.0,12.0,50.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,0,0
2015-16,All+Star,K. Lowry - P. Millsap - P. George - I. Thomas - A. Drummond,EST,1,3.8,8.0,15.0,53.3,4.0,10.0,40.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,4.0,0,0
2015-16,All+Star,R. Neto - D. Powell - A. Wiggins - C. Capela - M. Hezonja,WLD,1,3.8,7.0,13.0,53.8,3.0,6.0,50.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,0.0,0,0
2015-16,All+Star,J. Jordan - T. Cavanagh - T. Sutton-Brown - T. McGrady - R. Fox,CAN,1,3.6,3.0,5.0,60.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,2.0,0,0
2015-16,All+Star,M. Lasry - C. Billups - O. Jackson Jr - E. Delle Donne - K. Hart,USA,1,3.4,3.0,4.0,75.0,1.0,1.0,100,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,5.0,0,0
2015-16,All+Star,C. Anthony - D. Wade - D. DeRozan - J. Wall - P. George,EST,1,3.2,4.0,8.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,9.0,-4.0,0,0
2015-16,All+Star,R. Neto - A. Wiggins - C. Capela - K. Porzingis - E. Mudiay,WLD,1,3.0,4.0,11.0,36.4,1.0,3.0,33.3,0.0,0.0,0.0,4.0,1.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,9.0,-1.0,0,0
2015-16,All+Star,B. Bogdanovic - R. Neto - C. Capela - K. Porzingis - T. Lyles,WLD,1,2.4,4.0,8.0,50.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0
