SEASON,SEASON_TYPE,LINEUP,TEAM_ABB,GROUP_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS
2016-17,All+Star,L. James - D. DeRozan - K. Irving - J. Butler - G. Antetokounmpo,EST,1,12.2,54.0,23.0,32.0,71.9,6.0,10.0,60.0,2.0,2.0,100,1.0,9.0,10.0,15.0,5.0,6.0,1.0,0.0,2.0,4.0,10.0,0,0
2016-17,All+Star,K. Durant - J. Harden - S. Curry - K. Leonard - A. Davis,WST,1,11.2,48.0,21.0,35.0,60.0,6.0,16.0,37.5,0.0,0.0,0.0,3.0,10.0,13.0,15.0,7.0,4.0,0.0,1.0,3.0,1.0,0.0,0,0
2016-17,All+Star,B. Armstrong - W. Butler - P. Rosenberg - L. Whalen - J. Williams,EST,1,11.0,21.0,9.0,19.0,47.4,2.0,7.0,28.6,1.0,1.0,100,2.0,9.0,11.0,4.0,2.0,2.0,0.0,0.0,3.0,1.0,11.0,0,0
2016-17,All+Star,D. Russell - K. Towns - D. Booker - M. Turner - M. Chriss,USA,1,11.0,36.0,16.0,28.0,57.1,4.0,11.0,36.4,0.0,0.0,0.0,4.0,7.0,11.0,8.0,5.0,1.0,0.0,0.0,2.0,2.0,-12.0,0,0
2016-17,All+Star,D. Exum - D. Saric - N. Jokic - K. Porzingis - B. Hield,WLD,1,10.6,41.0,17.0,30.0,56.7,3.0,12.0,25.0,4.0,7.0,57.1,6.0,6.0,12.0,9.0,4.0,3.0,1.0,1.0,2.0,3.0,7.0,0,0
2016-17,All+Star,K. Durant - M. Gasol - J. Harden - S. Curry - A. Davis,WST,1,10.3,34.0,15.0,30.0,50.0,3.0,12.0,25.0,1.0,2.0,50.0,5.0,12.0,17.0,11.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,0,0
2016-17,All+Star,J. Simmons - J. Okafor - F. Kaminsky - B. Ingram - M. Brogdon,USA,1,9.0,30.0,14.0,26.0,53.8,2.0,12.0,16.7,0.0,2.0,0.0,6.0,7.0,13.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0,0
2016-17,All+Star,K. Lowry - P. Millsap - J. Wall - P. George - I. Thomas,EST,1,7.8,36.0,15.0,25.0,60.0,6.0,14.0,42.9,0.0,0.0,0.0,2.0,8.0,10.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0,0
2016-17,All+Star,K. Towns - D. Booker - M. Turner - M. Chriss - M. Brogdon,USA,1,7.3,22.0,9.0,16.0,56.3,1.0,7.0,14.3,3.0,3.0,100,2.0,3.0,5.0,2.0,5.0,3.0,1.0,0.0,2.0,3.0,-7.0,0,0
2016-17,All+Star,D. Saric - N. Jokic - K. Porzingis - B. Hield - J. Murray,WLD,1,6.9,31.0,12.0,22.0,54.5,6.0,12.0,50.0,1.0,1.0,100,6.0,6.0,12.0,6.0,3.0,3.0,0.0,0.0,2.0,1.0,4.0,0,0
2016-17,All+Star,M. Gasol - R. Westbrook - J. Harden - G. Hayward - A. Davis,WST,1,6.4,30.0,13.0,19.0,68.4,4.0,9.0,44.4,0.0,0.0,0.0,2.0,4.0,6.0,8.0,2.0,3.0,1.0,0.0,1.0,1.0,4.0,0,0
2016-17,All+Star,R. Westbrook - D. Jordan - G. Hayward - K. Thompson - D. Green,WST,1,6.1,28.0,11.0,17.0,64.7,4.0,9.0,44.4,2.0,2.0,100,1.0,5.0,6.0,8.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0,0
