SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,G,MIN,BOX_OUTS,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
2022-23,Regular+Season,DAL,1610612742,Dallas Mavericks,A.J. Lawson,1630639,8,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-23,Regular+Season,MIL,1610612749,Milwaukee Bucks,AJ Green,1631260,23,13.5,0.2,0.0,0.2,0.2,0.1,0.0,100,100,50.0
2022-23,Regular+Season,ATL,1610612737,Atlanta Hawks,AJ Griffin,1631100,67,20.4,0.1,0.0,0.1,0.1,0.0,0.0,100,100,33.3
2022-23,Regular+Season,DEN,1610612743,Denver Nuggets,Aaron Gordon,203932,68,30.2,0.5,0.2,0.3,0.5,0.3,37.5,62.5,96.9,68.8
2022-23,Regular+Season,ATL,1610612737,Atlanta Hawks,Aaron Holiday,1628988,51,15.8,0.2,0.0,0.2,0.2,0.0,0.0,100,100,22.2
2022-23,Regular+Season,IND,1610612754,Indiana Pacers,Aaron Nesmith,1630174,73,24.9,0.6,0.1,0.5,0.4,0.2,11.9,88.1,90.6,40.6
2022-23,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Aaron Wiggins,1630598,69,18.6,0.4,0.0,0.4,0.4,0.2,10.7,89.3,92.9,39.3
2022-23,Regular+Season,ORL,1610612753,Orlando Magic,Admiral Schofield,1629678,34,13.1,0.4,0.1,0.3,0.4,0.2,26.7,73.3,100,57.1
2022-23,Regular+Season,BOS,1610612738,Boston Celtics,Al Horford,201143,63,30.5,1.4,0.2,1.2,1.3,0.6,17.0,83.0,95.3,44.7
2022-23,Regular+Season,DET,1610612765,Detroit Pistons,Alec Burks,202692,51,22.0,0.2,0.0,0.2,0.2,0.1,0.0,100,100,62.5
2022-23,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Aleksej Pokusevski,1630197,34,20.6,0.7,0.0,0.7,0.5,0.1,0.0,100,90.0,20.0
2022-23,Regular+Season,CHI,1610612741,Chicago Bulls,Alex Caruso,1627936,67,23.5,0.3,0.0,0.3,0.3,0.1,0.0,100,100,23.5
2022-23,Regular+Season,SAC,1610612758,Sacramento Kings,Alex Len,203458,23,6.8,0.3,0.1,0.3,0.3,0.2,25.0,75.0,100,50.0
2022-23,Regular+Season,SAS,1610612759,San Antonio Spurs,Alize Johnson,1628993,4,7.4,0.3,0.0,0.3,0.3,0.3,0.0,100,100,100
2022-23,Regular+Season,BKN,1610612751,Brooklyn Nets,Alondes Williams,1631214,1,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-23,Regular+Season,HOU,1610612745,Houston Rockets,Alperen Sengun,1630578,75,28.9,1.9,0.5,1.4,1.8,1.1,26.6,73.4,99.2,60.9
2022-23,Regular+Season,LAC,1610612746,Los Angeles Clippers,Amir Coffey,1629599,37,15.8,0.2,0.0,0.2,0.2,0.0,11.1,88.9,100,14.3
