SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
2015-16,Pre+Season,Justise Winslow,1626159,MIA,20,6,2,4,3.2,102.2,113.6,-11.4,30.8,4.00,28.6,13.8,11.5,12.7,7.1,25.0,33.8,17.9,110.15,8.0
2015-16,Pre+Season,Tyler Johnson,204020,MIA,24,6,3,3,3.7,107.7,96.1,11.6,0.0,0.00,0.0,0.0,9.7,5.0,0.0,66.7,69.0,22.2,110.60,23.4
2015-16,Pre+Season,Allen Crabbe,203459,POR,24,5,2,3,3.2,124.3,100.0,24.3,14.3,2.00,16.7,0.0,5.3,0.0,8.3,50.0,50.0,25.0,109.92,11.2
2015-16,Pre+Season,Alonzo Gee,202087,NOP,29,5,2,3,2.4,73.9,125.9,-52.0,0.0,0.00,0.0,7.1,0.0,0.0,25.0,0.0,0.0,15.4,101.34,-13.8
2015-16,Pre+Season,Bryce Dejean-Jones,1626214,NOP,23,5,3,2,0.5,128.6,100.0,28.6,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.84,0.0
2015-16,Pre+Season,Chris Andersen,2365,MEM,37,5,1,4,2.1,87.5,108.3,-20.8,0.0,0.00,0.0,0.0,0.0,0.0,0.0,33.3,52.5,18.5,107.83,16.9
2015-16,Pre+Season,Jared Cunningham,203099,CLE,25,5,1,4,2.0,81.8,142.3,-60.5,25.0,1.00,20.0,0.0,0.0,0.0,20.0,100,106.4,16.0,116.17,18.3
2015-16,Pre+Season,Joe Harris,203925,CLE,24,5,1,4,2.0,87.0,140.7,-53.8,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,117.26,-8.1
2015-16,Pre+Season,Justin Harper,202712,BKN,26,5,1,4,1.0,66.7,123.1,-56.4,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,107.32,-29.6
2015-16,Pre+Season,Noah Vonleh,203943,POR,20,5,1,4,3.9,117.9,104.5,13.4,0.0,0.00,0.0,23.1,13.6,18.8,0.0,45.5,45.5,21.6,102.49,12.1
2015-16,Pre+Season,Pat Connaughton,1626192,POR,23,5,2,3,3.1,94.4,113.2,-18.7,7.7,1.00,16.7,4.2,23.1,10.8,16.7,37.5,51.2,11.1,113.62,2.5
2015-16,Pre+Season,Anthony Bennett,203461,TOR,23,4,3,1,0.7,166.7,60.0,106.7,16.7,0.00,50.0,0.0,0.0,0.0,0.0,100,100,7.7,145.45,24.4
2015-16,Pre+Season,Austin Daye,201948,CLE,28,4,1,3,2.1,100.0,131.6,-31.6,0.0,0.00,0.0,0.0,0.0,0.0,0.0,50.0,50.0,25.0,103.85,5.5
2015-16,Pre+Season,CJ Fair,203927,IND,24,4,3,1,3.8,120.0,80.6,39.4,0.0,0.00,0.0,0.0,15.4,10.0,0.0,0.0,0.0,2.6,103.65,7.9
