SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
2015-16,Pre+Season,Justise Winslow,1626159,MIA,20,6,2,4,3.2,0.0,0.3,0.3,0.7,0.7,1.2,1.0,1.3,0.0,0.2,0.5,0.2
2015-16,Pre+Season,Tyler Johnson,204020,MIA,24,6,3,3,3.7,0.0,0.7,0.3,0.7,0.7,1.5,0.8,1.7,0.0,0.2,0.5,0.5
2015-16,Pre+Season,Allen Crabbe,203459,POR,24,5,2,3,3.2,0.4,0.0,0.4,0.4,2.2,1.2,0.6,2.8,0.0,0.2,0.0,0.0
2015-16,Pre+Season,Alonzo Gee,202087,NOP,29,5,2,3,2.4,0.0,0.0,0.0,0.0,0.4,1.8,0.0,2.8,0.0,0.2,0.0,0.0
2015-16,Pre+Season,Bryce Dejean-Jones,1626214,NOP,23,5,3,2,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.0,0.0,0.0,0.2
2015-16,Pre+Season,Chris Andersen,2365,MEM,37,5,1,4,2.1,0.2,0.2,0.0,0.4,0.6,0.6,0.4,2.4,0.4,0.2,0.2,0.4
2015-16,Pre+Season,Jared Cunningham,203099,CLE,25,5,1,4,2.0,0.0,0.0,0.6,0.4,1.4,0.4,0.4,3.2,0.2,0.0,0.4,0.6
2015-16,Pre+Season,Joe Harris,203925,CLE,24,5,1,4,2.0,0.0,0.0,0.0,0.0,1.4,0.4,0.4,3.2,0.2,0.0,0.0,0.0
2015-16,Pre+Season,Justin Harper,202712,BKN,26,5,1,4,1.0,0.0,0.0,0.0,0.0,0.4,1.4,0.0,1.6,0.0,0.2,0.4,0.0
2015-16,Pre+Season,Noah Vonleh,203943,POR,20,5,1,4,3.9,0.4,1.2,0.4,2.0,2.4,1.6,1.0,3.2,0.0,0.0,0.2,0.0
2015-16,Pre+Season,Pat Connaughton,1626192,POR,23,5,2,3,3.1,0.6,0.0,0.0,0.0,2.4,0.4,0.6,2.0,0.0,0.0,0.8,0.0
2015-16,Pre+Season,Anthony Bennett,203461,TOR,23,4,3,1,0.7,0.0,0.5,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
2015-16,Pre+Season,Austin Daye,201948,CLE,28,4,1,3,2.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.3,0.0
2015-16,Pre+Season,CJ Fair,203927,IND,24,4,3,1,3.8,0.0,0.0,0.0,0.0,0.0,1.3,0.3,3.0,0.0,0.0,0.0,0.3
2015-16,Pre+Season,Devyn Marble,203906,ORL,23,4,2,2,2.6,0.0,0.3,0.0,0.0,0.5,0.0,1.0,2.5,0.0,0.3,0.3,0.8
2015-16,Pre+Season,Elijah Millsap,202407,UTA,28,4,2,2,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.3,0.3
2015-16,Pre+Season,Glenn Robinson III,203922,IND,22,4,3,1,3.8,0.8,0.0,0.0,1.5,0.0,1.3,0.3,3.0,0.0,0.3,0.5,0.8
2015-16,Pre+Season,James Anderson,202341,SAC,27,4,3,1,3.9,0.0,0.0,0.0,0.0,0.5,0.5,1.3,2.0,0.0,0.0,0.3,0.0
2015-16,Pre+Season,James Ennis III,203516,NOP,25,4,2,2,6.0,1.0,0.5,1.0,2.0,1.8,2.3,0.8,2.0,0.0,0.0,0.5,0.5
2015-16,Pre+Season,Jason Smith,201160,ORL,30,4,4,0,2.1,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.5,0.0,0.0,0.5,0.0
2015-16,Pre+Season,Jeremy Lin,202391,CHA,27,4,4,0,2.3,0.0,0.0,0.0,1.5,0.0,1.0,0.0,2.5,0.0,0.3,0.0,0.5
2015-16,Pre+Season,Josh Richardson,1626196,MIA,22,4,1,3,3.8,1.0,0.5,1.3,1.0,0.0,1.0,0.8,1.5,0.0,0.3,0.5,1.0
2015-16,Pre+Season,KJ McDaniels,203909,HOU,23,4,1,3,5.2,2.3,0.5,1.5,2.0,0.0,1.0,1.0,2.5,0.5,0.0,1.0,1.0
2015-16,Pre+Season,Keith Appling,203951,ORL,24,4,2,2,4.2,0.0,0.0,0.0,0.0,1.3,0.5,1.3,4.5,0.3,0.3,0.0,0.0
2015-16,Pre+Season,Keith Benson,202728,MIA,27,4,2,2,4.7,0.8,1.0,0.0,1.0,1.0,1.5,0.8,1.0,0.3,0.5,0.5,0.8
2015-16,Pre+Season,Kelly Oubre Jr.,1626162,WAS,20,4,2,2,3.0,0.5,0.0,0.5,1.0,0.3,0.8,0.0,2.0,0.0,0.3,0.3,0.3
2015-16,Pre+Season,Marco Belinelli,201158,SAC,30,4,3,1,5.5,2.5,1.0,0.3,0.0,0.5,1.0,1.8,3.0,0.0,0.0,0.3,2.5
2015-16,Pre+Season,Mario Hezonja,1626209,ORL,21,4,3,1,4.6,0.0,0.8,0.0,1.0,1.3,0.5,1.5,2.0,0.0,0.5,0.5,0.3
2015-16,Pre+Season,Nnanna Egwu,1626295,ORL,23,4,2,2,4.8,0.0,1.0,0.0,1.0,1.3,0.5,1.3,5.0,0.0,0.0,0.8,0.3
2015-16,Pre+Season,Phil Pressey,203515,POR,25,4,1,3,3.9,0.0,0.0,0.0,0.5,3.0,0.5,0.8,2.5,0.0,0.3,1.0,0.3
2015-16,Pre+Season,Quinn Cook,1626188,CLE,23,4,0,4,1.8,0.5,0.0,0.5,0.5,1.3,0.5,0.5,3.5,0.0,0.0,0.5,0.3
2015-16,Pre+Season,Sam Dekker,1626155,HOU,22,4,1,3,5.2,0.5,1.3,0.5,0.5,0.0,1.0,1.0,2.5,0.0,0.0,0.3,0.3
2015-16,Pre+Season,Sean Kilpatrick,203930,BKN,26,4,2,2,0.6,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.3
2015-16,Pre+Season,Stanley Johnson,1626169,DET,20,4,0,4,4.4,0.0,0.0,0.3,0.5,1.3,0.5,0.8,3.0,0.0,0.0,1.3,0.3
2015-16,Pre+Season,Willie Cauley-Stein,1626161,SAC,22,4,3,1,3.4,0.0,0.8,0.0,1.0,0.0,0.5,1.3,1.0,0.0,0.0,0.3,0.3
2015-16,Pre+Season,Alec Burks,202692,UTA,24,3,1,2,4.5,0.0,0.0,0.0,0.7,1.3,0.7,0.7,3.3,0.3,0.3,0.0,0.7
2015-16,Pre+Season,Anthony Tolliver,201229,DET,31,3,0,3,4.3,0.0,0.0,0.0,0.0,1.0,0.7,1.0,2.0,0.0,0.0,1.3,0.0
2015-16,Pre+Season,Bismack Biyombo,202687,TOR,23,3,2,1,2.2,0.0,0.7,0.0,0.7,2.0,0.0,0.3,0.0,0.0,0.0,0.3,1.0
2015-16,Pre+Season,Bobby Portis,1626171,CHI,21,3,1,2,2.6,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.3,0.3,0.0,0.0,0.0
2015-16,Pre+Season,Bojan Bogdanovic,202711,BKN,27,3,1,2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
2015-16,Pre+Season,Brandon Ashley,1626165,DAL,21,3,0,3,1.7,0.0,0.0,0.0,0.0,1.3,1.7,2.7,3.3,0.3,0.0,0.3,0.0
2015-16,Pre+Season,C.J. Watson,201228,ORL,32,3,2,1,4.5,0.0,0.0,0.0,0.7,1.7,0.0,2.0,2.7,0.3,0.0,0.3,0.0
2015-16,Pre+Season,CJ McCollum,203468,POR,24,3,2,1,4.0,0.0,0.0,0.0,1.3,2.7,2.0,1.0,2.7,0.0,0.0,1.0,0.7
2015-16,Pre+Season,Christian Wood,1626174,PHI,20,3,2,1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3
2015-16,Pre+Season,Cleanthony Early,203921,NYK,25,3,2,1,1.9,0.7,0.0,0.0,0.7,0.3,1.0,0.7,0.7,0.3,0.0,0.7,0.0
2015-16,Pre+Season,Dante Cunningham,201967,NOP,29,3,2,1,3.8,0.0,0.0,0.0,0.0,0.0,1.7,0.0,2.0,0.0,0.0,1.0,0.0
2015-16,Pre+Season,Darren Collison,201954,SAC,28,3,2,1,5.2,0.0,0.0,0.0,0.0,0.7,1.3,1.7,2.7,0.0,0.0,0.0,0.3
2015-16,Pre+Season,Delon Wright,1626153,TOR,24,3,3,0,1.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
2015-16,Pre+Season,Doug McDermott,203926,CHI,24,3,1,2,2.6,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.3,0.0,0.0,0.0,0.3
2015-16,Pre+Season,E'Twaun Moore,202734,CHI,27,3,1,2,2.6,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.3,0.0,0.0,0.3,0.3
2015-16,Pre+Season,Ed Davis,202334,POR,27,3,1,2,3.2,0.0,0.7,0.0,0.7,3.0,2.0,0.7,2.7,0.3,0.0,0.0,0.0
2015-16,Pre+Season,Edy Tavares,204002,ATL,24,3,3,0,1.5,0.0,0.7,0.7,1.3,0.7,0.0,0.7,0.7,0.0,0.0,0.3,0.0
2015-16,Pre+Season,Evan Fournier,203095,ORL,23,3,3,0,4.1,0.0,1.0,0.0,0.0,1.0,1.3,0.7,0.0,0.3,0.3,0.3,0.0
2015-16,Pre+Season,Frank Kaminsky,1626163,CHA,23,3,3,0,2.5,0.0,0.0,0.0,0.7,0.7,0.7,0.3,2.0,0.3,0.7,0.0,0.0
2015-16,Pre+Season,Furkan Aldemir,203128,PHI,24,3,1,2,1.2,0.0,0.0,0.0,0.0,0.7,0.0,0.7,2.7,0.0,0.0,0.3,0.3
2015-16,Pre+Season,Gerald Green,101123,MIA,30,3,1,2,4.7,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.3,0.3,0.3
2015-16,Pre+Season,Greg Whittington,204222,MIA,23,3,0,3,5.0,0.0,0.0,0.0,0.0,1.0,1.7,1.0,2.0,0.3,0.0,1.3,0.3
2015-16,Pre+Season,Hollis Thompson,203138,PHI,25,3,1,2,3.2,0.0,0.7,0.0,0.7,1.7,0.7,0.7,1.3,0.0,0.3,1.3,0.0
2015-16,Pre+Season,Ish Smith,202397,PHI,27,3,2,1,2.3,0.0,0.0,0.0,0.7,0.0,0.7,0.0,0.7,0.0,0.0,0.0,1.0
2015-16,Pre+Season,JaKarr Sampson,203960,DEN,23,3,1,2,2.1,0.3,0.0,0.3,0.7,1.7,0.7,0.7,0.7,0.0,0.0,0.3,0.7
2015-16,Pre+Season,James Young,203923,BOS,20,3,2,1,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,Pre+Season,Jamil Wilson,203966,DAL,25,3,0,3,3.0,0.0,0.0,0.0,0.0,1.3,1.7,3.7,4.0,0.0,0.0,0.7,0.0
2015-16,Pre+Season,Jaron Johnson,204189,WAS,24,3,2,1,2.8,1.0,0.3,0.7,0.7,0.3,1.0,0.0,1.3,0.0,0.0,0.0,0.7
2015-16,Pre+Season,Jeff Adrien,202399,NOP,30,3,1,2,0.6,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.3,0.0,0.0,0.0,0.3
2015-16,Pre+Season,Jeff Withey,203481,UTA,26,3,2,1,5.3,0.0,1.0,0.0,1.3,1.7,2.7,0.7,4.7,0.7,0.0,0.3,0.3
2015-16,Pre+Season,Jerian Grant,1626170,NYK,23,3,2,1,1.9,0.7,0.0,1.0,0.7,0.3,1.0,0.7,0.7,0.0,0.0,0.3,0.7
2015-16,Pre+Season,Jodie Meeks,201975,DET,28,3,0,3,3.7,0.0,0.0,0.0,0.0,1.7,0.7,1.0,3.3,0.0,0.0,0.0,0.0
2015-16,Pre+Season,Joe Ingles,204060,UTA,28,3,2,1,1.5,0.0,0.0,0.0,0.0,0.7,0.0,0.7,2.0,0.0,0.0,0.0,0.0
2015-16,Pre+Season,Joe Young,1626202,IND,24,3,2,1,3.4,0.0,0.7,0.0,1.3,0.0,1.7,0.3,2.7,0.0,0.0,0.0,2.0
2015-16,Pre+Season,Jonathon Simmons,203613,SAS,26,3,1,2,4.2,0.0,0.0,0.0,0.0,3.3,2.7,2.7,4.0,0.0,0.0,0.0,1.0
2015-16,Pre+Season,Jordan McRae,203895,CLE,25,3,2,1,1.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.3,0.7
2015-16,Pre+Season,Jordan Mickey,1626175,BOS,21,3,2,1,1.5,0.0,0.0,0.0,1.3,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
2015-16,Pre+Season,Josh Harrellson,202725,WAS,27,3,1,2,3.1,0.0,0.0,0.0,0.0,0.3,1.0,0.0,1.3,1.0,0.0,0.3,0.0
2015-16,Pre+Season,Justin Anderson,1626147,DAL,22,3,0,3,3.0,0.0,0.0,0.0,0.7,1.3,1.7,3.7,4.0,0.3,0.3,0.7,0.0
2015-16,Pre+Season,Lamar Patterson,203934,ATL,24,3,3,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,Pre+Season,Langston Galloway,204038,NYK,24,3,2,1,1.8,0.0,0.0,0.0,0.0,0.3,0.0,0.7,1.3,0.0,0.3,0.0,0.0
2015-16,Pre+Season,Lazeric Jones,1626272,MEM,25,3,3,0,3.6,0.0,0.0,0.0,0.7,0.7,1.0,1.3,0.7,0.0,0.0,0.7,0.3
2015-16,Pre+Season,Lou Williams,101150,LAL,29,3,0,3,3.5,0.0,0.0,0.0,0.0,0.7,1.0,0.0,4.0,0.0,0.0,0.0,0.7
2015-16,Pre+Season,Melvin Ejim,203929,ORL,25,3,2,1,4.8,1.0,1.0,0.0,1.3,1.7,0.7,1.7,5.3,0.0,0.3,0.7,0.3
2015-16,Pre+Season,Meyers Leonard,203086,POR,24,3,2,1,2.7,0.0,0.0,0.0,0.0,2.0,0.0,0.3,1.3,0.0,0.0,0.0,0.0
2015-16,Pre+Season,Norman Powell,1626181,TOR,23,3,2,1,2.3,0.0,0.7,0.7,2.0,3.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0
2015-16,Pre+Season,Omari Johnson,204179,POR,27,3,0,3,4.7,0.0,0.0,1.0,0.7,3.3,0.7,1.0,3.3,0.0,0.0,0.3,0.0
2015-16,Pre+Season,Quincy Miller,203113,BKN,23,3,0,3,2.1,0.7,0.7,0.0,0.0,0.7,2.3,0.7,2.7,0.0,0.0,0.7,0.0
2015-16,Pre+Season,RJ Hunter,1626154,BOS,22,3,2,1,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3
