SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
2021-22,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Zavier Simpson,1630285,OKC,G,4,4,43.2,4.0,8.0,50.0,35.8,14.2
2021-22,Regular+Season,MIL,1610612749,Milwaukee Bucks,Jrue Holiday,201950,MIL,G,66,66,44.8,2.5,6.4,39.4,35.9,3.5
2021-22,Regular+Season,ORL,1610612753,Orlando Magic,Devin Cannady,1629962,ORL,G,5,5,50.0,2.4,6.4,37.5,35.0,2.5
2021-22,Regular+Season,HOU,1610612745,Houston Rockets,Christian Wood,1626174,HOU,F,68,66,38.3,2.4,6.3,37.8,35.3,2.4
2021-22,Regular+Season,BKN,1610612751,Brooklyn Nets,Kevin Durant,201142,BKN,F,55,55,43.7,2.2,6.2,35.1,35.3,-0.2
2021-22,Regular+Season,TOR,1610612761,Toronto Raptors,Pascal Siakam,1627783,TOR,F,68,68,37.9,2.3,6.2,36.5,35.5,1.0
2021-22,Regular+Season,CHA,1610612766,Charlotte Hornets,Miles Bridges,1628970,CHA,F,80,80,39.2,2.1,6.2,33.4,35.3,-1.9
2021-22,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Shai Gilgeous-Alexander,1628983,OKC,G,56,56,43.8,2.6,6.2,41.7,35.5,6.3
2021-22,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Luguentz Dort,1629652,OKC,G,51,51,48.2,2.1,6.1,34.3,35.8,-1.5
2021-22,Regular+Season,NYK,1610612752,New York Knicks,RJ Barrett,1629628,NYK,F-G,70,68,42.2,2.0,6.0,33.3,35.5,-2.3
2021-22,Regular+Season,POR,1610612757,Portland Trail Blazers,Josh Hart,1628404,POR,G,54,54,41.7,2.2,5.8,37.7,35.8,1.9
2021-22,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Darius Bazley,1629647,OKC,F,69,69,39.9,2.0,5.7,34.8,35.8,-1.1
2021-22,Regular+Season,GSW,1610612744,Golden State Warriors,Andrew Wiggins,203952,GSW,F,73,73,40.4,2.0,5.7,34.5,35.9,-1.4
2021-22,Regular+Season,LAL,1610612747,Los Angeles Lakers,Anthony Davis,203076,LAL,F-C,40,40,33.4,1.9,5.7,32.6,35.2,-2.6
2021-22,Regular+Season,NOP,1610612740,New Orleans Pelicans,CJ McCollum,203468,NOP,G,62,62,41.5,2.2,5.5,39.9,35.5,4.5
2021-22,Regular+Season,SAC,1610612758,Sacramento Kings,De'Aaron Fox,1628368,SAC,G,59,59,39.3,2.0,5.5,37.2,35.4,1.8
2021-22,Regular+Season,BOS,1610612738,Boston Celtics,Juwan Morgan,1629752,BOS,F,2,2,68.8,1.5,5.5,27.3,31.3,-4.1
2021-22,Regular+Season,TOR,1610612761,Toronto Raptors,Scottie Barnes,1630567,TOR,F,74,73,33.9,1.9,5.5,34.7,34.9,-0.2
2021-22,Regular+Season,MIL,1610612749,Milwaukee Bucks,Khris Middleton,203114,MIL,F,66,66,42.9,2.0,5.4,36.7,35.5,1.2
2021-22,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Anthony Edwards,1630162,MIN,G,72,72,41.9,2.0,5.4,36.6,35.6,1.0
2021-22,Regular+Season,MIA,1610612748,Miami Heat,P.J. Tucker,200782,MIA,F,71,71,45.3,1.9,5.4,34.9,35.6,-0.7
2021-22,Regular+Season,CHI,1610612741,Chicago Bulls,Zach LaVine,203897,CHI,G-F,67,67,45.7,2.3,5.3,43.8,35.8,8.1
2021-22,Regular+Season,MIL,1610612749,Milwaukee Bucks,Pat Connaughton,1626192,MIL,G,65,65,45.8,1.9,5.3,35.5,35.0,0.4
2021-22,Regular+Season,PHX,1610612756,Phoenix Suns,Devin Booker,1626164,PHX,G,68,68,38.2,1.7,5.3,32.7,35.9,-3.2
2021-22,Regular+Season,MIN,1610612750,Minnesota Timberwolves,D'Angelo Russell,1626156,MIN,G,65,65,38.7,1.6,5.2,30.6,35.7,-5.1
2021-22,Regular+Season,NYK,1610612752,New York Knicks,Julius Randle,203944,NYK,F-C,72,71,39.6,1.7,5.2,32.6,35.0,-2.4
2021-22,Regular+Season,UTA,1610612762,Utah Jazz,Rudy Gobert,203497,UTA,C,66,64,24.9,1.7,5.2,32.7,33.9,-1.2
2021-22,Regular+Season,WAS,1610612764,Washington Wizards,Bradley Beal,203078,WAS,G,40,40,42.5,1.7,5.2,33.5,36.4,-2.9
2021-22,Regular+Season,MIA,1610612748,Miami Heat,Kyle Lowry,200768,MIA,G,63,62,42.7,2.0,5.1,39.6,35.5,4.1
2021-22,Regular+Season,LAC,1610612746,Los Angeles Clippers,Reggie Jackson,202704,LAC,G,75,75,38.6,1.6,5.1,31.8,35.9,-4.1
2021-22,Regular+Season,DET,1610612765,Detroit Pistons,Cade Cunningham,1630595,DET,G,64,63,35.2,1.9,5.1,37.3,36.2,1.1
2021-22,Regular+Season,ATL,1610612737,Atlanta Hawks,John Collins,1628381,ATL,F-C,54,54,35.8,2.0,5.1,39.1,35.1,4.0
2021-22,Regular+Season,PHI,1610612755,Philadelphia 76ers,James Harden,201935,PHI,G,65,64,37.7,1.8,5.1,35.5,35.0,0.6
2021-22,Regular+Season,CHI,1610612741,Chicago Bulls,Lonzo Ball,1628366,CHI,G,35,34,35.2,2.0,5.1,39.9,35.4,4.5
2021-22,Regular+Season,NYK,1610612752,New York Knicks,Kemba Walker,202689,NYK,G,37,37,43.5,1.9,5.1,38.3,36.0,2.3
2021-22,Regular+Season,BOS,1610612738,Boston Celtics,Robert Williams III,1629057,BOS,C-F,61,60,37.6,1.6,5.1,31.7,35.3,-3.6
2021-22,Regular+Season,POR,1610612757,Portland Trail Blazers,Damian Lillard,203081,POR,G,29,28,41.6,1.8,5.0,35.6,35.9,-0.3
2021-22,Regular+Season,MIL,1610612749,Milwaukee Bucks,Giannis Antetokounmpo,203507,MIL,F,67,65,36.2,1.8,5.0,35.8,35.1,0.8
2021-22,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Evan Mobley,1630596,CLE,C,69,69,28.5,2.0,5.0,40.9,35.7,5.3
2021-22,Regular+Season,LAC,1610612746,Los Angeles Clippers,Paul George,202331,LAC,F,31,30,36.7,1.5,4.9,30.1,35.9,-5.8
2021-22,Regular+Season,GSW,1610612744,Golden State Warriors,Draymond Green,203110,GSW,F,45,45,37.3,1.7,4.9,35.1,34.8,0.3
2021-22,Regular+Season,POR,1610612757,Portland Trail Blazers,Brandon Williams,1630314,POR,G,24,24,44.2,2.1,4.9,42.4,35.7,6.7
2021-22,Regular+Season,MIL,1610612749,Milwaukee Bucks,Grayson Allen,1628960,MIL,G,66,65,46.3,1.6,4.9,33.4,35.7,-2.3
2021-22,Regular+Season,DAL,1610612742,Dallas Mavericks,Luka Dončić,1629029,DAL,F-G,65,64,35.0,1.8,4.9,37.2,35.3,1.9
2021-22,Regular+Season,DET,1610612765,Detroit Pistons,Marvin Bagley III,1628963,DET,F,48,47,43.1,1.7,4.8,34.8,35.2,-0.5
2021-22,Regular+Season,BOS,1610612738,Boston Celtics,Jaylen Brown,1627759,BOS,G-F,66,65,39.4,1.7,4.8,34.4,35.7,-1.4
2021-22,Regular+Season,BOS,1610612738,Boston Celtics,Marcus Smart,203935,BOS,G,71,69,45.4,1.6,4.8,33.0,35.9,-2.8
2021-22,Regular+Season,MIL,1610612749,Milwaukee Bucks,Bobby Portis,1626171,MIL,F,72,71,35.4,1.4,4.8,30.2,35.6,-5.3
2021-22,Regular+Season,NOP,1610612740,New Orleans Pelicans,Herbert Jones,1630529,NOP,F,78,77,40.3,1.8,4.8,37.4,35.5,1.9
2021-22,Regular+Season,PHI,1610612755,Philadelphia 76ers,Tyrese Maxey,1630178,PHI,G,75,75,39.3,1.6,4.8,34.6,35.5,-0.9
2021-22,Regular+Season,TOR,1610612761,Toronto Raptors,Fred VanVleet,1627832,TOR,G,65,65,33.4,1.7,4.8,35.0,35.3,-0.4
2021-22,Regular+Season,DAL,1610612742,Dallas Mavericks,Dorian Finney-Smith,1627827,DAL,F,80,79,34.5,1.7,4.7,35.1,35.4,-0.3
2021-22,Regular+Season,ATL,1610612737,Atlanta Hawks,De'Andre Hunter,1629631,ATL,F-G,53,52,37.9,1.8,4.7,37.8,35.7,2.2
2021-22,Regular+Season,LAL,1610612747,Los Angeles Lakers,LeBron James,2544,LAL,F,56,55,36.4,1.6,4.7,33.2,35.4,-2.2
2021-22,Regular+Season,MEM,1610612763,Memphis Grizzlies,Desmond Bane,1630217,MEM,G,76,75,39.0,1.6,4.7,33.7,35.7,-2.0
2021-22,Regular+Season,PHX,1610612756,Phoenix Suns,Mikal Bridges,1628969,PHX,F,82,81,37.1,1.6,4.7,34.0,35.1,-1.1
2021-22,Regular+Season,LAC,1610612746,Los Angeles Clippers,Norman Powell,1626181,LAC,G,44,43,44.0,1.5,4.6,32.4,35.7,-3.4
2021-22,Regular+Season,CHA,1610612766,Charlotte Hornets,Terry Rozier,1626179,CHA,G,73,72,37.6,1.7,4.6,37.6,36.3,1.3
2021-22,Regular+Season,POR,1610612757,Portland Trail Blazers,Nassir Little,1629642,POR,F-G,42,42,40.2,1.4,4.6,29.4,35.9,-6.5
2021-22,Regular+Season,DEN,1610612743,Denver Nuggets,Nikola Jokić,203999,DEN,C,74,72,21.6,1.7,4.6,36.1,35.0,1.1
2021-22,Regular+Season,ATL,1610612737,Atlanta Hawks,Bogdan Bogdanović,203992,ATL,G,63,62,38.4,1.7,4.6,37.6,35.5,2.1
2021-22,Regular+Season,MEM,1610612763,Memphis Grizzlies,Dillon Brooks,1628415,MEM,G-F,32,31,37.6,1.8,4.6,38.8,34.8,3.9
2021-22,Regular+Season,BOS,1610612738,Boston Celtics,Al Horford,201143,BOS,C-F,69,66,30.4,1.5,4.6,33.5,34.6,-1.1
2021-22,Regular+Season,MIA,1610612748,Miami Heat,Caleb Martin,1628997,MIA,F,59,56,42.7,1.2,4.6,26.7,35.7,-9.0
2021-22,Regular+Season,LAL,1610612747,Los Angeles Lakers,Talen Horton-Tucker,1629659,LAL,G,60,60,41.8,1.6,4.6,35.0,35.7,-0.7
2021-22,Regular+Season,UTA,1610612762,Utah Jazz,Royce O'Neale,1626220,UTA,F,77,77,36.0,1.7,4.6,37.9,35.3,2.6
2021-22,Regular+Season,CHI,1610612741,Chicago Bulls,Alex Caruso,1627936,CHI,G,41,40,39.5,1.4,4.6,29.9,35.6,-5.7
2021-22,Regular+Season,NYK,1610612752,New York Knicks,Alec Burks,202692,NYK,G,81,81,42.3,1.4,4.5,31.3,35.3,-4.0
2021-22,Regular+Season,MIA,1610612748,Miami Heat,Gabe Vincent,1629216,MIA,G,64,62,46.4,1.4,4.5,31.0,35.6,-4.5
2021-22,Regular+Season,ORL,1610612753,Orlando Magic,Mo Bamba,1628964,ORL,C,71,66,31.4,1.5,4.5,32.5,35.0,-2.5
