SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Alex Sarr,1642259,WAS,C,29,29,60.1,5.9,11.2,52.5,60.0,-7.5
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Walker Kessler,1631117,UTA,C,5,5,63.6,5.2,9.8,53.1,59.4,-6.4
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Nikola Jokić,203999,DEN,C,32,32,51.5,5.9,9.4,62.3,59.2,3.1
2025-26,Regular+Season,SAC,1610612758,Sacramento Kings,Domantas Sabonis,1627734,SAC,F-C,11,11,57.1,6.0,9.2,65.3,62.7,2.7
2025-26,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Evan Mobley,1630596,CLE,C,35,35,53.2,4.6,9.1,50.3,60.4,-10.1
2025-26,Regular+Season,SAC,1610612758,Sacramento Kings,Keegan Murray,1631099,SAC,F,19,19,63.1,5.4,9.0,60.2,60.7,-0.5
2025-26,Regular+Season,HOU,1610612745,Houston Rockets,Alperen Sengun,1630578,HOU,C,29,29,48.9,5.0,8.9,56.4,60.4,-4.0
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Derik Queen,1642852,NOP,C,41,41,54.9,4.9,8.8,56.3,61.4,-5.2
2025-26,Regular+Season,DAL,1610612742,Dallas Mavericks,Cooper Flagg,1642843,DAL,F,39,39,52.9,4.6,8.2,55.8,58.9,-3.1
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Rudy Gobert,203497,MIN,C,40,40,47.4,3.7,8.1,46.1,59.2,-13.1
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Myles Turner,1626167,MIL,C-F,39,38,55.1,4.5,8.1,55.6,59.8,-4.2
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,Ryan Kalkbrenner,1641750,CHA,C,28,28,53.3,4.3,8.1,53.5,60.1,-6.5
2025-26,Regular+Season,POR,1610612757,Portland Trail Blazers,Donovan Clingan,1642270,POR,C,37,37,42.3,4.2,8.0,52.5,61.0,-8.4
2025-26,Regular+Season,ATL,1610612737,Atlanta Hawks,Onyeka Okongwu,1630168,ATL,F-C,40,40,52.1,5.0,8.0,62.2,60.2,1.9
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Kyshawn George,1642273,WAS,F,29,29,45.0,4.4,8.0,55.0,59.0,-4.0
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Nikola Vučević,202696,CHI,C,38,38,46.9,4.8,7.9,60.1,60.5,-0.4
2025-26,Regular+Season,SAS,1610612759,San Antonio Spurs,Luke Kornet,1628436,SAS,C-F,32,32,46.2,4.3,7.9,54.0,61.0,-7.0
2025-26,Regular+Season,LAL,1610612747,Los Angeles Lakers,Luka Dončić,1629029,LAL,F-G,31,31,46.6,5.0,7.8,64.0,58.8,5.3
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Joel Embiid,203954,PHI,C-F,20,20,49.4,4.2,7.8,53.8,59.6,-5.7
2025-26,Regular+Season,BKN,1610612751,Brooklyn Nets,Nic Claxton,1629651,BKN,C,35,35,56.2,3.9,7.7,50.9,59.9,-8.9
2025-26,Regular+Season,DAL,1610612742,Dallas Mavericks,P.J. Washington,1629023,DAL,F,30,29,50.2,4.4,7.6,57.6,59.5,-1.8
2025-26,Regular+Season,TOR,1610612761,Toronto Raptors,Jakob Poeltl,1627751,TOR,C,21,21,56.4,4.5,7.6,59.1,59.9,-0.8
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Matas Buzelis,1641824,CHI,F,39,39,53.3,4.3,7.5,56.8,58.6,-1.8
2025-26,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Chet Holmgren,1631096,OKC,C-F,35,35,53.8,3.5,7.4,46.9,59.2,-12.3
2025-26,Regular+Season,LAC,1610612746,Los Angeles Clippers,Ivica Zubac,1627826,LAC,C,34,34,47.8,4.0,7.4,53.6,61.1,-7.5
2025-26,Regular+Season,DAL,1610612742,Dallas Mavericks,Anthony Davis,203076,DAL,F-C,20,20,47.3,4.0,7.4,53.4,60.3,-6.9
