SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
2024-25,Regular+Season,DEN,1610612743,Denver Nuggets,Nikola Jokić,203999,DEN,C,70,70,100,10.0,20.5,49.0,49.4,-0.4
2024-25,Regular+Season,UTA,1610612762,Utah Jazz,Walker Kessler,1631117,UTA,C,58,58,100,8.7,19.7,43.9,48.8,-4.9
2024-25,Regular+Season,MIL,1610612749,Milwaukee Bucks,Brook Lopez,201572,MIL,C,80,80,100,8.9,19.1,46.8,48.8,-2.0
2024-25,Regular+Season,SAS,1610612759,San Antonio Spurs,Victor Wembanyama,1641705,SAS,F-C,46,46,100,7.9,18.4,42.7,49.3,-6.6
2024-25,Regular+Season,LAC,1610612746,Los Angeles Clippers,Ivica Zubac,1627826,LAC,C,80,80,100,8.4,18.3,45.8,49.0,-3.2
2024-25,Regular+Season,CHI,1610612741,Chicago Bulls,Nikola Vučević,202696,CHI,C,73,73,100,8.5,17.9,47.5,49.3,-1.8
2024-25,Regular+Season,HOU,1610612745,Houston Rockets,Alperen Sengun,1630578,HOU,C,76,76,100,8.4,17.8,47.1,48.3,-1.2
2024-25,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Rudy Gobert,203497,MIN,C,72,72,100,8.2,17.8,45.8,49.0,-3.2
2024-25,Regular+Season,CHA,1610612766,Charlotte Hornets,Mark Williams,1631109,CHA,C,44,44,100,8.8,17.8,49.4,49.3,0.1
2024-25,Regular+Season,WAS,1610612764,Washington Wizards,Alex Sarr,1642259,WAS,C,67,67,100,9.0,17.7,50.7,49.8,1.0
2024-25,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Evan Mobley,1630596,CLE,C,71,71,100,7.6,17.1,44.5,47.6,-3.1
2024-25,Regular+Season,SAC,1610612758,Sacramento Kings,Domantas Sabonis,1627734,SAC,F-C,70,70,100,8.5,17.0,49.9,49.4,0.5
2024-25,Regular+Season,DET,1610612765,Detroit Pistons,Tolu Smith,1642449,DET,F,1,1,100,8.0,17.0,47.1,44.7,2.4
2024-25,Regular+Season,PHI,1610612755,Philadelphia 76ers,Isaiah Mobley,1630600,PHI,F,1,1,100,9.0,17.0,52.9,45.8,7.1
2024-25,Regular+Season,NYK,1610612752,New York Knicks,Karl-Anthony Towns,1626157,NYK,C-F,71,71,100,8.6,16.8,51.0,48.4,2.6
2024-25,Regular+Season,DAL,1610612742,Dallas Mavericks,Anthony Davis,203076,DAL,F-C,51,51,100,7.3,16.6,43.9,48.8,-4.8
2024-25,Regular+Season,DEN,1610612743,Denver Nuggets,Jamal Murray,1627750,DEN,G,67,67,100,7.8,16.5,47.7,46.2,1.5
2024-25,Regular+Season,BOS,1610612738,Boston Celtics,Kristaps Porziņģis,204001,BOS,F-C,42,42,100,6.8,16.2,42.1,48.2,-6.1
2024-25,Regular+Season,TOR,1610612761,Toronto Raptors,Jakob Poeltl,1627751,TOR,C,57,57,100,7.7,16.0,48.2,49.5,-1.2
2024-25,Regular+Season,PHI,1610612755,Philadelphia 76ers,Joel Embiid,203954,PHI,C-F,19,19,100,7.5,15.8,47.2,48.1,-1.0
2024-25,Regular+Season,CHA,1610612766,Charlotte Hornets,Grant Williams,1629684,CHA,F,16,16,100,7.5,15.8,47.4,49.0,-1.6
2024-25,Regular+Season,LAL,1610612747,Los Angeles Lakers,Austin Reaves,1630559,LAL,G,73,73,100,7.7,15.6,49.2,45.9,3.3
2024-25,Regular+Season,NYK,1610612752,New York Knicks,Josh Hart,1628404,NYK,G,76,76,100,7.5,15.5,48.4,46.4,2.1
2024-25,Regular+Season,ATL,1610612737,Atlanta Hawks,Dyson Daniels,1630700,ATL,G,76,76,100,7.3,15.0,48.6,46.9,1.8
2024-25,Regular+Season,LAL,1610612747,Los Angeles Lakers,Luka Dončić,1629029,LAL,F-G,50,50,100,7.0,15.0,46.3,46.4,-0.1
2024-25,Regular+Season,DAL,1610612742,Dallas Mavericks,Dereck Lively II,1641726,DAL,C,36,36,100,6.9,14.9,45.9,48.5,-2.6
2024-25,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Isaiah Hartenstein,1628392,OKC,C-F,57,57,100,6.9,14.9,46.4,48.8,-2.4
2024-25,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Jarrett Allen,1628386,CLE,C,81,81,100,7.0,14.9,46.8,48.8,-2.0
2024-25,Regular+Season,NOP,1610612740,New Orleans Pelicans,Yves Missi,1642274,NOP,C,73,73,100,7.8,14.9,52.5,49.2,3.3
2024-25,Regular+Season,IND,1610612754,Indiana Pacers,Myles Turner,1626167,IND,C-F,72,72,100,7.3,14.9,48.6,49.2,-0.6
2024-25,Regular+Season,SAS,1610612759,San Antonio Spurs,De'Aaron Fox,1628368,SAS,G,62,62,100,7.1,14.9,47.6,45.9,1.7
2024-25,Regular+Season,DET,1610612765,Detroit Pistons,Cade Cunningham,1630595,DET,G,70,70,100,6.5,14.8,44.1,46.4,-2.3
2024-25,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Chet Holmgren,1631096,OKC,C-F,32,32,100,6.2,14.8,41.8,48.8,-7.1
2024-25,Regular+Season,POR,1610612757,Portland Trail Blazers,Deandre Ayton,1629028,POR,C,40,40,100,7.1,14.8,47.9,49.0,-1.1
2024-25,Regular+Season,IND,1610612754,Indiana Pacers,Pascal Siakam,1627783,IND,F,78,78,100,6.8,14.7,46.4,46.9,-0.5
2024-25,Regular+Season,DAL,1610612742,Dallas Mavericks,Daniel Gafford,1629655,DAL,F-C,57,57,100,6.7,14.6,45.6,48.2,-2.6
2024-25,Regular+Season,GSW,1610612744,Golden State Warriors,Draymond Green,203110,GSW,F,68,68,100,6.3,14.5,43.2,48.0,-4.7
2024-25,Regular+Season,ATL,1610612737,Atlanta Hawks,Jalen Johnson,1630552,ATL,F,36,36,100,6.2,14.4,43.2,46.9,-3.6
2024-25,Regular+Season,PHX,1610612756,Phoenix Suns,Nick Richards,1630208,PHX,C,57,57,100,7.1,14.3,49.4,49.3,0.1
2024-25,Regular+Season,NOP,1610612740,New Orleans Pelicans,Trey Murphy III,1630530,NOP,F,52,52,100,7.4,14.3,51.5,47.3,4.2
2024-25,Regular+Season,HOU,1610612745,Houston Rockets,Dillon Brooks,1628415,HOU,G-F,75,75,100,6.7,14.2,46.8,46.9,-0.1
2024-25,Regular+Season,CHI,1610612741,Chicago Bulls,Josh Giddey,1630581,CHI,G,70,70,100,6.7,14.1,47.7,46.6,1.1
2024-25,Regular+Season,DAL,1610612742,Dallas Mavericks,P.J. Washington,1629023,DAL,F,57,57,100,7.0,14.0,50.4,47.5,2.9
2024-25,Regular+Season,WAS,1610612764,Washington Wizards,Kyshawn George,1642273,WAS,F,67,67,100,5.8,13.8,42.3,46.5,-4.2
2024-25,Regular+Season,BOS,1610612738,Boston Celtics,Derrick White,1628401,BOS,G,76,76,100,6.1,13.8,43.8,46.0,-2.1
2024-25,Regular+Season,SAC,1610612758,Sacramento Kings,Keegan Murray,1631099,SAC,F,76,76,100,6.2,13.8,44.9,46.6,-1.7
2024-25,Regular+Season,NYK,1610612752,New York Knicks,OG Anunoby,1628384,NYK,F-G,73,73,100,6.2,13.7,44.9,46.5,-1.6
2024-25,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Jaden McDaniels,1630183,MIN,F,82,82,100,6.2,13.6,46.0,46.3,-0.3
2024-25,Regular+Season,POR,1610612757,Portland Trail Blazers,Donovan Clingan,1642270,POR,C,67,67,100,5.8,13.6,42.9,48.6,-5.7
2024-25,Regular+Season,DET,1610612765,Detroit Pistons,Jalen Duren,1631105,DET,C,78,78,100,6.8,13.6,50.0,49.0,1.0
