SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS
2015-16,Pre+Season,Marc Gasol,201188,MEM,31,5,5,0,27.2,83.8,5.4,19.7,27.6,0.8,16.0,2.0,55.6,9.8,2.6,9.8,15.6,0.200
2015-16,Pre+Season,Matt Barnes,2440,MEM,36,5,5,0,17.4,76.2,3.4,15.6,22.1,0.8,21.1,0.6,20.0,8.0,2.6,4.0,8.4,0.187
2015-16,Pre+Season,Brandan Wright,201148,MEM,28,5,4,1,19.5,78.2,4.6,21.3,31.1,0.6,15.8,1.2,54.5,9.0,4.4,5.2,13.6,0.186
2015-16,Pre+Season,Isaiah Thomas,202738,BOS,27,5,4,1,23.5,83.4,1.8,5.7,8.5,1.0,17.2,0.2,7.7,6.8,5.8,6.2,17.6,0.185
2015-16,Pre+Season,Tony Allen,2754,MEM,34,4,4,0,19.1,78.1,1.8,10.1,14.0,1.5,37.5,0.0,0.0,7.3,0.5,6.8,12.5,0.184
2015-16,Pre+Season,Tyler Hansbrough,201946,CHA,30,4,3,1,22.5,81.8,6.8,25.0,32.1,0.3,10.0,0.5,66.7,6.5,2.0,9.3,19.5,0.179
2015-16,Pre+Season,Jeremy Lin,202391,CHA,27,6,6,0,25.2,85.4,3.8,12.7,17.6,0.7,19.0,0.0,0.0,8.3,6.3,5.8,19.3,0.176
2015-16,Pre+Season,Jerian Grant,1626170,NYK,23,6,4,2,23.2,83.9,2.7,9.1,14.7,0.2,5.0,0.2,4.8,6.8,8.7,4.2,18.0,0.174
2015-16,Pre+Season,Derrick Favors,202324,UTA,24,5,2,3,25.9,87.0,4.0,14.0,19.6,1.4,28.0,2.2,78.6,8.8,5.6,7.6,17.6,0.166
2015-16,Pre+Season,Paul Millsap,200794,ATL,31,5,3,2,24.4,85.9,7.2,23.8,32.7,1.6,34.8,0.8,23.5,8.4,5.6,7.4,15.6,0.166
2015-16,Pre+Season,Alexis Ajinca,201582,NOP,28,1,1,0,8.2,52.6,2.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.159
2015-16,Pre+Season,Troy Daniels,203584,CHA,24,3,2,1,20.4,83.7,3.7,14.3,19.6,0.3,14.3,0.0,0.0,4.3,3.7,5.3,14.0,0.156
2015-16,Pre+Season,Jameer Nelson,2749,DEN,34,5,4,1,19.9,83.6,2.0,8.7,12.5,0.2,4.0,0.0,0.0,6.2,5.8,6.0,10.8,0.154
2015-16,Pre+Season,Courtney Lee,201584,CHA,30,5,5,0,23.5,85.7,2.0,8.2,11.4,0.8,21.1,0.2,7.7,9.4,3.0,9.4,14.0,0.153
2015-16,Pre+Season,Russ Smith,203893,MEM,25,5,4,1,21.7,84.9,3.0,12.1,19.0,1.4,38.9,0.2,20.0,10.0,4.8,5.8,14.8,0.152
2015-16,Pre+Season,Marcus Smart,203935,BOS,22,5,5,0,24.2,87.8,1.6,6.0,8.2,1.0,17.2,0.0,0.0,6.2,4.0,5.4,18.4,0.151
2015-16,Pre+Season,Marvin Williams,101107,CHA,30,7,7,0,21.4,85.1,4.0,16.1,20.4,0.7,20.8,0.1,9.1,6.0,3.6,5.7,14.9,0.150
2015-16,Pre+Season,Beno Udrih,2757,MEM,33,5,4,1,15.2,79.1,1.8,9.6,13.6,0.6,21.4,0.0,0.0,7.4,2.2,6.8,13.2,0.149
2015-16,Pre+Season,JaMychal Green,203210,MEM,26,6,5,1,14.1,76.7,3.5,21.4,31.3,0.2,7.1,0.2,14.3,7.0,3.0,4.7,8.0,0.149
2015-16,Pre+Season,Ronnie Price,101179,PHX,33,3,2,1,21.5,85.7,3.0,10.7,16.1,1.0,25.0,0.0,0.0,8.0,7.7,6.7,18.7,0.149
2015-16,Pre+Season,Jeff Green,201145,LAC,29,6,5,1,24.1,86.3,3.8,13.7,20.4,1.3,29.6,0.0,0.0,9.2,3.2,8.0,16.7,0.148
2015-16,Pre+Season,DeMarcus Cousins,202326,SAC,25,5,4,1,23.8,87.9,5.6,22.8,30.1,2.2,42.3,0.4,33.3,8.0,3.0,7.4,14.0,0.147
2015-16,Pre+Season,Gary Harris,203914,DEN,21,6,4,2,28.0,90.2,1.7,5.4,7.4,1.7,29.4,0.0,0.0,9.3,7.7,10.2,18.3,0.147
2015-16,Pre+Season,Kevin Seraphin,202338,NYK,26,4,2,2,14.0,74.1,1.3,7.7,11.6,0.3,8.3,0.0,0.0,2.8,2.8,2.3,9.0,0.147
2015-16,Pre+Season,Al Horford,201143,ATL,30,6,4,2,23.5,87.9,6.0,20.1,28.8,0.8,20.8,1.2,30.4,8.3,6.0,5.3,15.3,0.145
2015-16,Pre+Season,Nikola Vučević,202696,ORL,25,7,6,1,23.9,88.1,5.1,20.3,28.3,0.6,10.5,1.0,43.8,8.4,5.3,4.1,14.0,0.144
2015-16,Pre+Season,Serge Ibaka,201586,OKC,26,5,5,0,25.2,89.0,4.6,17.7,25.3,0.2,4.8,1.6,40.0,11.6,5.6,7.2,20.0,0.142
2015-16,Pre+Season,Willie Reed,203186,BKN,26,1,0,1,5.1,33.3,2.0,0.0,33.3,1.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,0.142
2015-16,Pre+Season,Norris Cole,202708,NOP,27,2,1,1,19.0,84.1,3.5,0.0,18.9,0.5,25.0,0.0,0.0,6.0,2.5,5.0,7.0,0.140
2015-16,Pre+Season,Cleanthony Early,203921,NYK,25,6,4,2,20.2,86.3,2.5,10.6,16.1,0.3,11.1,0.8,31.3,5.3,6.3,3.5,17.0,0.137
2015-16,Pre+Season,Justise Winslow,1626159,MIA,20,6,2,4,28.5,91.2,4.3,12.9,19.1,1.0,26.1,0.5,15.0,8.7,6.0,5.8,14.0,0.137
2015-16,Pre+Season,Kemba Walker,202689,CHA,26,7,6,1,22.5,88.4,1.3,5.3,6.7,0.9,20.7,0.0,0.0,5.7,3.3,6.9,14.3,0.135
2015-16,Pre+Season,LeBron James,2544,CLE,31,2,0,2,24.0,88.5,3.5,15.2,21.9,3.0,54.5,0.0,0.0,7.5,5.0,6.0,15.0,0.135
2015-16,Pre+Season,Terry Rozier,1626179,BOS,22,5,5,0,18.6,84.1,2.0,10.0,14.7,1.4,31.8,0.0,0.0,5.4,3.0,3.4,11.2,0.135
2015-16,Pre+Season,Aaron Gordon,203932,ORL,20,2,2,0,15.4,82.1,3.5,0.0,31.8,1.5,60.0,0.5,33.3,5.5,3.0,3.0,9.0,0.134
2015-16,Pre+Season,Nene,2403,WAS,33,3,2,1,15.1,79.6,2.7,0.0,20.0,1.3,36.4,0.3,50.0,3.3,2.0,5.3,12.0,0.133
2015-16,Pre+Season,Tyler Johnson,204020,MIA,24,8,4,4,16.8,82.1,1.9,9.3,13.5,0.5,18.2,0.1,7.7,3.3,3.9,2.5,9.0,0.133
2015-16,Pre+Season,Brian Roberts,203148,POR,30,7,6,1,19.6,85.7,1.6,6.9,9.1,0.9,33.3,0.0,0.0,7.3,2.9,6.0,15.7,0.129
2015-16,Pre+Season,Danilo Gallinari,201568,DEN,27,5,3,2,25.5,90.9,4.2,15.7,21.6,1.2,24.0,0.0,0.0,10.8,5.4,10.4,23.6,0.128
2015-16,Pre+Season,Zach Randolph,2216,MEM,34,5,5,0,22.7,88.2,3.4,14.8,21.0,0.6,15.8,0.4,15.4,8.2,1.8,8.2,13.6,0.128
2015-16,Pre+Season,Kelly Olynyk,203482,BOS,25,6,5,1,17.7,85.5,3.7,17.5,26.8,0.5,12.0,0.2,11.1,6.2,4.5,3.5,12.3,0.127
2015-16,Pre+Season,Evan Fournier,203095,ORL,23,7,6,1,24.4,90.8,1.7,6.6,9.7,0.7,13.9,0.1,4.8,7.7,6.9,6.7,14.9,0.126
2015-16,Pre+Season,Langston Galloway,204038,NYK,24,6,4,2,27.0,92.2,3.5,11.5,17.8,1.2,29.2,0.2,5.3,7.7,8.3,6.8,22.7,0.126
2015-16,Pre+Season,Al Jefferson,2744,CHA,31,6,6,0,24.1,90.7,5.0,18.8,24.4,0.8,20.0,1.2,70.0,7.8,5.2,7.0,17.3,0.125
