SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE
2015-16,Pre+Season,KJ McDaniels,203909,8,3,5,18,94.0,103.8,-9.7,11.7,6.8,18.2,12.3,11.7,22.0,107.86,0,0
2015-16,Pre+Season,Sam Dekker,1626155,8,3,5,19,93.8,100.2,-6.3,11.6,7.2,5.8,6.6,6.6,13.4,106.72,0,0
2015-16,Pre+Season,Cody Zeller,203469,8,7,1,22,97.4,94.1,3.2,18.6,4.2,20.9,12.9,12.4,13.2,101.93,0,0
2015-16,Pre+Season,Doug McDermott,203926,8,4,4,28,105.8,107.5,-1.6,8.9,1.3,15.9,8.4,3.9,16.5,101.34,0,0
2015-16,Pre+Season,Stanley Johnson,1626169,8,3,5,27,104.1,99.8,4.3,12.3,4.0,13.6,8.8,11.6,23.5,99.90,0,0
2015-16,Pre+Season,Gerald Green,101123,8,4,4,22,100.9,94.5,6.4,5.8,3.8,17.0,10.7,8.0,31.8,99.78,0,0
2015-16,Pre+Season,E'Twaun Moore,202734,8,4,4,25,99.3,110.7,-11.4,18.6,3.0,7.3,5.1,10.6,19.4,99.56,0,0
2015-16,Pre+Season,Tyler Johnson,204020,8,4,4,17,110.8,81.4,29.5,13.0,3.1,10.7,7.1,8.7,18.9,99.25,0,0
2015-16,Pre+Season,Spencer Dinwiddie,203915,8,3,5,20,107.1,98.6,8.5,36.3,1.6,14.6,8.4,17.6,16.1,99.19,0,0
2015-16,Pre+Season,Anthony Tolliver,201229,8,3,5,18,105.3,99.2,6.1,18.7,3.3,14.9,9.4,7.5,13.5,98.54,0,0
2015-16,Pre+Season,Aaron Brooks,201166,8,4,4,19,107.7,106.1,1.6,18.0,3.8,8.3,6.0,12.9,25.3,98.50,0,0
2015-16,Pre+Season,Nick Young,201156,8,3,5,21,110.6,107.1,3.5,7.8,2.5,7.1,4.8,3.4,20.9,98.07,0,0
2015-16,Pre+Season,Nikola Mirotic,202703,8,4,4,23,96.2,99.7,-3.5,12.1,3.8,26.6,14.3,16.4,24.9,98.01,0,0
2015-16,Pre+Season,Victor Oladipo,203506,8,6,2,24,96.2,90.2,6.0,20.8,3.3,14.1,8.7,8.9,18.8,97.51,0,0
2015-16,Pre+Season,Frank Kaminsky,1626163,8,7,1,20,97.9,90.4,7.5,10.8,6.3,21.4,14.2,12.0,21.5,97.36,0,0
2015-16,Pre+Season,Roy Hibbert,201579,8,3,5,22,101.0,111.6,-10.6,20.3,14.3,30.1,21.7,8.7,13.5,97.34,0,0
2015-16,Pre+Season,Andre Drummond,203083,8,3,5,29,102.2,97.0,5.1,4.4,16.3,30.2,23.2,8.1,24.6,97.15,0,0
2015-16,Pre+Season,Julius Randle,203944,8,3,5,21,101.2,109.6,-8.5,15.1,7.2,23.1,14.6,16.7,26.6,97.14,0,0
2015-16,Pre+Season,Jimmy Butler III,202710,8,4,4,27,101.2,102.5,-1.3,23.3,4.5,11.8,7.9,5.5,22.3,96.55,0,0
2015-16,Pre+Season,Marcus Morris Sr.,202694,8,3,5,24,112.5,98.5,14.0,10.7,4.3,20.6,12.3,7.8,21.5,96.10,0,0
2015-16,Pre+Season,Mario Hezonja,1626209,8,6,2,22,101.0,103.9,-2.9,12.1,5.1,11.3,8.1,15.1,22.3,95.67,0,0
2015-16,Pre+Season,Jordan Clarkson,203903,8,3,5,22,104.7,110.4,-5.7,14.1,5.8,12.8,9.0,10.8,25.2,95.58,0,0
2015-16,Pre+Season,Josh Harrellson,202725,7,4,3,7,97.1,99.9,-2.8,13.4,5.3,18.8,11.4,13.4,21.2,108.64,0,0
2015-16,Pre+Season,Robert Covington,203496,7,2,5,24,95.6,95.0,0.7,14.1,7.1,16.3,11.5,16.7,23.0,108.58,0,0
2015-16,Pre+Season,Richaun Holmes,1626158,7,2,5,15,89.6,97.7,-8.2,8.5,7.7,15.8,11.6,21.3,17.2,107.55,0,0
2015-16,Pre+Season,Draymond Green,203110,7,3,4,21,114.8,105.3,9.5,20.0,2.7,27.6,17.0,12.2,20.9,107.41,0,0
2015-16,Pre+Season,Marreese Speights,201578,7,3,4,15,93.2,98.1,-4.9,10.2,7.2,26.9,16.7,11.4,26.4,107.07,0,0
2015-16,Pre+Season,Brandon Rush,201575,7,3,4,19,96.4,108.5,-12.1,9.7,0.8,11.8,6.3,15.6,14.6,107.04,0,0
2015-16,Pre+Season,Jordan McRae,203895,7,2,5,20,91.0,102.1,-11.1,12.5,2.2,11.0,6.5,15.9,23.2,106.30,0,0
2015-16,Pre+Season,James Michael McAdoo,203949,7,3,4,13,90.9,99.0,-8.1,7.0,7.3,19.8,13.2,14.0,17.8,105.93,0,0
2015-16,Pre+Season,Ian Clark,203546,7,3,4,13,87.2,100.4,-13.2,16.4,2.0,6.8,4.3,14.7,22.2,105.69,0,0
2015-16,Pre+Season,Festus Ezeli,203105,7,3,4,16,103.2,104.0,-0.8,16.7,10.6,22.9,16.7,18.4,18.3,105.59,0,0
2015-16,Pre+Season,Mason Plumlee,203486,7,3,4,21,100.6,102.5,-1.9,17.7,5.7,23.1,14.1,24.2,14.3,105.03,0,0
2015-16,Pre+Season,Otto Porter Jr.,203490,7,4,3,25,110.7,94.7,16.0,20.0,2.7,11.6,7.6,8.9,17.1,104.95,0,0
2015-16,Pre+Season,Meyers Leonard,203086,7,3,4,25,95.8,98.6,-2.8,12.3,1.2,25.4,13.8,17.3,17.4,104.70,0,0
2015-16,Pre+Season,Jonas Jerebko,201973,7,6,1,16,95.7,85.1,10.6,2.0,9.4,12.7,11.2,20.2,17.9,104.66,0,0
2015-16,Pre+Season,Marcin Gortat,101162,7,4,3,25,113.8,103.3,10.5,12.5,6.7,21.3,14.8,9.4,20.2,104.62,0,0
2015-16,Pre+Season,Joshua Smith,1626288,7,3,4,16,99.0,105.7,-6.7,12.1,16.4,20.4,18.3,22.5,18.1,104.60,0,0
2015-16,Pre+Season,Jrue Holiday,201950,7,3,4,13,112.3,89.8,22.5,21.9,4.5,15.5,10.2,13.7,26.2,104.28,0,0
2015-16,Pre+Season,Ryan Kelly,203527,7,3,4,16,110.8,100.7,10.1,8.0,3.1,24.6,14.7,6.0,18.0,103.76,0,0
2015-16,Pre+Season,James Young,203923,7,6,1,14,93.2,91.7,1.6,7.1,1.0,9.5,5.2,9.4,17.1,103.73,0,0
2015-16,Pre+Season,Leandro Barbosa,2571,7,3,4,12,104.3,100.4,3.9,11.4,2.4,14.1,7.7,4.9,26.7,103.32,0,0
2015-16,Pre+Season,Kris Humphries,2743,7,4,3,25,109.0,100.2,8.8,6.7,7.8,26.7,18.0,9.4,17.2,103.20,0,0
2015-16,Pre+Season,Jamil Wilson,203966,7,0,7,18,74.0,97.8,-23.8,25.2,0.0,9.8,4.4,9.2,11.4,103.18,0,0
