SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
2015-16,Pre+Season,Aaron Brooks,201166,CHI,31,8,4,4,19.3,1.3,1.4,1.0,3.3,7.3,3.6,3.4,13.8,0.1,0.3,2.3,1.6
2015-16,Pre+Season,Andre Drummond,203083,DET,22,8,3,5,28.7,3.6,3.4,2.3,13.5,9.8,6.5,6.5,20.3,0.9,0.9,2.5,2.5
2015-16,Pre+Season,Anthony Tolliver,201229,DET,31,8,3,5,17.8,0.9,0.9,1.3,0.3,5.0,5.6,3.3,11.8,0.1,0.0,1.1,0.6
2015-16,Pre+Season,Cody Zeller,203469,CHA,23,8,7,1,22.1,1.8,0.9,1.3,3.5,7.6,6.0,6.6,16.0,0.3,0.3,2.3,2.5
2015-16,Pre+Season,Doug McDermott,203926,CHI,24,8,4,4,28.4,1.4,1.4,2.6,2.8,11.6,6.1,9.8,24.0,0.0,0.4,2.1,1.3
2015-16,Pre+Season,E'Twaun Moore,202734,CHI,27,8,4,4,25.0,1.1,0.6,1.6,4.8,11.3,6.1,9.0,21.3,0.4,0.1,2.9,1.4
2015-16,Pre+Season,Frank Kaminsky,1626163,CHA,23,8,7,1,19.7,1.0,1.4,0.9,2.5,6.5,2.8,7.9,16.8,0.4,0.5,1.1,1.3
2015-16,Pre+Season,Gerald Green,101123,MIA,30,8,4,4,21.8,3.0,0.8,2.9,4.5,7.6,7.0,5.9,14.3,0.3,0.9,2.0,3.9
2015-16,Pre+Season,Jimmy Butler III,202710,CHI,26,8,4,4,27.4,2.4,0.6,2.0,4.3,9.1,6.5,7.1,20.3,0.3,0.8,1.6,3.3
2015-16,Pre+Season,Jordan Clarkson,203903,LAL,24,8,3,5,22.2,2.0,1.6,1.8,6.3,7.8,4.6,5.4,20.3,0.1,0.6,1.8,2.3
2015-16,Pre+Season,Julius Randle,203944,LAL,21,8,3,5,21.3,2.4,3.8,1.3,9.0,7.8,5.3,4.9,18.8,0.4,0.8,2.3,3.0
2015-16,Pre+Season,KJ McDaniels,203909,HOU,23,8,3,5,18.4,1.5,1.3,1.8,3.3,7.6,5.5,8.0,17.5,1.0,0.5,2.6,3.0
2015-16,Pre+Season,Marcus Morris Sr.,202694,DET,26,8,3,5,23.6,3.4,1.1,1.8,2.8,7.5,5.1,3.9,14.5,0.4,0.3,3.4,2.0
2015-16,Pre+Season,Mario Hezonja,1626209,ORL,21,8,6,2,21.8,2.8,1.1,0.9,2.3,9.0,5.4,5.0,11.8,0.1,0.3,2.5,1.3
2015-16,Pre+Season,Nick Young,201156,LAL,31,8,3,5,21.2,1.5,0.3,1.4,0.8,6.8,5.1,4.5,21.8,0.0,0.1,2.3,1.0
2015-16,Pre+Season,Nikola Mirotic,202703,CHI,25,8,4,4,22.6,1.4,2.1,1.5,2.8,7.6,4.3,6.8,17.8,0.4,0.1,2.6,3.4
2015-16,Pre+Season,Roy Hibbert,201579,LAL,29,8,3,5,21.8,0.8,2.6,0.0,4.0,8.3,4.9,5.6,19.3,1.5,0.4,2.0,2.9
