SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,VS_PLAYER_NAME,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2015-16,All+Star,,1962937370,CAN,1,1,0,44.9,10.5,47.4,22.2,0.0,5.3,0.0,10.5,52.6,20.0,10.5,31.6,42.1,10.5,31.6,5.3,5.3,0.0,31.6,26.3,31.6,-63.2,0,0
2015-16,All+Star,,1962937371,CAN,1,1,0,46.6,26.5,61.8,42.9,2.9,14.7,20.0,11.8,35.3,33.3,5.9,20.6,26.5,17.6,17.6,5.9,0.0,0.0,23.5,17.6,67.6,-41.2,0,0
2015-16,All+Star,,1962937374,CAN,1,1,0,46.4,19.5,68.3,28.6,2.4,31.7,7.7,14.6,39.0,37.5,14.6,39.0,53.7,9.8,22.0,9.8,9.8,0.0,19.5,22.0,56.1,-26.8,0,0
2015-16,All+Star,,1962937369,CAN,1,1,0,48.2,23.9,69.6,34.4,8.7,34.8,25.0,10.9,26.1,41.7,10.9,37.0,47.8,13.0,21.7,8.7,6.5,0.0,17.4,15.2,67.4,-21.7,0,0
2015-16,All+Star,,1962937384,USA,1,0,1,50.7,32.6,97.7,33.3,2.3,27.9,8.3,4.7,11.6,40.0,18.6,44.2,62.8,20.9,16.3,2.3,2.3,4.7,16.3,4.7,72.1,-20.9,0,0
2015-16,All+Star,,1962937375,CAN,1,1,0,48.2,30.6,71.4,42.9,8.2,30.6,26.7,12.2,28.6,42.9,10.2,36.7,46.9,16.3,18.4,8.2,6.1,0.0,14.3,16.3,81.6,-12.2,0,0
2015-16,All+Star,,1962937385,USA,1,0,1,53.6,34.0,102.0,33.3,4.0,28.0,14.3,4.0,14.0,28.6,24.0,46.0,70.0,22.0,18.0,2.0,2.0,4.0,16.0,8.0,76.0,-12.0,0,0
2015-16,All+Star,,1962937378,CAN,1,1,0,60.5,27.8,94.4,29.4,22.2,55.6,40.0,16.7,33.3,50.0,11.1,27.8,38.9,22.2,5.6,11.1,0.0,5.6,16.7,16.7,94.4,-11.1,0,0
2015-16,All+Star,,1962937386,USA,1,0,1,57.4,39.4,106.1,37.1,3.0,21.2,14.3,3.0,18.2,16.7,27.3,39.4,66.7,21.2,12.1,6.1,0.0,6.1,18.2,15.2,84.8,-9.1,0,0
2015-16,All+Star,,1962937387,USA,1,0,1,53.7,36.2,97.9,37.0,4.3,27.7,15.4,4.3,10.6,40.0,19.1,44.7,63.8,23.4,17.0,2.1,2.1,4.3,17.0,6.4,80.9,-8.5,0,0
2015-16,All+Star,,1962937373,CAN,1,1,0,51.1,33.3,86.1,38.7,5.6,36.1,15.4,16.7,38.9,42.9,8.3,33.3,41.7,22.2,5.6,5.6,2.8,2.8,13.9,19.4,88.9,-8.3,0,0
2015-16,All+Star,,1962937388,USA,1,0,1,55.1,38.7,109.7,35.3,0.0,19.4,0.0,3.2,22.6,14.3,29.0,38.7,67.7,22.6,9.7,9.7,0.0,6.5,19.4,12.9,80.6,-6.5,0,0
2015-16,All+Star,,1962937379,CAN,1,1,0,51.1,31.8,86.4,36.8,4.5,45.5,10.0,9.1,27.3,33.3,13.6,45.5,59.1,22.7,18.2,4.5,9.1,0.0,13.6,18.2,77.3,-4.5,0,0
2015-16,All+Star,,1962937377,CAN,1,1,0,50.4,35.3,86.3,40.9,9.8,39.2,25.0,15.7,31.4,50.0,7.8,41.2,49.0,17.6,7.8,5.9,5.9,2.0,11.8,15.7,96.1,-2.0,0,0
2015-16,All+Star,,1962937376,CAN,1,1,0,55.2,31.4,92.2,34.0,11.8,51.0,23.1,15.7,27.5,57.1,11.8,37.3,49.0,19.6,7.8,9.8,5.9,2.0,7.8,15.7,90.2,2.0,0,0
2015-16,All+Star,,1962937372,CAN,1,1,0,54.9,40.0,90.0,44.4,6.7,36.7,18.2,16.7,33.3,50.0,6.7,30.0,36.7,26.7,0.0,6.7,0.0,3.3,6.7,16.7,103.3,13.3,0,0
2015-16,All+Star,,1962937397,USA,1,0,1,48.1,48.4,96.8,50.0,12.9,29.0,44.4,3.2,16.1,20.0,16.1,41.9,58.1,29.0,12.9,3.2,0.0,6.5,16.1,12.9,112.9,16.1,0,0
2015-16,All+Star,,1962937382,USA,1,0,1,43.3,39.2,88.2,44.4,5.9,21.6,27.3,9.8,35.3,27.8,21.6,45.1,66.7,25.5,17.6,15.7,2.0,5.9,19.6,17.6,94.1,29.4,0,0
2015-16,All+Star,,1962937389,USA,1,0,1,42.4,44.1,94.1,46.9,5.9,14.7,40.0,11.8,38.2,30.8,29.4,38.2,67.6,23.5,14.7,23.5,0.0,5.9,17.6,23.5,105.9,44.1,0,0
2015-16,All+Star,,1962937380,USA,1,0,1,44.4,45.2,96.8,46.7,6.5,16.1,40.0,12.9,35.5,36.4,29.0,41.9,71.0,22.6,16.1,22.6,0.0,3.2,12.9,22.6,109.7,45.2,0,0
2015-16,All+Star,,1962937381,USA,1,0,1,47.9,47.4,94.7,50.0,7.9,15.8,50.0,10.5,39.5,26.7,28.9,42.1,71.1,26.3,15.8,21.1,0.0,5.3,18.4,26.3,113.2,52.6,0,0
2015-16,All+Star,,1962937383,USA,1,0,1,42.6,31.3,56.3,55.6,0.0,12.5,0.0,25.0,50.0,50.0,12.5,56.3,68.8,18.8,31.3,31.3,6.3,0.0,18.8,25.0,87.5,62.5,0,0
2015-16,All+Star,Aldridge, LaMarcus,200746,WST,1,1,0,34.7,53.7,100.0,53.7,14.6,34.1,42.9,0.0,2.4,0.0,9.8,26.8,36.6,17.1,9.8,7.3,2.4,0.0,2.4,2.4,122.0,-2.4,0,0
2015-16,All+Star,Anthony, Carmelo,2546,EST,1,0,1,31.4,56.2,100.0,56.2,12.3,46.6,26.5,1.4,2.7,50.0,12.3,24.7,37.0,37.0,12.3,19.2,0.0,2.7,4.1,4.1,126.0,8.2,0,0
2015-16,All+Star,Bogdanovic, Bojan,202711,WLD,1,0,1,34.5,58.7,100.0,58.7,15.2,37.0,41.2,4.3,6.5,66.7,8.7,19.6,28.3,34.8,6.5,8.7,2.2,2.2,2.2,6.5,137.0,4.3,0,0
2015-16,All+Star,Booker, Devin,1626164,USA,1,1,0,35.3,55.8,92.3,60.4,9.6,28.8,33.3,9.6,15.4,62.5,21.2,25.0,46.2,32.7,17.3,9.6,3.8,0.0,7.7,9.6,130.8,-17.3,0,0
2015-16,All+Star,Bryant, Kobe,977,WST,1,1,0,30.7,51.2,91.7,55.8,14.3,44.0,32.4,0.0,0.0,0.0,11.9,28.6,40.5,25.0,21.4,7.1,1.2,0.0,7.1,2.4,116.7,-13.1,0,0
2015-16,All+Star,Capela, Clint,203991,WLD,1,0,1,36.0,54.8,109.5,50.0,14.3,42.9,33.3,0.0,0.0,0.0,19.0,23.8,42.9,26.2,9.5,11.9,0.0,0.0,4.8,4.8,123.8,-4.8,0,0
2015-16,All+Star,Clarkson, Jordan,203903,USA,1,1,0,32.9,58.3,100.0,58.3,13.9,36.1,38.5,4.2,5.6,75.0,18.1,27.8,45.8,40.3,13.9,6.9,1.4,1.4,9.7,2.8,134.7,12.5,0,0
2015-16,All+Star,Cousins, DeMarcus,202326,WST,1,1,0,35.2,51.5,87.9,58.6,12.1,36.4,33.3,9.1,12.1,75.0,12.1,27.3,39.4,30.3,12.1,6.1,0.0,0.0,12.1,15.2,124.2,-30.3,0,0
2015-16,All+Star,Curry, Stephen,201939,WST,1,1,0,31.0,50.5,91.4,55.3,14.0,44.1,31.7,0.0,0.0,0.0,10.8,29.0,39.8,25.8,20.4,6.5,1.1,0.0,6.5,3.2,115.1,-19.4,0,0
2015-16,All+Star,Davis, Anthony,203076,WST,1,1,0,34.8,52.3,102.3,51.1,15.9,40.9,38.9,0.0,2.3,0.0,9.1,27.3,36.4,18.2,9.1,6.8,2.3,0.0,2.3,2.3,120.5,-9.1,0,0
2015-16,All+Star,DeRozan, DeMar,201942,EST,1,0,1,35.7,54.7,101.9,53.7,22.6,52.8,42.9,0.0,0.0,0.0,11.3,35.8,47.2,35.8,7.5,9.4,0.0,1.9,11.3,3.8,132.1,22.6,0,0
2015-16,All+Star,Drummond, Andre,203083,EST,1,0,1,34.4,58.5,105.7,55.4,32.1,66.0,48.6,0.0,0.0,0.0,9.4,24.5,34.0,34.0,5.7,11.3,0.0,0.0,9.4,9.4,149.1,22.6,0,0
2015-16,All+Star,Durant, Kevin,201142,WST,1,1,0,30.2,48.7,89.5,54.4,13.2,43.4,30.3,0.0,0.0,0.0,9.2,30.3,39.5,22.4,22.4,7.9,1.3,0.0,3.9,2.6,110.5,-13.2,0,0
2015-16,All+Star,Gasol, Pau,2200,EST,1,0,1,35.4,48.8,100.0,48.8,26.8,61.0,44.0,0.0,0.0,0.0,4.9,31.7,36.6,34.1,7.3,12.2,0.0,0.0,12.2,7.3,124.4,14.6,0,0
2015-16,All+Star,George, Paul,202331,EST,1,0,1,30.8,51.7,100.0,51.7,16.1,55.2,29.2,1.1,2.3,50.0,12.6,23.0,35.6,31.0,12.6,17.2,0.0,2.3,3.4,3.4,120.7,3.4,0,0
2015-16,All+Star,Green, Draymond,203110,WST,1,1,0,34.7,48.6,91.4,53.1,14.3,45.7,31.3,8.6,11.4,75.0,11.4,25.7,37.1,31.4,8.6,5.7,0.0,0.0,11.4,14.3,120.0,-42.9,0,0
2015-16,All+Star,Harden, James,201935,WST,1,1,0,36.4,53.4,96.6,55.4,12.1,31.0,38.9,5.2,8.6,60.0,8.6,29.3,37.9,20.7,10.3,8.6,1.7,0.0,3.4,10.3,124.1,-15.5,0,0
2015-16,All+Star,Hezonja, Mario,1626209,WLD,1,0,1,34.1,55.1,97.1,56.7,15.9,39.1,40.7,8.7,8.7,100,8.7,20.3,29.0,30.4,10.1,10.1,0.0,2.9,5.8,8.7,134.8,5.8,0,0
2015-16,All+Star,Hood, Rodney,203918,USA,1,1,0,35.6,57.4,95.7,60.0,10.6,29.8,35.7,4.3,8.5,50.0,21.3,25.5,46.8,34.0,19.1,8.5,4.3,0.0,4.3,6.4,129.8,-21.3,0,0
2015-16,All+Star,Horford, Al,201143,EST,1,0,1,34.9,63.0,96.3,65.4,37.0,51.9,71.4,0.0,0.0,0.0,14.8,40.7,55.6,37.0,11.1,3.7,0.0,0.0,7.4,11.1,163.0,25.9,0,0
2015-16,All+Star,James, LeBron,2544,EST,1,0,1,31.1,60.0,103.1,58.2,16.9,52.3,32.4,1.5,3.1,50.0,12.3,27.7,40.0,36.9,10.8,18.5,0.0,1.5,0.0,6.2,138.5,20.0,0,0
