SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,G,MIN,SCREEN_ASSISTS,SCREEN_AST_PTS,DEFLECTIONS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,CHARGES_DRAWN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,CONTESTED_SHOTS
2021-22,Regular+Season,DEN,1610612743,Denver Nuggets,Aaron Gordon,203932,75,31.7,0.7,1.7,0.9,0.4,0.3,0.7,62.0,38.0,0.01,3.5,1.9,5.3
2021-22,Regular+Season,PHI,1610612755,Philadelphia 76ers,Aaron Henry,1630565,5,3.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.00,0.6,0.4,1.0
2021-22,Regular+Season,PHX,1610612756,Phoenix Suns,Aaron Holiday,1628988,59,17.1,0.1,0.4,1.4,0.2,0.3,0.5,42.9,57.1,0.02,1.3,1.5,2.8
2021-22,Regular+Season,BOS,1610612738,Boston Celtics,Aaron Nesmith,1630174,48,11.5,0.1,0.2,0.6,0.1,0.2,0.3,38.5,61.5,0.08,2.0,1.2,3.1
2021-22,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Aaron Wiggins,1630598,49,24.6,0.3,0.6,1.3,0.2,0.3,0.5,38.5,61.5,0.00,3.1,3.0,6.2
2021-22,Regular+Season,PHX,1610612756,Phoenix Suns,Abdel Nader,1627846,13,10.9,0.1,0.1,1.0,0.1,0.1,0.3,50.0,50.0,0.00,1.9,0.9,2.9
2021-22,Regular+Season,ORL,1610612753,Orlando Magic,Admiral Schofield,1629678,35,13.2,0.6,1.3,0.3,0.1,0.0,0.1,80.0,20.0,0.06,1.4,1.2,2.6
2021-22,Regular+Season,BOS,1610612738,Boston Celtics,Al Horford,201143,69,29.1,2.0,4.6,1.0,0.3,0.3,0.6,47.7,52.3,0.00,7.3,3.6,11.0
2021-22,Regular+Season,NYK,1610612752,New York Knicks,Alec Burks,202692,81,28.6,0.2,0.4,1.7,0.3,0.4,0.7,45.8,54.2,0.00,2.7,2.9,5.6
2021-22,Regular+Season,ORL,1610612753,Orlando Magic,Aleem Ford,1630758,5,14.7,0.0,0.0,0.8,0.4,0.2,0.6,66.7,33.3,0.20,1.6,1.4,3.0
2021-22,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Aleksej Pokusevski,1630197,61,20.2,0.4,0.8,1.2,0.1,0.2,0.3,38.1,61.9,0.00,3.2,2.7,5.9
2021-22,Regular+Season,CHI,1610612741,Chicago Bulls,Alex Caruso,1627936,41,28.0,0.6,1.3,3.4,0.2,0.5,0.7,25.9,74.1,0.17,2.3,2.6,4.8
2021-22,Regular+Season,SAC,1610612758,Sacramento Kings,Alex Len,203458,39,15.9,3.5,8.2,0.8,0.2,0.1,0.3,63.6,36.4,0.00,6.1,1.2,7.3
2021-22,Regular+Season,CHI,1610612741,Chicago Bulls,Alfonzo McKinnie,1628035,13,14.6,0.4,0.9,0.7,0.4,0.1,0.5,71.4,28.6,0.00,1.5,1.1,2.7
2021-22,Regular+Season,NOP,1610612740,New Orleans Pelicans,Alize Johnson,1628993,18,8.6,0.9,2.1,0.4,0.3,0.1,0.4,75.0,25.0,0.00,1.3,1.0,2.3
2021-22,Regular+Season,HOU,1610612745,Houston Rockets,Alperen Sengun,1630578,72,20.7,2.2,5.4,1.7,0.3,0.2,0.6,62.5,37.5,0.15,5.4,2.0,7.4
2021-22,Regular+Season,LAC,1610612746,Los Angeles Clippers,Amir Coffey,1629599,61,25.3,0.2,0.5,1.2,0.3,0.2,0.4,55.6,44.4,0.07,2.0,1.3,3.3
2021-22,Regular+Season,BKN,1610612751,Brooklyn Nets,Andre Drummond,203083,73,19.7,2.9,6.5,2.1,0.3,0.2,0.6,62.5,37.5,0.00,5.2,1.4,6.5
2021-22,Regular+Season,GSW,1610612744,Golden State Warriors,Andre Iguodala,2738,31,19.4,0.5,1.1,1.8,0.3,0.2,0.5,53.3,46.7,0.03,1.8,1.2,3.0
2021-22,Regular+Season,GSW,1610612744,Golden State Warriors,Andrew Wiggins,203952,73,31.9,0.4,1.0,1.4,0.3,0.2,0.5,64.1,35.9,0.01,4.1,4.3,8.4
2021-22,Regular+Season,POR,1610612757,Portland Trail Blazers,Anfernee Simons,1629014,54,29.7,0.2,0.5,0.8,0.2,0.3,0.5,48.1,51.9,0.02,1.7,2.6,4.3
2021-22,Regular+Season,LAL,1610612747,Los Angeles Lakers,Anthony Davis,203076,40,35.1,2.3,5.2,2.4,0.6,0.3,0.9,62.9,37.1,0.05,7.0,4.0,10.9
2021-22,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Anthony Edwards,1630162,72,34.3,0.2,0.4,2.5,0.5,0.6,1.1,42.5,57.5,0.01,2.6,2.5,5.2
2021-22,Regular+Season,WAS,1610612764,Washington Wizards,Anthony Gill,1630264,36,12.0,0.9,2.0,0.3,0.2,0.1,0.4,61.5,38.5,0.03,1.8,1.4,3.1
2021-22,Regular+Season,HOU,1610612745,Houston Rockets,Anthony Lamb,1630237,1,3.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0
2021-22,Regular+Season,TOR,1610612761,Toronto Raptors,Armoni Brooks,1629717,48,16.6,0.0,0.0,1.3,0.1,0.1,0.3,50.0,50.0,0.02,0.8,1.4,2.2
2021-22,Regular+Season,CHA,1610612766,Charlotte Hornets,Arnoldas Kulboka,1629083,1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,1.0,1.0
2021-22,Regular+Season,LAL,1610612747,Los Angeles Lakers,Austin Reaves,1630559,61,23.2,0.2,0.4,1.1,0.2,0.2,0.3,52.4,47.6,0.25,3.1,2.5,5.6
2021-22,Regular+Season,DEN,1610612743,Denver Nuggets,Austin Rivers,203085,65,22.4,0.1,0.1,1.5,0.1,0.2,0.3,30.0,70.0,0.00,1.4,1.3,2.7
2021-22,Regular+Season,LAL,1610612747,Los Angeles Lakers,Avery Bradley,202340,61,22.8,0.4,1.1,1.6,0.1,0.3,0.4,25.0,75.0,0.03,1.2,1.5,2.7
2021-22,Regular+Season,CHI,1610612741,Chicago Bulls,Ayo Dosunmu,1630245,75,27.9,0.2,0.4,1.4,0.3,0.5,0.8,38.6,61.4,0.01,3.2,1.7,4.9
2021-22,Regular+Season,ORL,1610612753,Orlando Magic,BJ Johnson,1629168,4,16.2,0.0,0.0,0.3,0.3,0.0,0.3,100,0.0,0.00,2.0,0.3,2.3
2021-22,Regular+Season,MIA,1610612748,Miami Heat,Bam Adebayo,1628389,56,32.6,3.8,9.6,2.4,0.5,0.4,0.9,58.8,41.2,0.05,4.9,2.9,7.8
2021-22,Regular+Season,POR,1610612757,Portland Trail Blazers,Ben McLemore,203463,60,21.1,0.1,0.2,1.1,0.2,0.2,0.5,50.0,50.0,0.02,1.0,1.7,2.7
