SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Amen Thompson,1641708,34,3.4,18.3,1.47,5.0,2.1,2.8,74.0,74.0,18.1,4.3,15.5,5.2,74.1,75.9
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Deandre Ayton,1629028,31,3.1,26.0,1.52,4.6,2.3,2.9,77.8,77.8,3.2,4.2,2.1,2.1,74.7,82.3
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Jarrett Allen,1628386,28,4.1,33.0,1.24,5.1,2.1,3.5,60.8,60.8,13.9,4.3,13.9,2.6,62.6,36.1
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Rudy Gobert,203497,37,2.6,28.6,1.32,3.5,1.5,1.9,78.9,78.9,20.4,9.2,19.4,2.0,71.4,53.4
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Lauri Markkanen,1628374,31,2.6,10.6,1.54,4.0,1.7,2.3,74.3,74.3,18.8,1.3,18.8,7.5,76.3,85.5
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Mark Williams,1631109,31,2.7,28.6,1.46,3.9,1.5,2.0,74.2,74.2,22.9,6.0,21.7,3.6,73.5,74.3
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Jalen Duren,1631105,29,3.1,19.8,1.33,4.1,1.7,2.6,65.3,65.3,18.9,3.3,16.7,5.6,66.7,56.6
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Neemias Queta,1629674,36,2.3,26.9,1.44,3.3,1.4,2.0,71.2,71.2,14.8,0.0,14.8,4.9,72.8,72.5
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Dyson Daniels,1630700,39,2.1,15.8,1.34,2.8,1.3,1.8,71.8,71.8,13.4,6.1,13.4,6.1,68.3,57.8
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Isaiah Hartenstein,1628392,21,4.1,40.3,1.26,5.2,2.2,3.4,64.8,64.8,16.1,9.2,16.1,6.9,62.1,41.4
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Jimmy Butler III,202710,33,2.1,12.4,1.54,3.2,1.1,1.6,71.2,71.2,30.4,1.4,29.0,7.2,76.8,84.7
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,Ivica Zubac,1627826,31,2.6,19.7,1.26,3.3,1.6,2.4,65.3,65.3,4.9,7.3,4.9,3.7,61.0,38.6
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Trey Murphy III,1630530,35,1.7,9.1,1.65,2.8,1.2,1.5,82.4,82.4,16.7,5.0,16.7,6.7,80.0,94.8
