SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Stephen Curry,201939,28,3.0,12.4,1.62,4.9,1.4,2.4,58.8,80.9,16.5,7.1,14.1,3.5,60.0,100
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Michael Porter Jr.,1629008,28,4.0,17.4,1.00,4.0,1.2,3.2,38.2,51.1,9.9,10.8,9.0,0.9,39.6,65.0
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Jamal Murray,1627750,34,2.6,11.6,1.06,2.8,1.1,2.4,46.3,54.9,3.3,6.7,3.3,1.1,44.4,70.4
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Keyonte George,1641718,36,2.1,9.1,1.01,2.1,0.7,1.6,41.4,48.3,14.5,13.2,14.5,3.9,42.1,67.5
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Derrick White,1628401,36,1.9,9.8,1.12,2.1,0.7,1.6,46.4,53.6,14.7,8.8,14.7,5.9,47.1,78.1
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,CJ McCollum,203468,32,1.7,9.7,1.27,2.2,0.7,1.4,52.3,63.6,16.4,10.9,14.5,7.3,50.9,90.5
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Anthony Edwards,1630162,30,1.9,7.6,1.23,2.3,0.8,1.6,48.9,60.6,14.0,5.3,14.0,1.8,52.6,87.0
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Tyrese Maxey,1630178,33,1.7,6.1,1.23,2.1,0.7,1.4,48.9,62.8,10.7,8.9,10.7,3.6,48.2,87.6
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Tim Hardaway Jr.,203501,37,1.4,12.7,1.31,1.8,0.6,1.3,51.1,63.8,7.7,1.9,7.7,0.0,53.8,91.7
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Kevin Durant,201142,33,1.7,7.2,1.18,2.0,0.7,1.3,57.1,59.5,16.1,14.3,14.3,5.4,53.6,85.8
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Donovan Mitchell,1628378,35,1.6,6.1,1.09,1.7,0.5,1.2,38.1,48.8,19.6,7.1,17.9,1.8,46.4,74.0
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Kon Knueppel,1642851,36,1.7,10.1,0.98,1.7,0.6,1.3,41.7,49.0,11.3,11.3,11.3,0.0,43.5,60.9
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Devin Booker,1626164,34,1.9,7.6,0.95,1.8,0.6,1.3,46.7,48.9,17.2,17.2,14.1,4.7,45.3,59.8
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Jalen Brunson,1628973,32,1.4,5.6,1.26,1.8,0.6,1.1,50.0,59.7,19.6,4.3,19.6,2.2,56.5,89.3
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Vít Krejčí,1630249,36,1.1,13.0,1.46,1.6,0.6,1.0,55.6,76.4,2.6,5.1,2.6,0.0,53.8,96.4
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Trey Murphy III,1630530,35,1.8,9.4,0.90,1.6,0.5,1.5,37.3,48.0,6.5,12.9,4.8,1.6,35.5,49.4
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Jalen Johnson,1630552,36,1.6,7.1,0.95,1.5,0.6,1.4,44.2,48.1,6.9,5.2,6.9,1.7,44.8,58.6
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Brandon Ingram,1627742,36,1.3,6.0,1.13,1.5,0.5,0.9,52.9,60.3,14.9,12.8,12.8,0.0,53.2,79.9
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Miles McBride,1630540,25,1.4,12.6,1.43,2.0,0.7,1.4,50.0,70.6,2.9,0.0,0.0,0.0,51.4,95.3
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Immanuel Quickley,1630193,38,1.1,6.9,1.14,1.3,0.4,0.9,41.7,56.9,11.6,7.0,11.6,2.3,44.2,80.5
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Klay Thompson,202691,33,1.5,12.3,1.00,1.5,0.5,1.4,37.8,52.2,4.1,4.1,4.1,0.0,38.8,65.0
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Lauri Markkanen,1628374,31,1.8,7.5,0.84,1.5,0.4,1.3,26.8,31.7,21.1,8.8,21.1,1.8,38.6,39.6
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Jordan Poole,1629673,23,2.0,12.2,1.04,2.0,0.7,1.7,41.0,53.8,4.4,8.9,2.2,0.0,40.0,68.6
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Cade Cunningham,1630595,31,2.2,8.4,0.69,1.5,0.6,1.8,33.9,34.8,8.8,10.3,8.8,1.5,33.8,21.3
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Collin Gillespie,1631221,36,0.9,7.5,1.35,1.3,0.4,0.8,53.3,68.3,8.8,5.9,8.8,2.9,52.9,93.5
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,LaMelo Ball,1630163,27,1.4,6.3,1.24,1.7,0.5,1.0,50.0,66.1,16.2,10.8,13.5,2.7,51.4,88.2
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Desmond Bane,1630217,35,1.4,7.7,0.92,1.3,0.5,1.2,43.9,50.0,6.0,14.0,6.0,2.0,40.0,55.0
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Donte DiVincenzo,1628978,38,1.5,11.6,0.82,1.2,0.4,1.3,32.0,42.0,3.6,7.1,3.6,0.0,32.1,36.3
