SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,James Harden,201935,33,9.8,41.1,1.08,10.6,2.9,7.3,39.4,45.0,22.8,5.9,22.2,3.1,48.8,81.3
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Shai Gilgeous-Alexander,1628983,34,6.4,24.7,1.19,7.5,2.4,4.9,48.8,54.5,19.9,5.6,19.0,2.3,55.1,93.8
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Jaylen Brown,1627759,34,5.7,19.8,1.02,5.8,2.1,4.3,48.3,52.7,14.5,11.4,14.0,2.1,48.7,75.0
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Anthony Edwards,1630162,30,6.0,23.7,0.97,5.8,1.9,4.7,41.4,46.4,15.6,8.9,15.1,2.8,45.3,61.9
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Kevin Durant,201142,33,4.9,20.9,0.99,4.9,1.8,3.8,46.5,49.6,13.6,10.5,12.3,2.5,47.5,66.5
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Luka Dončić,1629029,27,5.0,15.4,1.17,5.8,1.8,3.8,47.1,55.9,18.7,9.7,17.2,4.5,50.0,91.5
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,Pascal Siakam,1627783,36,3.2,13.8,1.08,3.5,1.3,2.5,51.1,52.8,20.7,7.8,20.7,6.0,54.3,80.7
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Tyrese Maxey,1630178,33,4.1,14.6,0.93,3.8,1.5,3.8,39.5,42.3,11.9,3.0,9.6,6.7,41.5,54.5
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Devin Booker,1626164,34,3.4,13.7,1.06,3.6,1.4,2.6,51.7,55.1,14.7,12.9,13.8,4.3,50.0,77.3
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Julius Randle,203944,38,3.2,15.4,1.01,3.2,1.1,2.4,45.2,48.4,17.2,10.7,16.4,4.1,46.7,73.3
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Zion Williamson,1629627,24,4.8,23.4,1.06,5.1,1.9,3.6,53.5,53.5,20.9,10.4,20.0,6.1,54.8,77.8
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Deni Avdija,1630166,37,3.5,14.0,0.95,3.3,0.8,2.3,34.9,41.3,24.0,12.4,21.7,3.1,44.2,58.0
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Jalen Brunson,1628973,32,3.8,14.7,1.00,3.8,1.3,3.1,42.9,46.9,13.2,8.3,11.6,2.5,45.5,71.1
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,DeMar DeRozan,201942,37,3.4,20.0,0.98,3.3,1.3,2.9,45.3,45.8,13.7,7.3,13.7,6.5,46.0,63.6
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Donovan Mitchell,1628378,35,2.9,11.1,1.11,3.2,1.2,2.5,47.1,57.5,6.9,7.9,5.0,1.0,46.5,86.9
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Derik Queen,1642852,38,2.6,18.3,1.09,2.8,1.1,1.9,56.3,57.0,17.5,11.3,14.4,2.1,55.7,84.1
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Payton Pritchard,1630202,37,2.2,13.6,1.23,2.7,1.1,1.9,60.9,65.2,7.3,8.5,6.1,0.0,58.5,96.0
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Jamal Murray,1627750,34,3.0,13.2,0.99,3.0,1.1,2.5,43.0,50.0,9.8,8.8,8.8,2.9,43.1,65.9
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,Kawhi Leonard,202695,27,4.0,16.6,0.92,3.7,1.4,3.4,41.3,43.5,10.1,6.4,7.3,0.9,44.0,52.8
