SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Nikola Jokić,203999,30,1.9,7.9,0.88,1.7,0.2,0.4,45.5,59.1,37.9,43.1,0.0,0.0,46.6,88.4
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Tyrese Maxey,1630178,33,1.3,4.5,1.00,1.3,0.2,0.3,80.0,100,31.0,45.2,2.4,0.0,47.6,95.2
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Keyonte George,1641718,36,1.9,8.0,0.55,1.0,0.1,0.2,25.0,31.3,28.4,59.7,3.0,0.0,31.3,55.8
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Jalen Brunson,1628973,32,1.1,4.1,1.00,1.1,0.2,0.4,58.3,79.2,26.5,41.2,5.9,2.9,44.1,95.2
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Shai Gilgeous-Alexander,1628983,34,0.9,3.3,1.14,1.0,0.1,0.2,57.1,57.1,51.7,24.1,6.9,0.0,62.1,97.1
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Nickeil Alexander-Walker,1629638,38,1.0,4.9,0.89,0.9,0.1,0.2,50.0,56.3,40.5,37.8,2.7,0.0,51.4,89.5
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Keldon Johnson,1629640,35,0.8,6.7,1.15,0.9,0.1,0.3,55.6,72.2,40.7,25.9,0.0,0.0,55.6,97.8
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Ajay Mitchell,1642349,34,0.8,5.5,1.15,0.9,0.2,0.3,63.6,68.2,37.0,29.6,11.1,7.4,55.6,97.8
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Jimmy Butler III,202710,33,0.9,5.4,1.03,0.9,0.1,0.2,50.0,58.3,50.0,33.3,6.7,3.3,56.7,95.7
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Devin Booker,1626164,34,1.0,4.1,0.89,0.9,0.1,0.2,33.3,33.3,45.7,37.1,5.7,0.0,51.4,89.1
