SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Lauri Markkanen,1628374,31,5.0,20.7,1.05,5.3,1.8,4.4,40.9,50.0,10.3,5.1,9.6,3.2,42.9,60.9
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Stephen Curry,201939,28,4.4,18.1,1.03,4.6,1.5,3.9,38.2,49.1,7.3,4.8,7.3,0.8,40.3,59.4
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Klay Thompson,202691,33,3.0,25.2,1.03,3.1,1.2,2.8,41.5,54.3,1.0,5.0,1.0,0.0,40.0,58.6
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Michael Porter Jr.,1629008,28,2.9,12.7,1.24,3.6,1.2,2.4,50.7,67.9,8.6,12.3,8.6,3.7,46.9,81.3
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Brandon Ingram,1627742,36,2.8,12.8,0.93,2.6,1.1,2.6,43.6,47.3,3.0,4.0,3.0,1.0,43.0,40.6
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Donte DiVincenzo,1628978,38,1.8,14.6,1.20,2.2,0.7,1.6,45.2,62.1,5.7,7.1,2.9,1.4,44.3,77.8
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Nickeil Alexander-Walker,1629638,38,1.8,9.2,1.13,2.1,0.7,1.6,42.6,58.2,5.8,5.8,4.3,0.0,43.5,72.7
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Jaylen Brown,1627759,34,2.2,7.6,1.01,2.2,0.8,1.9,44.4,50.0,10.8,6.8,10.8,2.7,45.9,56.3
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Tim Hardaway Jr.,203501,37,1.6,14.1,1.22,1.9,0.6,1.3,42.9,57.1,13.8,5.2,13.8,3.4,46.6,80.5
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Tyrese Maxey,1630178,33,1.5,5.2,1.42,2.1,0.8,1.4,57.8,73.3,2.1,4.2,2.1,0.0,56.3,91.3
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Norman Powell,1626181,30,2.2,10.6,0.98,2.2,0.7,1.7,43.1,48.0,15.2,10.6,13.6,3.0,43.9,47.7
