SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Rudy Gobert,203497,37,2.5,27.4,1.17,3.0,1.3,2.1,61.8,61.8,14.9,8.5,14.9,4.3,59.6,55.2
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,Ivica Zubac,1627826,31,2.7,20.0,1.22,3.3,1.5,2.5,61.8,61.8,9.6,2.4,9.6,3.6,61.4,61.6
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Donovan Clingan,1642270,34,2.5,26.1,1.13,2.9,1.1,1.9,60.3,60.3,20.9,11.6,20.9,5.8,58.1,47.3
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Nikola Jokić,203999,30,2.3,9.3,1.32,3.0,1.2,1.9,60.3,60.3,20.6,0.0,20.6,5.9,66.2,79.3
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Jalen Duren,1631105,29,2.8,17.6,1.13,3.1,1.2,2.0,58.6,58.6,22.5,10.0,21.3,5.0,57.5,46.0
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Day'Ron Sharpe,1630549,33,1.8,23.0,1.43,2.6,1.1,1.4,77.8,77.8,18.3,8.3,16.7,1.7,75.0,88.7
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Karl-Anthony Towns,1626157,31,2.5,12.5,1.04,2.6,1.0,2.1,46.9,46.9,15.4,5.1,15.4,2.6,51.3,32.0
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Kel'el Ware,1642276,36,2.3,22.1,0.98,2.2,1.0,2.0,50.0,50.0,7.3,6.1,7.3,1.2,50.0,26.1
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Anthony Davis,203076,19,3.1,14.5,1.34,4.1,1.7,2.6,67.3,67.3,15.5,3.4,15.5,3.4,67.2,83.3
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Marvin Bagley III,1628963,32,2.0,23.0,1.22,2.4,1.1,1.7,61.8,61.8,9.5,4.8,9.5,1.6,61.9,63.4
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Neemias Queta,1629674,36,1.8,21.9,1.17,2.1,0.9,1.5,60.0,60.0,16.7,3.0,16.7,3.0,62.1,54.5
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Mark Williams,1631109,31,2.2,23.1,1.15,2.5,1.1,2.0,54.1,54.1,13.4,1.5,11.9,6.0,56.7,51.7
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Moussa Diabaté,1631217,34,1.6,21.8,1.26,2.0,0.8,1.3,61.4,61.4,24.1,1.9,24.1,7.4,66.7,70.4
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Giannis Antetokounmpo,203507,24,2.3,9.2,1.22,2.8,1.1,1.8,62.8,62.8,23.6,3.6,21.8,5.5,63.6,62.6
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Wendell Carter Jr.,1628976,33,1.6,13.3,1.27,2.0,0.6,1.0,61.8,61.8,34.6,3.8,32.7,3.8,71.2,71.9
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Jock Landale,1629111,34,1.7,16.7,1.16,1.9,0.9,1.4,59.2,60.2,8.8,5.3,7.0,0.0,57.9,53.5
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Andre Drummond,203083,30,2.7,39.2,0.81,2.2,1.0,2.3,43.5,43.5,11.0,6.1,9.8,1.2,43.9,7.9
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Luka Garza,1630568,29,1.5,26.7,1.48,2.2,0.9,1.2,69.4,69.4,27.3,0.0,27.3,9.1,72.7,89.7
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Steven Adams,203500,28,2.5,36.1,0.93,2.3,0.9,2.1,44.8,44.8,12.9,4.3,12.9,0.0,50.0,20.8
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Chet Holmgren,1631096,30,1.5,9.9,1.37,2.1,0.9,1.3,71.8,71.8,10.9,4.3,10.9,0.0,71.7,86.2
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Alex Sarr,1642259,27,1.9,11.1,1.24,2.3,1.0,1.6,64.3,64.3,14.0,6.0,14.0,4.0,62.0,67.0
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Keldon Johnson,1629640,35,1.3,11.4,1.33,1.7,0.8,1.2,65.9,65.9,10.9,2.2,10.9,2.2,67.4,79.8
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Nic Claxton,1629651,32,1.7,14.2,1.13,1.9,0.8,1.4,57.8,57.8,14.8,3.7,13.0,1.9,61.1,47.8
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Ryan Kalkbrenner,1641750,26,1.5,23.5,1.50,2.3,1.0,1.4,75.0,75.0,10.0,5.0,7.5,5.0,72.5,91.0
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Justin Champagnie,1630551,33,1.3,20.4,1.36,1.8,0.7,1.1,64.9,64.9,15.9,2.3,15.9,2.3,68.2,85.6
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Julius Randle,203944,38,1.2,5.6,1.36,1.6,0.7,1.0,68.4,68.4,18.2,4.5,15.9,9.1,68.2,85.6
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Derik Queen,1642852,38,1.3,9.6,1.14,1.5,0.6,1.1,60.0,60.0,15.7,11.8,15.7,5.9,56.9,48.8
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Deandre Ayton,1629028,31,1.5,12.6,1.24,1.8,0.9,1.4,64.3,64.3,6.5,6.5,6.5,4.3,60.9,66.5
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Evan Mobley,1630596,33,1.2,7.2,1.34,1.7,0.8,1.0,73.5,73.5,12.2,4.9,12.2,0.0,70.7,81.8
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Lauri Markkanen,1628374,31,1.7,7.0,1.04,1.8,0.8,1.6,50.0,51.0,5.7,1.9,3.8,1.9,50.9,31.5
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,Pascal Siakam,1627783,36,1.2,5.0,1.29,1.5,0.6,0.8,76.7,78.3,9.5,19.0,9.5,0.0,64.3,74.8
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,Isaiah Jackson,1630543,26,1.8,26.4,1.08,2.0,0.9,1.7,55.8,55.8,4.2,6.3,4.2,0.0,54.2,38.5
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Jalen Johnson,1630552,36,0.9,3.9,1.59,1.4,0.5,0.7,73.1,75.0,21.9,0.0,21.9,3.1,78.1,94.1
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Jonas Valančiūnas,202685,31,1.2,15.3,1.34,1.6,0.7,1.1,63.6,63.6,15.8,0.0,15.8,2.6,68.4,82.3
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,John Collins,1628381,35,1.1,10.0,1.27,1.5,0.6,0.9,70.0,70.0,17.5,15.0,17.5,7.5,60.0,73.4
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Andrew Wiggins,203952,33,1.2,7.9,1.24,1.5,0.8,1.1,67.6,67.6,4.9,7.3,4.9,2.4,61.0,67.5
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Zion Williamson,1629627,24,1.9,9.3,1.11,2.1,1.0,1.7,56.1,56.1,8.7,2.2,8.7,0.0,58.7,43.8
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Jimmy Butler III,202710,33,1.2,7.2,1.25,1.5,0.5,0.9,55.2,55.2,27.5,2.5,27.5,2.5,65.0,69.3
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Jusuf Nurkić,203994,30,1.8,15.2,0.91,1.7,0.8,1.5,51.1,51.1,12.7,5.5,12.7,0.0,49.1,17.9
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Nikola Vučević,202696,36,1.2,7.5,1.14,1.4,0.6,1.1,56.1,57.3,2.3,2.3,2.3,0.0,55.8,49.8
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Isaiah Stewart,1630191,31,1.2,12.4,1.27,1.5,0.6,1.0,66.7,66.7,16.2,8.1,10.8,5.4,64.9,72.4
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Yves Missi,1642274,31,1.6,29.1,0.94,1.5,0.7,1.4,52.3,52.3,4.0,10.0,4.0,2.0,48.0,22.2
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Mitchell Robinson,1629011,22,2.3,51.0,0.92,2.1,1.0,2.0,51.1,51.1,7.8,7.8,5.9,3.9,47.1,19.7
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Onyeka Okongwu,1630168,38,1.2,7.5,1.04,1.2,0.4,0.9,48.6,48.6,18.2,2.3,18.2,0.0,56.8,32.5
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Cedric Coward,1642907,33,1.0,7.1,1.41,1.4,0.5,0.6,80.0,80.0,28.1,15.6,28.1,6.3,71.9,88.2
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Joel Embiid,203954,20,1.8,7.4,1.29,2.3,1.0,1.7,60.6,60.6,8.6,0.0,8.6,2.9,62.9,74.8
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Goga Bitadze,1629048,31,1.3,26.5,1.10,1.4,0.7,1.2,61.1,61.1,5.0,7.5,2.5,2.5,55.0,42.4
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Saddiq Bey,1630180,32,1.0,7.0,1.34,1.3,0.5,0.8,65.4,65.4,15.6,3.1,15.6,0.0,68.8,82.8
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Precious Achiuwa,1630173,30,1.2,15.8,1.23,1.4,0.6,1.1,57.6,57.6,11.4,0.0,11.4,5.7,60.0,65.0
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Michael Porter Jr.,1629008,28,1.1,4.7,1.40,1.5,0.6,1.0,64.3,66.1,10.0,0.0,10.0,3.3,66.7,87.7
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Victor Wembanyama,1641705,24,1.3,6.0,1.31,1.8,0.7,1.1,65.4,65.4,18.8,0.0,18.8,0.0,71.9,77.8
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Alperen Sengun,1630578,27,1.8,7.8,0.88,1.6,0.7,1.6,45.5,45.5,6.3,4.2,6.3,2.1,45.8,13.0
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Maxime Raynaud,1642875,30,1.1,11.0,1.21,1.3,0.5,0.9,59.3,59.3,12.1,6.1,12.1,0.0,60.6,61.1
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Amen Thompson,1641708,34,1.1,5.8,1.08,1.2,0.4,0.9,51.7,51.7,18.9,5.4,16.2,2.7,56.8,37.4
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Dyson Daniels,1630700,39,1.0,7.3,1.05,1.0,0.5,0.8,60.6,60.6,0.0,13.2,0.0,0.0,52.6,33.8
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Jordan Goodwin,1630692,33,1.2,12.0,1.00,1.2,0.5,1.1,48.6,48.6,12.8,5.1,12.8,7.7,48.7,27.8
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Luke Kornet,1628436,27,1.6,24.3,0.93,1.4,0.7,1.5,45.0,45.0,7.1,0.0,7.1,2.4,47.6,20.8
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Daniel Gafford,1629655,24,1.3,17.7,1.23,1.6,0.7,1.1,59.3,59.3,16.1,3.2,16.1,6.5,61.3,64.0
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Clint Capela,203991,30,1.4,38.1,0.88,1.3,0.6,1.2,48.6,48.6,4.7,11.6,4.7,2.3,44.2,14.8
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Jabari Walker,1631133,33,1.1,25.9,1.00,1.1,0.5,0.9,51.7,51.7,16.2,5.4,13.5,0.0,56.8,27.8
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Scottie Barnes,1630567,37,1.0,5.4,0.97,1.0,0.5,0.9,53.1,53.1,10.5,10.5,10.5,5.3,50.0,25.6
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,P.J. Washington,1629023,27,1.0,6.6,1.33,1.3,0.5,0.7,70.0,70.0,22.2,7.4,22.2,3.7,70.4,81.1
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Dominick Barlow,1631230,25,1.2,15.3,1.21,1.4,0.6,1.0,58.3,58.3,13.8,6.9,13.8,3.4,58.6,60.1
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Kyle Filipowski,1642271,36,1.0,10.3,1.00,1.0,0.4,0.8,51.9,51.9,17.1,8.6,17.1,2.9,54.3,27.8
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Naz Reid,1629675,38,0.7,4.7,1.36,0.9,0.4,0.6,65.2,65.2,12.0,4.0,12.0,8.0,64.0,84.7
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Nae'Qwan Tomlin,1641772,28,1.0,16.5,1.17,1.2,0.5,0.9,58.3,58.3,13.8,3.4,10.3,0.0,62.1,55.9
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Jake LaRavia,1631222,34,0.9,8.3,1.17,1.0,0.5,0.7,66.7,66.7,6.9,13.8,6.9,3.4,58.6,55.9
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Adem Bona,1641737,27,1.2,30.8,1.06,1.3,0.5,0.9,58.3,58.3,12.5,12.5,12.5,0.0,56.3,35.1
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Jaylon Tyson,1642281,34,0.9,8.1,1.06,1.0,0.5,0.9,54.8,54.8,0.0,3.1,0.0,0.0,53.1,35.1
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Jarrett Allen,1628386,28,1.0,8.3,1.14,1.2,0.5,0.8,63.6,63.6,13.8,10.3,6.9,0.0,58.6,49.3
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Stephon Castle,1642264,28,0.8,3.9,1.52,1.1,0.5,0.6,76.5,76.5,19.0,0.0,19.0,0.0,81.0,91.6
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Trayce Jackson-Davis,1631218,28,1.0,24.2,1.10,1.1,0.4,0.7,55.0,55.0,27.6,6.9,27.6,3.4,58.6,42.9
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Sandro Mamukelashvili,1630572,37,0.8,9.1,1.07,0.9,0.4,0.6,56.5,56.5,13.3,10.0,13.3,0.0,56.7,36.1
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Ausar Thompson,1641709,32,1.2,9.5,0.86,1.0,0.5,1.0,48.4,48.4,10.8,8.1,5.4,2.7,45.9,11.8
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Robert Williams III,1629057,25,0.8,18.9,1.48,1.2,0.6,0.8,78.9,78.9,4.8,4.8,4.8,0.0,76.2,89.2
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Bam Adebayo,1628389,29,0.9,5.2,1.19,1.1,0.4,0.8,59.1,59.1,11.5,3.8,11.5,0.0,61.5,58.1
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Santi Aldama,1630583,36,1.0,7.1,0.89,0.9,0.4,0.8,46.7,46.7,8.6,5.7,5.7,0.0,45.7,15.3
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Jaime Jaquez Jr.,1631170,33,0.6,3.6,1.58,0.9,0.4,0.5,82.4,82.4,5.3,5.3,5.3,0.0,78.9,93.1
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Paul Reed,1630194,28,1.0,17.6,1.07,1.1,0.5,0.8,61.9,61.9,10.7,14.3,10.7,0.0,53.6,36.9
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Brandon Ingram,1627742,36,0.6,2.7,1.38,0.8,0.3,0.4,73.3,73.3,28.6,14.3,28.6,14.3,66.7,86.7
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Desmond Bane,1630217,35,0.6,3.4,1.32,0.8,0.4,0.6,65.0,65.0,9.1,4.5,9.1,4.5,63.6,78.8
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Jordan Walsh,1641775,32,0.8,14.9,1.21,0.9,0.4,0.6,68.4,68.4,12.5,16.7,12.5,8.3,58.3,60.6
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Myles Turner,1626167,36,0.7,6.2,1.11,0.8,0.3,0.6,55.0,55.0,15.4,7.7,15.4,0.0,57.7,44.8
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Collin Murray-Boyles,1642867,32,0.9,11.9,1.00,0.9,0.4,0.8,54.2,54.2,6.9,10.3,6.9,0.0,51.7,27.8
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Jaxson Hayes,1629637,28,0.6,13.5,1.56,1.0,0.5,0.6,76.5,76.5,16.7,0.0,11.1,11.1,77.8,92.6
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Trey Murphy III,1630530,35,0.7,3.5,1.22,0.8,0.3,0.6,57.1,59.5,8.7,4.3,8.7,4.3,56.5,62.1
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Bruce Brown,1628971,38,0.6,8.1,1.17,0.7,0.3,0.6,57.1,57.1,12.5,4.2,12.5,4.2,58.3,54.5
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Domantas Sabonis,1627734,10,2.0,11.8,1.35,2.7,1.2,1.7,70.6,70.6,15.0,5.0,15.0,5.0,70.0,83.7
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Isaiah Hartenstein,1628392,21,1.0,10.2,1.23,1.3,0.6,0.8,70.6,70.6,13.6,13.6,13.6,4.5,63.6,64.5
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Jakob Poeltl,1627751,18,1.3,14.8,1.13,1.5,0.7,1.2,61.9,61.9,4.2,12.5,4.2,4.2,54.2,46.0
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Ace Bailey,1642846,30,0.8,7.4,1.13,0.9,0.4,0.6,57.9,57.9,16.7,4.2,12.5,0.0,62.5,46.0
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Jabari Smith Jr.,1631095,33,0.7,4.9,1.08,0.8,0.4,0.6,57.1,57.1,4.2,8.3,0.0,0.0,54.2,38.5
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Toumani Camara,1641739,38,0.6,4.7,1.08,0.7,0.3,0.5,61.1,61.1,8.3,16.7,8.3,0.0,54.2,38.5
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Ryan Dunn,1642346,31,0.9,12.3,0.90,0.8,0.4,0.8,54.2,54.2,3.4,13.8,3.4,0.0,44.8,16.3
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Jalen Smith,1630188,30,1.0,11.0,0.90,0.9,0.3,0.8,43.5,43.5,13.8,6.9,10.3,0.0,48.3,16.3
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,Tony Bradley,1628396,30,1.1,29.5,0.79,0.9,0.3,0.9,34.6,34.6,15.2,6.1,15.2,0.0,42.4,7.4
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,Kawhi Leonard,202695,27,0.7,2.9,1.32,0.9,0.4,0.6,58.8,61.8,10.5,0.0,5.3,0.0,63.2,78.3
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Zaccharie Risacher,1642258,34,0.6,5.4,1.25,0.7,0.3,0.5,68.8,68.8,15.0,5.0,15.0,0.0,65.0,69.3
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Tari Eason,1631106,20,1.2,9.6,1.09,1.3,0.6,1.0,57.9,57.9,8.7,8.7,4.3,0.0,56.5,39.9
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Paolo Banchero,1631094,28,0.5,2.3,1.71,0.9,0.4,0.5,76.9,76.9,21.4,0.0,21.4,14.3,78.6,98.5
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Aaron Gordon,203932,17,1.1,6.5,1.33,1.4,0.6,1.0,64.7,67.6,5.6,0.0,5.6,0.0,66.7,81.1
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Quinten Post,1642366,38,0.5,6.0,1.28,0.6,0.3,0.4,71.4,71.4,11.1,11.1,11.1,0.0,66.7,73.9
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Mouhamed Gueye,1631243,38,0.5,10.8,1.15,0.6,0.2,0.4,60.0,60.0,25.0,5.0,25.0,5.0,55.0,52.2
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Terance Mann,1629611,30,0.7,8.7,1.09,0.8,0.3,0.5,56.3,56.3,14.3,14.3,9.5,4.8,52.4,41.9
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Jaren Jackson Jr.,1628991,34,0.8,4.3,0.85,0.7,0.2,0.6,36.4,36.4,14.8,7.4,14.8,3.7,40.7,11.3
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,LaMelo Ball,1630163,27,0.5,2.2,1.69,0.8,0.4,0.4,83.3,83.3,7.7,0.0,7.7,0.0,84.6,98.0
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Franz Wagner,1630532,21,0.8,3.9,1.29,1.0,0.4,0.7,57.1,57.1,17.6,0.0,11.8,0.0,64.7,75.7
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Luka Dončić,1629029,27,0.6,2.0,1.29,0.8,0.3,0.4,66.7,66.7,29.4,5.9,23.5,5.9,64.7,75.7
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Jaden McDaniels,1630183,36,0.5,3.7,1.22,0.6,0.3,0.4,62.5,62.5,11.1,5.6,11.1,5.6,61.1,63.4
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Gary Payton II,1627780,35,0.5,10.6,1.16,0.6,0.3,0.5,62.5,62.5,5.3,10.5,5.3,0.0,57.9,53.5
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Kyle Kuzma,1628398,35,0.6,5.1,1.05,0.6,0.3,0.5,57.9,57.9,0.0,9.5,0.0,0.0,52.4,33.0
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Kris Murray,1631200,31,0.7,11.3,0.96,0.7,0.3,0.5,47.1,47.1,17.4,13.0,13.0,4.3,47.8,25.1
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Shaedon Sharpe,1631101,35,0.7,3.0,0.92,0.6,0.3,0.5,52.6,52.6,8.3,16.7,8.3,4.2,45.8,19.2
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Bobby Portis,1626171,37,0.8,6.3,0.79,0.6,0.3,0.6,45.8,45.8,0.0,14.3,0.0,0.0,39.3,6.9
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Kon Knueppel,1642851,36,0.5,2.8,1.24,0.6,0.2,0.3,66.7,75.0,11.8,23.5,11.8,5.9,52.9,66.0
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Will Richard,1642954,33,0.6,9.0,1.10,0.6,0.3,0.5,62.5,62.5,5.3,10.5,5.3,0.0,57.9,43.3
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Tristan Vukcevic,1641774,26,0.4,5.9,1.82,0.8,0.3,0.4,81.8,86.4,9.1,0.0,9.1,9.1,81.8,100
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Payton Pritchard,1630202,37,0.3,1.8,1.82,0.5,0.2,0.3,90.0,90.0,18.2,9.1,18.2,18.2,81.8,100
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Drew Eubanks,1629234,27,0.4,8.5,1.67,0.7,0.3,0.4,90.0,90.0,8.3,8.3,0.0,0.0,83.3,97.5
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Karlo Matković,1631255,28,0.5,12.7,1.33,0.7,0.4,0.5,76.9,76.9,6.7,6.7,0.0,0.0,66.7,81.1
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Kevon Looney,1626172,16,1.0,29.1,1.25,1.3,0.6,1.0,62.5,62.5,0.0,0.0,0.0,0.0,62.5,69.3
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Jeremiah Fears,1642847,39,0.4,2.5,1.25,0.5,0.2,0.3,66.7,70.8,12.5,12.5,12.5,0.0,62.5,69.3
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Ochai Agbaji,1630534,29,0.6,12.4,1.18,0.7,0.3,0.5,66.7,66.7,0.0,11.8,0.0,0.0,58.8,56.7
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Josh Minott,1631169,27,0.7,11.7,1.11,0.7,0.2,0.5,46.2,46.2,22.2,5.6,22.2,0.0,55.6,44.3
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Tobias Harris,202699,21,0.9,7.0,1.05,1.0,0.4,0.8,50.0,50.0,15.8,0.0,15.8,0.0,52.6,33.8
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Matas Buzelis,1641824,37,0.5,3.6,1.05,0.5,0.2,0.3,50.0,50.0,26.3,10.5,26.3,0.0,57.9,33.8
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Kevin Love,201567,21,1.1,15.2,0.87,1.0,0.4,1.0,40.0,40.0,8.7,4.3,8.7,0.0,43.5,12.3
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Jordan Clarkson,203903,34,0.3,3.2,1.73,0.6,0.2,0.3,70.0,75.0,27.3,0.0,27.3,18.2,72.7,99.0
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,DeMar DeRozan,201942,37,0.3,1.9,1.58,0.5,0.2,0.2,75.0,75.0,33.3,0.0,25.0,0.0,83.3,93.6
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Asa Newell,1642854,30,0.5,10.8,1.36,0.6,0.3,0.4,81.8,81.8,21.4,7.1,21.4,7.1,71.4,84.2
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Spencer Jones,1642461,33,0.5,8.4,1.27,0.6,0.2,0.4,58.3,58.3,20.0,6.7,20.0,6.7,60.0,71.3
