SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Nikola Vučević,202696,36,4.6,28.8,1.10,5.1,2.1,4.1,51.7,57.7,3.6,6.7,3.6,0.6,49.7,47.0
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Deandre Ayton,1629028,31,3.5,29.6,1.17,4.1,1.8,2.9,62.9,62.9,10.2,9.3,10.2,1.9,60.2,56.7
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Nikola Jokić,203999,30,3.2,13.0,1.26,4.0,1.5,2.7,57.5,65.6,11.6,7.4,11.6,3.2,56.8,67.7
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Karl-Anthony Towns,1626157,31,3.1,15.4,1.24,3.8,1.2,2.4,50.7,56.7,22.9,6.3,21.9,7.3,55.2,64.6
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Neemias Queta,1629674,36,2.2,26.2,1.38,3.0,1.4,1.9,72.9,72.9,10.1,5.1,10.1,3.8,69.6,79.9
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Alex Sarr,1642259,27,3.7,22.0,1.06,3.9,1.7,3.3,52.3,56.3,6.1,7.1,6.1,2.0,49.5,38.4
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Chet Holmgren,1631096,30,2.2,14.2,1.51,3.3,1.3,1.9,68.4,76.3,12.1,4.5,12.1,3.0,68.2,90.2
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Maxime Raynaud,1642875,30,2.9,28.8,1.15,3.3,1.6,2.6,59.5,59.5,5.8,4.7,5.8,2.3,58.1,54.9
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Joel Embiid,203954,20,5.4,22.9,0.92,5.0,1.8,4.6,38.5,42.3,12.0,5.6,12.0,1.9,42.6,21.3
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Jalen Duren,1631105,29,2.3,15.0,1.38,3.2,1.4,1.9,77.8,77.8,11.8,11.8,11.8,2.9,70.6,81.1
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Bobby Portis,1626171,37,2.0,16.5,1.22,2.4,1.0,1.9,52.2,62.3,4.1,4.1,4.1,1.4,51.4,62.2
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Jock Landale,1629111,34,2.2,22.2,1.17,2.6,1.0,2.0,49.3,58.0,7.9,3.9,7.9,2.6,50.0,57.9
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Myles Turner,1626167,36,2.2,18.8,1.11,2.4,0.8,1.9,42.0,52.9,11.4,2.5,11.4,1.3,46.8,50.0
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Wendell Carter Jr.,1628976,33,2.4,19.9,1.11,2.6,1.1,2.2,49.3,54.8,9.0,2.6,9.0,5.1,50.0,50.6
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Jusuf Nurkić,203994,30,2.8,23.2,1.04,2.9,1.3,2.3,54.3,55.7,13.1,6.0,13.1,2.4,52.4,36.0
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Marvin Bagley III,1628963,32,2.0,23.0,1.36,2.7,1.1,1.4,75.6,78.9,17.5,15.9,17.5,4.8,66.7,79.3
