SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Miles Bridges,1628970,36,5.4,29.2,1.10,6.0,2.0,5.0,40.2,53.9,7.1,2.0,6.1,0.5,43.4,61.4
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Norman Powell,1626181,30,6.6,31.8,1.09,7.1,2.2,5.3,42.4,52.5,11.7,9.1,10.7,1.0,44.7,55.9
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Jaden McDaniels,1630183,36,5.2,37.7,1.15,5.9,2.2,4.6,47.9,59.3,5.4,5.9,5.4,1.1,47.3,72.9
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Deni Avdija,1630166,37,4.8,19.1,1.19,5.7,1.7,3.9,43.4,59.3,14.8,5.1,13.1,2.3,47.7,79.0
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Dillon Brooks,1628415,30,6.6,31.4,1.05,6.9,2.4,6.1,39.6,52.2,4.5,4.5,4.5,1.0,39.9,48.7
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Mikal Bridges,1628969,34,5.3,38.1,1.15,6.1,2.2,5.0,43.5,58.8,2.2,3.3,2.2,0.0,43.3,74.1
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Kon Knueppel,1642851,36,4.9,28.7,1.16,5.7,1.9,4.5,43.5,60.9,2.8,6.8,2.8,0.6,41.8,75.5
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Toumani Camara,1641739,38,5.4,39.8,1.00,5.4,1.8,4.9,36.9,51.6,3.9,5.9,3.9,1.0,36.6,37.6
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Quentin Grimes,1629656,33,5.1,37.9,1.20,6.1,1.9,4.3,44.8,61.2,9.5,8.3,7.7,2.4,45.0,79.3
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Nickeil Alexander-Walker,1629638,38,4.3,22.0,1.21,5.3,1.8,3.9,44.7,59.7,7.9,4.2,7.9,3.0,45.5,82.7
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Trey Murphy III,1630530,35,4.4,23.6,1.28,5.7,1.9,4.2,45.2,63.0,5.2,1.3,5.2,0.6,47.1,88.8
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Jabari Smith Jr.,1631095,33,5.7,38.5,1.05,6.0,2.0,5.2,38.0,52.9,5.3,4.8,5.3,1.1,38.8,47.6
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Royce O'Neale,1626220,36,4.5,44.5,1.22,5.4,1.9,4.2,44.7,64.5,0.0,5.6,0.0,0.0,42.2,83.6
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Santi Aldama,1630583,36,5.6,40.5,0.97,5.4,1.9,5.0,39.1,47.2,9.0,4.0,7.5,2.5,41.5,33.7
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Julius Randle,203944,38,4.4,21.3,1.15,5.1,1.7,3.8,44.8,57.6,12.4,5.3,11.8,3.6,47.3,73.5
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Myles Turner,1626167,36,4.8,41.2,1.12,5.4,1.8,4.5,41.0,56.8,4.6,3.5,4.0,1.2,41.6,66.6
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Donte DiVincenzo,1628978,38,4.2,33.1,1.21,5.1,1.7,4.1,40.9,58.8,3.8,0.6,3.8,1.3,42.1,81.6
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Jerami Grant,203924,23,6.8,35.9,1.22,8.3,2.5,5.9,43.0,60.0,11.5,6.4,10.9,4.5,44.2,84.4
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Moses Moody,1630541,36,4.2,41.1,1.25,5.2,1.7,3.9,43.6,61.4,7.3,2.0,6.7,2.7,45.3,87.3
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Noah Clowney,1641730,34,5.7,41.9,0.96,5.5,1.7,4.9,34.1,48.2,8.2,6.2,8.2,0.5,37.1,30.8
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Bobby Portis,1626171,37,3.7,30.6,1.34,5.0,1.8,3.6,49.6,67.8,0.7,0.7,0.0,0.0,49.6,94.2
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Jaren Jackson Jr.,1628991,34,4.9,26.6,1.09,5.3,2.0,4.4,45.9,56.8,7.2,6.0,6.0,2.4,45.2,57.9
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Jaylon Tyson,1642281,34,4.1,35.5,1.28,5.3,1.8,3.9,46.3,65.3,2.1,2.9,2.1,0.7,45.7,89.3
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Naz Reid,1629675,38,4.3,30.9,1.08,4.7,1.7,4.1,40.1,56.4,0.6,4.2,0.6,0.0,38.8,55.6
