SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Donovan Mitchell,1628378,35,6.1,23.6,1.21,7.4,2.7,5.0,53.1,61.1,14.4,8.8,14.0,4.7,53.0,68.3
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Tyrese Maxey,1630178,33,5.8,20.8,1.28,7.4,2.7,4.6,58.2,68.6,12.0,10.4,11.5,2.1,56.3,79.5
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Nickeil Alexander-Walker,1629638,38,5.3,26.8,1.18,6.3,2.2,4.3,50.6,59.8,12.4,8.5,11.9,2.5,51.2,64.6
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Jalen Johnson,1630552,36,5.0,22.0,1.27,6.3,2.4,3.7,66.7,71.6,15.6,15.6,14.5,5.0,59.8,79.2
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Jaylen Brown,1627759,34,5.9,20.7,1.12,6.7,2.5,4.5,56.6,61.8,14.9,14.4,12.9,4.5,53.0,52.5
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Norman Powell,1626181,30,5.2,25.2,1.36,7.1,2.4,4.4,55.7,70.2,10.9,7.7,10.9,2.6,55.1,89.9
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Shaedon Sharpe,1631101,35,4.5,19.9,1.30,5.9,2.3,3.5,64.2,69.9,15.1,11.9,14.5,4.4,60.4,81.7
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Matas Buzelis,1641824,37,4.0,27.9,1.36,5.5,1.9,3.1,61.7,70.9,16.8,10.7,15.4,4.7,59.7,89.0
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Deni Avdija,1630166,37,4.6,18.3,1.20,5.5,1.8,2.9,61.3,65.1,26.0,17.2,23.7,5.9,58.6,66.6
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Anthony Black,1641710,35,4.6,28.4,1.20,5.5,2.0,3.5,57.4,61.1,20.5,9.3,19.9,5.6,57.1,67.1
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Giannis Antetokounmpo,203507,24,6.2,24.9,1.29,8.0,3.0,4.0,74.0,74.0,27.0,12.2,25.0,4.1,66.9,81.5
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,Pascal Siakam,1627783,36,4.9,21.0,1.03,5.1,2.0,3.7,53.7,56.7,17.5,9.6,15.8,2.8,52.5,33.5
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Scottie Barnes,1630567,37,4.0,20.8,1.24,4.9,1.9,2.8,65.7,70.0,15.6,17.0,14.3,4.1,58.5,74.6
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Devin Booker,1626164,34,3.9,15.6,1.36,5.3,1.6,2.8,57.9,66.3,23.5,6.8,22.0,2.3,62.9,89.3
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Shai Gilgeous-Alexander,1628983,34,3.6,14.2,1.44,5.2,1.9,2.9,64.3,68.9,21.8,4.8,19.4,5.6,66.9,95.2
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Jaime Jaquez Jr.,1631170,33,4.8,29.9,1.11,5.3,2.1,3.5,59.8,60.3,17.7,13.3,13.9,5.1,56.3,50.6
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Jeremiah Fears,1642847,39,4.5,27.6,1.01,4.5,1.7,3.4,49.3,50.7,16.0,11.4,16.0,4.0,49.7,30.3
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Cooper Flagg,1642843,35,4.1,21.0,1.21,5.0,1.8,3.1,58.9,60.3,20.0,9.0,19.3,2.8,60.0,68.8
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Immanuel Quickley,1630193,38,4.6,28.1,0.97,4.5,1.6,3.9,41.5,50.0,9.1,9.1,8.0,1.7,42.0,24.2
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Trey Murphy III,1630530,35,3.8,20.2,1.27,4.8,1.7,3.0,56.6,65.1,14.3,9.8,12.8,3.8,55.6,78.4
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Mikal Bridges,1628969,34,3.5,25.0,1.42,4.9,2.0,3.1,64.8,75.2,6.8,7.6,5.9,3.4,61.0,94.4
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Cade Cunningham,1630595,31,4.6,17.6,1.14,5.2,1.9,3.3,56.9,58.3,20.4,14.8,19.7,7.0,53.5,56.5
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Lauri Markkanen,1628374,31,3.8,15.6,1.36,5.2,1.9,3.0,62.8,70.2,16.9,6.8,15.3,3.4,63.6,89.6
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,Kawhi Leonard,202695,27,4.7,19.4,1.24,5.9,2.1,3.9,53.8,61.8,13.4,7.9,12.6,4.7,53.5,75.0
