SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,PLAYER_LAST_TEAM_ABBREVIATION,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Kevin Durant,201142,OKC,72,45,5.5,0.4,1.1,40.8,44.7,3.9,0.3,0.8,46.3,1.6,0.1,0.3,27.3
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Dahntay Jones,2563,CLE,1,1,7.1,1.0,1.0,100,100,7.1,1.0,1.0,100,0.0,0.0,0.0,-
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,Paul George,202331,IND,81,46,5.5,0.3,1.0,26.6,28.5,4.3,0.2,0.8,29.0,1.2,0.0,0.2,17.6
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,DeMar DeRozan,201942,TOR,77,48,5.5,0.4,1.0,45.3,46.0,5.2,0.4,0.9,47.1,0.4,0.0,0.1,20.0
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,Jamal Crawford,2037,LAC,79,41,7.8,0.4,0.9,43.8,45.2,6.8,0.4,0.8,46.9,1.0,0.0,0.1,22.2
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Carmelo Anthony,2546,NYK,72,42,5.0,0.2,0.9,25.8,25.8,4.7,0.2,0.8,27.9,0.4,0.0,0.1,0.0
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Andrew Wiggins,203952,MIN,81,53,5.6,0.3,0.9,32.9,32.9,5.4,0.3,0.9,34.3,0.2,0.0,0.0,0.0
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Kobe Bryant,977,LAL,66,41,5.3,0.2,0.9,22.0,22.9,4.0,0.2,0.7,26.7,1.3,0.0,0.2,7.1
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Damian Lillard,203081,POR,75,39,4.3,0.3,0.8,40.6,49.2,2.5,0.2,0.5,40.5,1.8,0.1,0.4,40.7
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Rodney Hood,203918,UTA,79,46,6.8,0.3,0.8,37.9,37.9,5.5,0.3,0.7,47.2,1.3,0.0,0.2,0.0
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Khris Middleton,203114,MIL,79,41,5.7,0.3,0.8,30.8,33.1,4.4,0.2,0.6,34.0,1.3,0.0,0.2,20.0
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Kemba Walker,202689,CHA,81,41,4.8,0.3,0.8,32.8,38.3,3.0,0.2,0.5,35.0,1.8,0.1,0.3,29.2
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Jimmy Butler III,202710,CHI,67,32,4.8,0.2,0.8,28.0,31.0,3.9,0.2,0.6,27.5,1.0,0.0,0.1,30.0
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Nicolas Batum,201587,CHA,70,37,6.0,0.3,0.7,36.5,45.2,3.1,0.1,0.4,37.0,2.9,0.1,0.4,36.0
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Kyrie Irving,202681,CLE,53,30,4.4,0.3,0.7,33.3,37.2,2.8,0.2,0.5,40.0,1.6,0.1,0.3,21.4
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Dirk Nowitzki,1717,DAL,75,38,4.9,0.3,0.7,41.8,41.8,4.7,0.3,0.7,44.2,0.3,0.0,0.0,0.0
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,CJ McCollum,203468,POR,80,41,4.1,0.3,0.7,36.2,37.9,3.2,0.2,0.6,41.3,0.8,0.0,0.1,16.7
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Russell Westbrook,201566,OKC,80,39,3.8,0.3,0.7,43.6,45.5,3.2,0.3,0.6,47.8,0.6,0.0,0.1,22.2
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Reggie Jackson,202704,DET,79,41,4.3,0.2,0.7,35.8,35.8,4.0,0.2,0.6,38.0,0.2,0.0,0.0,0.0
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Jodie Meeks,201975,DET,3,2,10.0,0.0,0.7,0.0,0.0,5.0,0.0,0.3,0.0,5.0,0.0,0.3,0.0
