SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,MIN,CATCH_SHOOT_PTS,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
2015-16,Pre+Season,-,null,-,-,1962937173,1,13.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937140,2,4.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937177,1,0.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937149,2,24.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937181,1,5.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937115,2,29.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937086,1,5.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937158,2,34.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937141,2,14.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937061,1,18.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937172,1,29.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937148,2,22.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937121,2,20.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937155,2,35.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937146,2,26.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937178,1,18.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937145,2,34.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937142,2,29.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937157,2,28.8,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937159,2,20.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937062,1,13.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937076,1,33.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937167,1,2.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937065,1,19.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937120,2,12.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937126,2,10.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937073,1,19.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937063,1,17.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937070,1,21.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937150,2,31.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937128,1,20.8,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937147,2,15.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937072,1,11.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937060,1,32.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937057,1,29.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937074,1,31.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937118,2,27.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937179,1,18.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937059,1,31.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937055,1,15.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937176,1,23.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937151,2,30.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937163,2,16.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937183,1,25.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937058,1,30.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937077,1,29.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937114,2,30.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937174,1,28.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937085,1,2.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937075,1,23.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937182,1,32.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937161,2,27.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937171,1,34.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937123,2,13.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937066,1,23.8,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937143,1,8.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937160,2,7.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937175,1,11.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937162,2,6.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937056,1,9.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937127,2,21.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937166,2,30.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937124,1,2.8,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937078,1,30.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,-,1962937144,1,3.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CHI,1610612741,Chicago Bulls,Aaron Brooks,201166,8,19.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,ORL,1610612753,Orlando Magic,Aaron Gordon,203932,2,15.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CHA,1610612766,Charlotte Hornets,Aaron Harrison,1626151,6,12.8,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DET,1610612765,Detroit Pistons,Adonis Thomas,203519,1,9.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MIN,1610612750,Minnesota Timberwolves,Adreian Payne,203940,6,12.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,ATL,1610612737,Atlanta Hawks,Al Horford,201143,6,23.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CHA,1610612766,Charlotte Hornets,Al Jefferson,2744,6,24.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,POR,1610612757,Portland Trail Blazers,Al-Farouq Aminu,202329,3,30.8,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,UTA,1610612762,Utah Jazz,Alec Burks,202692,7,27.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,PHX,1610612756,Phoenix Suns,Alex Len,203458,5,19.8,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MEM,1610612763,Memphis Grizzlies,Alex Stepheson,1627293,3,9.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,NOP,1610612740,New Orleans Pelicans,Alexis Ajinca,201582,1,8.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,POR,1610612757,Portland Trail Blazers,Allen Crabbe,203459,7,28.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,NOP,1610612740,New Orleans Pelicans,Alonzo Gee,202087,6,21.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MIA,1610612748,Miami Heat,Amar'e Stoudemire,2405,5,12.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,BOS,1610612738,Boston Celtics,Amir Johnson,101161,6,18.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,GSW,1610612744,Golden State Warriors,Anderson Varejao,2760,6,15.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DET,1610612765,Detroit Pistons,Andre Drummond,203083,8,28.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,GSW,1610612744,Golden State Warriors,Andre Iguodala,2738,6,15.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,SAS,1610612759,San Antonio Spurs,Andre Miller,1889,3,16.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,OKC,1610612760,Oklahoma City Thunder,Andre Roberson,203460,6,20.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,GSW,1610612744,Golden State Warriors,Andrew Bogut,101106,4,17.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,ORL,1610612753,Orlando Magic,Andrew Nicholson,203094,6,11.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MIN,1610612750,Minnesota Timberwolves,Andrew Wiggins,203952,7,23.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,TOR,1610612761,Toronto Raptors,Anthony Bennett,203461,6,14.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,LAL,1610612747,Los Angeles Lakers,Anthony Brown,1626148,7,18.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,NOP,1610612740,New Orleans Pelicans,Anthony Davis,203076,6,29.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,OKC,1610612760,Oklahoma City Thunder,Anthony Morrow,201627,6,19.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DET,1610612765,Detroit Pistons,Anthony Tolliver,201229,8,17.8,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,PHX,1610612756,Phoenix Suns,Archie Goodwin,203462,6,15.8,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DET,1610612765,Detroit Pistons,Aron Baynes,203382,4,14.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,NYK,1610612752,New York Knicks,Arron Afflalo,201167,3,13.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,HOU,1610612745,Houston Rockets,Arsalan Kazemi,203529,2,7.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CLE,1610612739,Cleveland Cavaliers,Austin Daye,201948,6,11.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,LAC,1610612746,Los Angeles Clippers,Austin Rivers,203085,5,21.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,BOS,1610612738,Boston Celtics,Avery Bradley,202340,6,19.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DEN,1610612743,Denver Nuggets,Axel Toupane,1626253,2,10.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,GSW,1610612744,Golden State Warriors,Ben Gordon,2732,2,8.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,SAC,1610612758,Sacramento Kings,Ben McLemore,203463,6,20.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MEM,1610612763,Memphis Grizzlies,Beno Udrih,2757,5,15.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,TOR,1610612761,Toronto Raptors,Bismack Biyombo,202687,7,20.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,LAC,1610612746,Los Angeles Clippers,Blake Griffin,201933,6,26.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,NOP,1610612740,New Orleans Pelicans,Bo McCalebb,1627322,4,13.8,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,SAS,1610612759,San Antonio Spurs,Boban Marjanovic,1626246,5,11.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CHI,1610612741,Chicago Bulls,Bobby Portis,1626171,7,21.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,-,null,-,Bogdan Bogdanovic,1962937117,2,29.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,BKN,1610612751,Brooklyn Nets,Bojan Bogdanovic,202711,4,26.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,SAS,1610612759,San Antonio Spurs,Boris Diaw,2564,3,11.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,WAS,1610612764,Washington Wizards,Bradley Beal,203078,6,22.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MEM,1610612763,Memphis Grizzlies,Brandan Wright,201148,5,19.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,LAC,1610612746,Los Angeles Clippers,Branden Dawson,1626183,2,6.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DAL,1610612742,Dallas Mavericks,Brandon Ashley,1626165,7,12.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,LAL,1610612747,Los Angeles Lakers,Brandon Bass,101138,5,19.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,PHX,1610612756,Phoenix Suns,Brandon Knight,202688,6,25.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,GSW,1610612744,Golden State Warriors,Brandon Rush,201575,7,18.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,POR,1610612757,Portland Trail Blazers,Brian Roberts,203148,7,19.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,BKN,1610612751,Brooklyn Nets,Brook Lopez,201572,5,26.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,TOR,1610612761,Toronto Raptors,Bruno Caboclo,203998,6,14.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MEM,1610612763,Memphis Grizzlies,Bryce Cotton,203955,2,17.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,NOP,1610612740,New Orleans Pelicans,Bryce Dejean-Jones,1626214,7,18.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,ORL,1610612753,Orlando Magic,C.J. Watson,201228,6,25.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,LAC,1610612746,Los Angeles Clippers,C.J. Wilcox,203912,5,6.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,IND,1610612754,Indiana Pacers,CJ Fair,203927,5,9.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,POR,1610612757,Portland Trail Blazers,CJ McCollum,203468,7,30.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,IND,1610612754,Indiana Pacers,CJ Miles,101139,6,18.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DET,1610612765,Detroit Pistons,Cameron Bairstow,203946,4,18.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,OKC,1610612760,Oklahoma City Thunder,Cameron Payne,1626166,6,13.0,0.0,0.0,0.0,-,-,-,-,-
