SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,DREB,DREB_CONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST
2025-26,Regular+Season,TOR,1610612761,Toronto Raptors,A.J. Lawson,1630639,5,1,4,10.6,1.4,0.2,14.3,2.4,58.3,0.0,58.3,9.6
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,AJ Green,1631260,32,14,18,29.7,2.7,0.6,21.2,5.1,51.8,0.4,56.3,8.4
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,AJ Johnson,1642358,11,1,10,8.2,1.5,0.5,29.4,2.1,73.9,0.3,85.0,6.1
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Aaron Gordon,203932,18,13,5,27.7,4.6,1.3,27.7,6.3,73.5,0.2,76.1,5.7
2025-26,Regular+Season,HOU,1610612745,Houston Rockets,Aaron Holiday,1628988,16,11,5,18.6,1.3,0.3,23.8,2.1,61.8,0.1,65.6,10.0
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,Aaron Nesmith,1630174,20,4,16,30.0,3.6,0.7,18.1,5.9,61.5,0.5,67.3,7.4
2025-26,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Aaron Wiggins,1630598,26,21,5,23.4,2.7,0.5,18.6,4.9,54.7,0.5,60.9,8.0
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Ace Bailey,1642846,31,12,19,23.3,1.8,0.6,33.3,3.2,57.6,0.4,66.3,7.6
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Adem Bona,1641737,27,16,11,17.6,2.3,0.8,36.1,5.4,41.5,0.6,46.9,3.9
2025-26,Regular+Season,LAL,1610612747,Los Angeles Lakers,Adou Thiero,1642876,10,4,6,7.4,1.1,0.4,36.4,1.6,68.8,0.0,68.8,4.8
2025-26,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Ajay Mitchell,1642349,36,31,5,27.1,3.0,0.8,25.9,4.9,61.4,0.4,66.7,9.5
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Al Horford,201143,22,12,10,19.2,3.8,1.7,45.2,5.5,68.9,0.4,73.7,5.0
2025-26,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Alex Caruso,1627936,27,22,5,19.1,2.4,0.4,18.5,4.0,60.7,0.4,67.0,8.5
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Alex Sarr,1642259,29,8,21,28.2,5.6,2.2,39.1,11.0,50.6,1.3,57.7,4.0
2025-26,Regular+Season,TOR,1610612761,Toronto Raptors,Alijah Martin,1642918,3,1,2,19.2,2.0,0.3,16.7,3.0,66.7,0.0,66.7,8.0
2025-26,Regular+Season,HOU,1610612745,Houston Rockets,Alperen Sengun,1630578,30,19,11,34.4,6.0,2.1,35.0,10.0,60.2,0.8,65.5,4.5
2025-26,Regular+Season,BOS,1610612738,Boston Celtics,Amari Williams,1642873,4,2,2,7.1,1.3,0.0,0.0,2.3,55.6,0.0,55.6,6.1
2025-26,Regular+Season,HOU,1610612745,Houston Rockets,Amen Thompson,1641708,37,23,14,37.0,4.8,1.4,29.2,7.6,63.3,0.4,67.2,7.7
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Amir Coffey,1629599,11,4,7,11.1,1.1,0.3,25.0,1.9,57.1,0.1,60.0,6.9
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Andre Drummond,203083,33,19,14,20.2,5.4,1.8,34.3,8.5,63.3,0.7,69.0,4.3
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Andre Jackson Jr.,1641748,7,1,6,11.6,1.1,0.1,12.5,2.0,57.1,0.0,57.1,5.1
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,Andrew Nembhard,1629614,30,6,24,31.7,2.4,0.3,12.7,4.6,51.1,0.5,57.3,10.1
2025-26,Regular+Season,MIA,1610612748,Miami Heat,Andrew Wiggins,203952,34,17,17,31.5,3.1,1.2,39.4,6.5,46.8,0.9,54.5,6.4
2025-26,Regular+Season,BOS,1610612738,Boston Celtics,Anfernee Simons,1629014,33,20,13,24.2,2.2,0.5,20.8,3.8,57.6,0.3,63.2,9.0
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Anthony Black,1641710,39,21,18,30.6,3.4,0.6,18.2,5.6,60.8,0.4,65.3,7.5
2025-26,Regular+Season,DAL,1610612742,Dallas Mavericks,Anthony Davis,203076,19,10,9,31.1,7.9,2.8,36.0,12.6,62.8,1.0,68.2,5.2
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Anthony Edwards,1630162,32,21,11,34.8,4.3,0.9,21.9,6.7,64.0,0.6,70.3,6.8
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Anthony Gill,1630264,8,0,8,6.9,1.3,0.6,50.0,2.1,58.8,0.4,71.4,7.1
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,Antonio Reeves,1641810,3,1,2,12.1,1.3,0.3,25.0,1.7,80.0,0.0,80.0,3.6
2025-26,Regular+Season,NYK,1610612752,New York Knicks,Ariel Hukporti,1630574,18,12,6,11.4,2.3,0.9,39.0,4.9,46.6,1.0,58.6,6.1
