SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
2015-16,Regular+Season,CHI,,69,36,33,16.1,6.2,1.3,3.1,43.1,0.2,0.3,70.8,2.9,47.5,1.9,30.0,0.5,8.0,0.4,6.6,0.2,2.8,0,0
2015-16,Regular+Season,ORL,,77,32,45,24.1,2.2,0.5,1.1,41.2,0.3,0.4,78.6,1.2,57.8,0.5,22.9,0.1,6.6,0.2,8.4,0.2,8.4,0,0
2015-16,Regular+Season,CHA,,21,15,6,4.4,0.5,0.0,0.1,50.0,0.1,0.3,50.0,0.2,45.5,0.1,27.3,0.0,9.1,0.1,18.2,0.1,27.3,0,0
2015-16,Regular+Season,MIN,,52,18,34,9.3,0.8,0.1,0.4,35.0,0.1,0.1,66.7,0.3,40.9,0.2,27.3,0.0,4.5,0.1,9.1,0.1,6.8,0,0
2015-16,Regular+Season,ATL,,82,48,34,32.1,2.1,0.5,0.9,53.5,0.2,0.3,75.0,1.2,56.3,0.8,35.2,0.2,10.8,0.1,5.7,0.1,6.8,0,0
2015-16,Regular+Season,CHA,,47,33,14,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,POR,,82,44,38,28.5,3.5,0.5,1.3,35.8,0.5,0.6,80.4,1.5,41.2,1.3,35.4,0.4,10.0,0.2,6.9,0.3,8.2,0,0
2015-16,Regular+Season,WAS,,13,8,5,14.8,1.9,0.3,0.8,36.4,0.3,0.3,100,0.9,48.0,0.5,28.0,0.3,16.0,0.1,4.0,0.2,8.0,0,0
2015-16,Regular+Season,PHX,,10,3,7,6.8,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,UTA,,31,13,18,25.7,8.0,1.7,3.8,46.2,1.8,2.5,72.4,5.4,66.9,1.9,23.4,0.4,4.4,0.6,8.1,1.2,15.3,0,0
2015-16,Regular+Season,PHX,,78,23,55,23.3,0.6,0.1,0.3,39.1,0.1,0.1,70.0,0.3,54.3,0.1,21.7,0.0,6.5,0.0,4.3,0.1,10.9,0,0
2015-16,Regular+Season,MEM,,8,2,6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,NOP,,59,20,39,14.6,0.5,0.1,0.3,36.8,0.0,0.0,100,0.3,63.0,0.1,14.8,0.0,0.0,0.1,11.1,0.0,3.7,0,0
