SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Aaron Brooks,201166,69,36,33,16.1,25.5,30.7,2.6,0.2,5.3,6.6,3.1,10.2,12.2
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Aaron Gordon,203932,77,32,45,24.1,28.0,18.4,1.7,0.1,2.9,3.9,1.9,5.9,6.8
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Aaron Harrison,1626151,21,15,6,4.4,2.7,2.7,0.1,0.0,0.2,0.3,0.1,3.6,5.4
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Adreian Payne,203940,52,18,34,9.3,14.2,8.5,0.6,0.1,1.2,1.4,0.7,3.9,5.1
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Al Horford,201143,82,48,34,32.1,47.7,42.2,3.2,0.4,6.8,8.5,4.0,6.7,8.3
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Al Jefferson,2744,47,33,14,23.3,15.4,21.1,1.5,0.2,3.0,3.7,1.8,9.7,11.9
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Al-Farouq Aminu,202329,82,44,38,28.5,24.6,22.0,1.7,0.2,3.2,4.4,2.1,6.8,8.4
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Alan Anderson,101187,13,8,5,14.8,10.2,10.5,1.1,0.0,1.5,1.8,0.8,10.5,8.3
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Alan Williams,1626210,10,3,7,6.8,7.8,5.0,0.5,0.0,0.6,1.2,0.5,6.4,6.4
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Alec Burks,202692,31,13,18,25.7,32.5,40.4,2.0,0.1,5.0,5.1,2.4,6.3,7.4
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Alex Len,203458,78,23,55,23.3,26.2,20.0,1.2,0.1,2.8,3.0,1.4,4.8,5.2
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Alex Stepheson,1627293,8,2,6,9.0,7.5,5.4,0.3,0.0,0.4,0.6,0.3,3.3,3.3
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Alexis Ajinca,201582,59,20,39,14.6,18.2,12.6,0.5,0.0,1.0,1.4,0.6,2.9,3.5
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Allen Crabbe,203459,81,43,38,26.0,20.5,22.7,1.2,0.2,2.7,3.2,1.7,5.9,8.1
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Alonzo Gee,202087,73,27,46,22.4,16.1,12.3,1.0,0.1,1.7,2.3,1.1,6.1,6.9
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Amar'e Stoudemire,2405,52,30,22,14.7,11.8,10.9,0.5,0.1,1.2,1.3,0.7,4.4,5.7
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Amir Johnson,101161,78,44,34,22.8,32.5,22.5,1.7,0.3,3.1,4.2,2.1,5.3,6.5
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Anderson Varejao,2760,53,41,12,9.4,13.8,9.8,0.7,0.1,1.5,1.6,0.8,4.8,5.7
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Andre Drummond,203083,81,43,38,32.9,20.8,21.4,0.8,0.1,2.3,2.2,1.0,4.0,4.8
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Andre Iguodala,2738,65,59,6,26.6,32.9,31.1,3.4,0.5,6.1,8.7,4.3,10.2,12.9
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Andre Miller,1889,39,20,19,11.8,22.2,23.6,2.2,0.3,4.5,5.5,2.8,10.1,12.6
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Andre Roberson,203460,70,48,22,22.2,11.8,11.4,0.7,0.1,1.6,1.6,0.8,5.7,6.9
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Andrea Bargnani,200745,46,11,35,13.8,15.5,12.8,0.4,0.0,0.9,1.0,0.5,2.5,3.1
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Andrew Bogut,101106,70,62,8,20.7,30.4,19.3,2.3,0.3,4.3,5.9,2.8,7.6,9.2
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Andrew Goudelock,202726,8,5,3,6.2,9.5,11.3,0.5,0.1,1.4,1.1,0.8,5.3,7.9
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Andrew Nicholson,203094,55,22,33,14.9,14.4,12.6,0.5,0.1,1.1,1.2,0.6,3.2,3.9
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Andrew Wiggins,203952,81,29,52,35.1,23.8,37.3,2.0,0.4,4.6,5.1,2.7,8.5,11.5
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Anthony Bennett,203461,19,12,7,4.4,7.4,4.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0
