SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,REB,REB_CONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
2024-25,Regular+Season,TOR,1610612761,Toronto Raptors,A.J. Lawson,1630639,22,12,10,20.2,3.9,0.9,22.1,6.0,65.6,0.5,71.1,7.3
2024-25,Regular+Season,MIL,1610612749,Milwaukee Bucks,AJ Green,1631260,65,40,25,23.8,2.7,0.4,13.8,4.6,58.8,0.3,63.0,8.8
2024-25,Regular+Season,WAS,1610612764,Washington Wizards,AJ Johnson,1642358,23,6,17,25.4,2.6,0.7,28.8,6.3,40.7,1.0,48.0,7.5
2024-25,Regular+Season,DEN,1610612743,Denver Nuggets,Aaron Gordon,203932,49,31,18,29.0,5.0,2.1,42.5,7.7,65.9,0.4,69.6,6.6
2024-25,Regular+Season,HOU,1610612745,Houston Rockets,Aaron Holiday,1628988,41,26,15,14.9,1.9,0.4,21.8,3.3,57.8,0.3,62.9,10.0
2024-25,Regular+Season,IND,1610612754,Indiana Pacers,Aaron Nesmith,1630174,42,29,13,25.5,4.2,0.9,21.5,7.7,54.8,0.7,60.4,7.8
2024-25,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Aaron Wiggins,1630598,72,58,14,23.6,4.1,1.4,33.6,7.6,53.8,0.6,58.6,6.9
2024-25,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Adam Flagler,1641745,15,14,1,9.1,1.8,0.4,22.2,2.7,65.9,0.3,73.0,11.1
2024-25,Regular+Season,CHI,1610612741,Chicago Bulls,Adama Sanogo,1641766,3,2,1,7.0,2.0,0.3,16.7,3.7,54.5,0.3,60.0,7.6
2024-25,Regular+Season,PHI,1610612755,Philadelphia 76ers,Adem Bona,1641737,50,11,39,17.5,4.9,2.4,49.0,10.9,45.1,0.8,48.8,4.5
2024-25,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Ajay Mitchell,1642349,29,26,3,17.0,2.3,0.8,32.4,3.9,60.7,0.2,63.6,10.0
2024-25,Regular+Season,BOS,1610612738,Boston Celtics,Al Horford,201143,59,43,16,27.5,6.1,2.1,33.4,9.6,63.6,0.7,68.6,7.3
2024-25,Regular+Season,MIA,1610612748,Miami Heat,Alec Burks,202692,39,21,18,19.5,3.2,0.7,23.4,5.2,61.1,0.4,66.3,7.3
2024-25,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Alex Caruso,1627936,51,42,9,19.6,3.1,1.0,32.7,6.0,51.8,0.4,55.0,9.3
2024-25,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Alex Ducas,1642505,10,10,0,8.7,2.6,1.0,38.5,4.1,63.4,0.0,63.4,8.9
2024-25,Regular+Season,LAL,1610612747,Los Angeles Lakers,Alex Len,203458,36,19,17,9.6,2.6,1.1,43.2,5.4,49.0,0.6,54.6,5.2
2024-25,Regular+Season,PHI,1610612755,Philadelphia 76ers,Alex Reese,1642024,14,4,10,15.1,3.4,1.2,36.2,6.8,49.5,0.6,54.7,4.7
2024-25,Regular+Season,WAS,1610612764,Washington Wizards,Alex Sarr,1642259,67,13,54,27.1,6.5,2.6,39.3,12.5,52.0,1.1,57.2,5.8
2024-25,Regular+Season,HOU,1610612745,Houston Rockets,Alperen Sengun,1630578,76,52,24,31.5,10.3,4.3,41.6,18.3,56.6,1.3,61.0,4.8
2024-25,Regular+Season,HOU,1610612745,Houston Rockets,Amen Thompson,1641708,69,43,26,32.3,8.2,3.0,36.2,13.3,61.4,1.0,66.1,6.5
2024-25,Regular+Season,LAC,1610612746,Los Angeles Clippers,Amir Coffey,1629599,65,38,27,24.0,2.5,0.6,23.0,4.6,53.3,0.3,57.1,8.1
2024-25,Regular+Season,PHI,1610612755,Philadelphia 76ers,Andre Drummond,203083,40,12,28,18.8,7.8,3.8,48.4,12.3,63.3,0.7,67.1,4.5
2024-25,Regular+Season,MIL,1610612749,Milwaukee Bucks,Andre Jackson Jr.,1641748,56,32,24,16.2,3.3,1.1,35.2,5.6,58.5,0.5,64.1,7.5
2024-25,Regular+Season,IND,1610612754,Indiana Pacers,Andrew Nembhard,1629614,60,41,19,29.9,3.6,0.4,11.6,6.3,57.0,0.6,62.4,9.8
2024-25,Regular+Season,MIA,1610612748,Miami Heat,Andrew Wiggins,203952,59,27,32,30.9,4.6,1.8,40.5,9.0,50.7,0.7,55.0,7.3
2024-25,Regular+Season,POR,1610612757,Portland Trail Blazers,Anfernee Simons,1629014,66,28,38,33.0,2.8,0.5,17.6,5.8,48.8,0.4,52.2,10.3
2024-25,Regular+Season,ORL,1610612753,Orlando Magic,Anthony Black,1641710,73,38,35,24.3,3.2,0.7,23.5,6.1,52.0,0.5,56.8,8.4
2024-25,Regular+Season,DAL,1610612742,Dallas Mavericks,Anthony Davis,203076,51,30,21,33.4,11.6,5.2,45.1,18.5,62.4,1.2,66.7,4.6
2024-25,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Anthony Edwards,1630162,78,48,30,36.3,5.8,1.3,23.1,9.2,62.5,0.5,66.4,7.9
2024-25,Regular+Season,WAS,1610612764,Washington Wizards,Anthony Gill,1630264,25,2,23,12.6,2.6,1.0,39.4,5.2,50.4,0.5,55.9,6.8
