SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
2015-16,Pre+Season,TOR,,4,0,4,7.3,4.3,0.0,0.0,2.3,42.9,0.0,0.0,1.0,100,0.0,0.0,0.0,0.0,43.3,0,0
2015-16,Pre+Season,MIL,,34,16,18,29.2,10.2,0.2,57.1,6.7,43.2,2.5,41.1,0.2,60.0,0.0,0.0,0.0,0.0,62.4,0,0
2015-16,Pre+Season,WAS,,20,4,16,6.9,1.8,0.5,20.0,0.3,28.6,0.3,25.0,0.2,66.7,0.0,0.0,0.0,0.0,33.3,0,0
2015-16,Pre+Season,DEN,,16,11,5,27.3,18.1,3.3,50.0,4.5,41.7,2.8,36.7,5.4,71.7,1.1,33.3,0.9,55.6,60.2,0,0
2015-16,Pre+Season,HOU,,28,20,8,13.9,6.3,1.5,51.6,3.5,40.7,0.8,26.7,0.0,0.0,0.0,0.0,0.1,33.3,54.7,0,0
2015-16,Pre+Season,IND,,19,3,16,29.9,14.6,3.4,36.9,7.2,40.7,2.1,28.8,0.4,27.3,0.0,0.0,0.1,16.7,48.9,0,0
2015-16,Pre+Season,OKC,,26,20,6,22.9,10.4,2.3,40.3,4.3,40.2,1.2,30.6,1.1,86.7,0.0,0.0,0.2,33.3,55.3,0,0
2015-16,Pre+Season,UTA,,31,11,20,23.4,10.1,1.6,45.2,3.7,33.9,2.5,41.0,1.5,66.7,0.0,0.0,0.2,50.0,51.6,0,0
2015-16,Pre+Season,PHI,,27,17,10,16.7,3.9,0.1,25.0,0.2,40.0,0.0,0.0,2.6,60.9,0.1,100,0.3,50.0,58.5,0,0
2015-16,Pre+Season,LAL,,15,8,7,5.8,1.3,0.5,50.0,0.0,0.0,0.0,0.0,0.4,42.9,0.0,0.0,0.1,100,38.9,0,0
2015-16,Pre+Season,OKC,,37,32,5,26.2,14.2,7.3,52.6,2.4,31.9,2.6,46.7,0.9,72.7,0.0,0.0,0.5,81.8,52.9,0,0
2015-16,Pre+Season,GSW,,20,11,9,19.4,6.9,0.4,50.0,5.1,36.8,0.2,33.3,0.8,46.2,0.5,66.7,0.3,75.0,51.2,0,0
2015-16,Pre+Season,OKC,,27,22,5,18.6,6.0,0.8,38.9,2.9,32.5,0.3,27.3,0.8,64.7,0.0,0.0,0.4,75.0,51.4,0,0
2015-16,Pre+Season,WAS,,28,8,20,28.2,17.3,4.0,46.0,3.4,37.1,1.1,34.9,5.6,61.5,0.8,47.4,3.3,56.1,54.1,0,0
2015-16,Pre+Season,TOR,,4,1,3,5.8,1.8,0.0,0.0,0.8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,0,0
2015-16,Pre+Season,HOU,,28,18,10,34.3,21.8,6.6,53.3,2.7,36.3,2.5,35.4,4.0,53.4,2.9,57.1,2.7,59.6,53.4,0,0
2015-16,Pre+Season,BOS,,6,4,2,5.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,50.0,0.0,0.0,0.0,0.0,50.0,0,0
2015-16,Pre+Season,HOU,,35,22,13,36.7,18.3,6.3,48.6,1.3,23.0,1.5,31.0,5.8,72.7,0.0,0.0,0.9,57.1,52.8,0,0
2015-16,Pre+Season,MIL,,22,10,12,7.7,1.5,0.4,57.1,0.4,27.3,0.4,50.0,0.1,100,0.0,0.0,0.0,0.0,48.1,0,0
