SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Aaron Brooks,201166,69,36,33,16.1,5779.6,1.10,0.60,0.50,4.10,4.39,3.83
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Aaron Gordon,203932,77,32,45,24.1,9660.2,1.80,1.00,0.80,4.56,5.08,4.06
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Aaron Harrison,1626151,21,15,6,4.4,1707.8,0.30,0.20,0.20,4.37,4.45,4.28
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Adreian Payne,203940,52,18,34,9.3,3534.8,0.70,0.40,0.30,4.31,4.60,4.01
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Al Horford,201143,82,48,34,32.1,11443.5,2.20,1.10,1.00,4.06,4.42,3.73
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Al Jefferson,2744,47,33,14,23.3,8124.0,1.50,0.80,0.70,3.97,4.14,3.79
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Al-Farouq Aminu,202329,82,44,38,28.5,10996.3,2.10,1.10,0.90,4.39,4.75,4.02
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Alan Anderson,101187,13,8,5,14.8,5355.7,1.00,0.50,0.50,4.13,4.38,3.90
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Alan Williams,1626210,10,3,7,6.8,2518.8,0.50,0.30,0.20,4.23,4.53,3.93
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Alec Burks,202692,31,13,18,25.7,9577.2,1.80,1.00,0.80,4.23,4.44,4.02
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Alex Len,203458,78,23,55,23.3,8376.4,1.60,0.80,0.70,4.08,4.33,3.82
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Alex Stepheson,1627293,8,2,6,9.0,3327.5,0.60,0.40,0.30,4.17,4.10,4.25
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Alexis Ajinca,201582,59,20,39,14.6,5220.0,1.00,0.50,0.50,4.08,4.42,3.76
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Allen Crabbe,203459,81,43,38,26.0,9804.6,1.90,1.00,0.80,4.30,4.68,3.91
