SEASON,SEASON_TYPE,TEAM_ABB,MATCHUP,GDATE,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PLUS_MINUS
2015-16,pre-season,-,10/23/2015,W,48,115,46,86,53.5,16,37,43.2,7,8,87.5,10,31,41,32,14,9,4,21,28,0
2015-16,pre-season,-,10/23/2015,W,48,111,40,78,51.3,11,24,45.8,20,29,69.0,7,39,46,26,12,8,3,17,25,0
2015-16,pre-season,-,10/23/2015,W,48,81,35,100,35.0,6,28,21.4,5,12,41.7,18,49,67,20,18,11,9,24,16,0
2015-16,pre-season,-,10/23/2015,W,48,92,33,92,35.9,7,23,30.4,19,22,86.4,18,36,54,19,11,9,1,21,10,0
2015-16,pre-season,-,10/23/2015,W,48,86,32,84,38.1,10,30,33.3,12,17,70.6,16,35,51,24,17,8,6,24,10,0
2015-16,pre-season,-,10/23/2015,W,48,112,40,83,48.2,9,18,50.0,23,28,82.1,9,31,40,26,13,9,5,31,4,0
2015-16,pre-season,-,10/23/2015,W,48,93,27,81,33.3,13,28,46.4,26,32,81.3,11,33,44,18,14,5,5,28,3,0
2015-16,pre-season,-,10/23/2015,W,48,103,41,92,44.6,9,25,36.0,12,17,70.6,8,44,52,25,13,8,6,20,1,0
2015-16,pre-season,-,10/23/2015,L,48,102,37,88,42.0,6,18,33.3,22,25,88.0,7,43,50,25,12,7,0,16,-1,0
2015-16,pre-season,-,10/23/2015,L,48,90,30,72,41.7,5,14,35.7,25,32,78.1,7,38,45,15,17,4,7,22,-3,0
2015-16,pre-season,-,10/23/2015,L,48,108,35,80,43.8,7,25,28.0,31,40,77.5,8,35,43,15,14,6,6,22,-4,0
2015-16,pre-season,-,10/23/2015,L,48,82,31,79,39.2,5,26,19.2,15,20,75.0,10,34,44,22,18,7,7,19,-10,0
2015-16,pre-season,-,10/23/2015,L,48,76,25,76,32.9,5,23,21.7,21,29,72.4,14,34,48,17,19,5,1,21,-10,0
2015-16,pre-season,-,10/23/2015,L,48,65,24,83,28.9,3,23,13.0,14,22,63.6,9,45,54,11,23,10,6,14,-16,0
2015-16,pre-season,-,10/23/2015,L,48,86,32,83,38.6,8,26,30.8,14,20,70.0,8,33,41,25,13,9,4,23,-25,0
