SEASON,SEASON_TYPE,TEAM_ABB,MATCHUP,GDATE,WL,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
2015-16,pre-season,-,10/23/2015,W,48,58.3,0.372,12.4,20.9,43.4,0.241,13.4,19.2,0
2015-16,pre-season,-,10/23/2015,W,48,41.4,0.395,14.6,28.6,45.1,0.444,17.7,20.0,0
2015-16,pre-season,-,10/23/2015,L,48,45.5,0.284,11.5,-,49.5,0.185,12.5,20.0,0
2015-16,pre-season,-,10/23/2015,W,48,38.0,0.120,17.3,31.9,30.7,0.265,22.3,20.6,0
2015-16,pre-season,-,10/23/2015,L,48,43.4,0.241,13.4,19.2,58.3,0.372,12.4,20.9,0
2015-16,pre-season,-,10/23/2015,L,48,45.6,0.213,22.3,30.6,62.8,0.093,14.6,26.8,0
2015-16,pre-season,-,10/23/2015,W,48,39.7,0.239,12.0,37.1,42.4,0.253,19.6,27.5,0
2015-16,pre-season,-,10/23/2015,L,48,45.1,0.444,17.7,20.0,41.4,0.395,14.6,28.6,0
2015-16,pre-season,-,10/23/2015,W,48,53.6,0.337,13.0,-,48.1,0.500,13.9,28.6,0
2015-16,pre-season,-,10/23/2015,W,48,62.8,0.093,14.6,26.8,45.6,0.213,22.3,30.6,0
2015-16,pre-season,-,10/23/2015,L,48,30.7,0.265,22.3,20.6,38.0,0.120,17.3,31.9,0
2015-16,pre-season,-,10/23/2015,W,48,44.0,0.202,18.7,33.9,36.2,0.382,20.9,32.1,0
2015-16,pre-season,-,10/23/2015,L,48,36.2,0.382,20.9,32.1,44.0,0.202,18.7,33.9,0
2015-16,pre-season,-,10/23/2015,L,48,42.4,0.253,19.6,27.5,39.7,0.239,12.0,37.1,0
2015-16,pre-season,-,10/23/2015,L,48,48.1,0.500,13.9,28.6,53.6,0.337,13.0,-,0
2015-16,pre-season,-,10/23/2015,W,48,49.5,0.185,12.5,20.0,45.5,0.284,11.5,-,0
2015-16,pre-season,-,10/22/2015,L,48,41.9,0.238,17.2,23.6,58.7,0.377,17.4,13.2,0
2015-16,pre-season,-,10/22/2015,W,48,61.4,0.217,22.4,24.4,51.2,0.341,16.0,18.8,0
2015-16,pre-season,-,10/22/2015,W,48,46.1,0.289,13.9,29.6,43.0,0.186,17.0,21.1,0
2015-16,pre-season,-,10/22/2015,L,48,41.7,0.178,9.5,22.4,48.3,0.221,10.6,21.6,0
2015-16,pre-season,-,10/22/2015,W,48,48.3,0.221,10.6,21.6,41.7,0.178,9.5,22.4,0
2015-16,pre-season,-,10/22/2015,W,48,58.7,0.377,17.4,13.2,41.9,0.238,17.2,23.6,0
2015-16,pre-season,-,10/22/2015,L,48,51.2,0.341,16.0,18.8,61.4,0.217,22.4,24.4,0
