SEASON,SEASON_TYPE,TEAM_ABB,MATCHUP,GDATE,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2015-16,pre-season,-,10/23/2015,W,48,24,9,18,38,9,12,5,22,0
2015-16,pre-season,-,10/23/2015,W,48,18,12,17,40,20,14,9,32,0
2015-16,pre-season,-,10/23/2015,W,48,17,11,7,16,7,6,4,34,0
2015-16,pre-season,-,10/23/2015,W,48,21,7,11,46,10,11,10,34,0
2015-16,pre-season,-,10/23/2015,W,48,14,11,5,36,10,9,16,36,0
2015-16,pre-season,-,10/23/2015,W,48,16,7,19,38,10,13,17,38,0
2015-16,pre-season,-,10/23/2015,W,48,17,11,11,34,13,2,23,38,0
2015-16,pre-season,-,10/23/2015,W,48,10,17,11,42,16,2,11,42,0
2015-16,pre-season,-,10/23/2015,L,48,7,6,4,34,17,11,7,16,0
2015-16,pre-season,-,10/23/2015,L,48,13,2,23,38,17,11,11,34,0
2015-16,pre-season,-,10/23/2015,L,48,10,9,16,36,14,11,5,36,0
2015-16,pre-season,-,10/23/2015,L,48,9,12,5,22,24,9,18,38,0
2015-16,pre-season,-,10/23/2015,L,48,10,13,17,38,16,7,19,38,0
2015-16,pre-season,-,10/23/2015,L,48,20,14,9,32,18,12,17,40,0
2015-16,pre-season,-,10/23/2015,L,48,16,2,11,42,10,17,11,42,0
2015-16,pre-season,-,10/23/2015,L,48,10,11,10,34,21,7,11,46,0
2015-16,pre-season,-,10/22/2015,W,48,10,3,29,42,14,11,6,30,0
2015-16,pre-season,-,10/22/2015,W,48,21,7,15,40,22,14,20,30,0
2015-16,pre-season,-,10/22/2015,W,48,27,20,21,50,25,13,14,34,0
2015-16,pre-season,-,10/22/2015,W,48,17,18,10,48,14,12,8,36,0
2015-16,pre-season,-,10/22/2015,W,48,16,12,30,38,19,8,26,44,0
2015-16,pre-season,-,10/22/2015,L,48,19,8,26,44,16,12,30,38,0
2015-16,pre-season,-,10/22/2015,L,48,22,14,20,30,21,7,15,40,0
2015-16,pre-season,-,10/22/2015,L,48,14,11,6,30,10,3,29,42,0
2015-16,pre-season,-,10/22/2015,L,48,14,12,8,36,17,18,10,48,0
2015-16,pre-season,-,10/22/2015,L,48,25,13,14,34,27,20,21,50,0
2015-16,pre-season,-,10/21/2015,W,53,18,19,10,44,20,4,13,28,0
2015-16,pre-season,-,10/21/2015,W,48,15,11,10,28,9,2,18,34,0
2015-16,pre-season,-,10/21/2015,W,48,21,17,11,48,15,16,14,42,0
2015-16,pre-season,-,10/21/2015,W,48,18,7,11,46,11,18,20,48,0
2015-16,pre-season,-,10/21/2015,W,48,15,2,9,20,24,13,20,52,0
2015-16,pre-season,-,10/21/2015,L,48,24,13,20,52,15,2,9,20,0
2015-16,pre-season,-,10/21/2015,L,48,9,2,18,34,15,11,10,28,0
2015-16,pre-season,-,10/21/2015,L,53,20,4,13,28,18,19,10,44,0
2015-16,pre-season,-,10/21/2015,L,48,11,18,20,48,18,7,11,46,0
2015-16,pre-season,-,10/21/2015,L,48,15,16,14,42,21,17,11,48,0
2015-16,pre-season,-,10/20/2015,W,48,11,20,19,46,16,6,13,28,0
2015-16,pre-season,-,10/20/2015,W,48,4,10,10,28,17,10,14,34,0
2015-16,pre-season,-,10/20/2015,W,48,26,13,14,38,13,9,5,36,0
2015-16,pre-season,-,10/20/2015,W,48,23,9,24,36,16,13,6,44,0
2015-16,pre-season,-,10/20/2015,W,48,13,20,12,42,24,12,20,56,0
2015-16,pre-season,-,10/20/2015,L,48,17,10,14,34,4,10,10,28,0
2015-16,pre-season,-,10/20/2015,L,48,16,13,6,44,23,9,24,36,0
2015-16,pre-season,-,10/20/2015,L,48,13,9,5,36,26,13,14,38,0
2015-16,pre-season,-,10/20/2015,L,48,24,12,20,56,13,20,12,42,0
2015-16,pre-season,-,10/20/2015,L,48,16,6,13,28,11,20,19,46,0
2015-16,pre-season,-,10/19/2015,W,48,16,7,12,26,11,19,10,28,0
2015-16,pre-season,-,10/19/2015,W,48,22,19,11,46,17,14,8,32,0
2015-16,pre-season,-,10/19/2015,W,48,14,13,15,34,17,6,11,40,0
2015-16,pre-season,-,10/19/2015,W,48,24,17,20,48,17,14,15,46,0
2015-16,regular-season,-,04/13/2016,W,48,14,6,11,42,23,15,6,20,0
2015-16,regular-season,-,04/13/2016,W,48,18,18,9,38,25,7,14,32,0
2015-16,regular-season,-,04/13/2016,W,48,16,13,23,50,13,10,19,32,0
2015-16,regular-season,-,04/13/2016,W,48,29,13,30,66,21,10,17,38,0
2015-16,regular-season,-,04/13/2016,W,48,19,11,34,38,17,21,10,46,0
2015-16,regular-season,-,04/13/2016,W,48,22,31,22,60,11,6,12,46,0
2015-16,regular-season,-,04/13/2016,W,48,24,10,26,80,11,12,18,46,0
2015-16,regular-season,-,04/13/2016,W,48,16,8,14,52,21,7,18,48,0
2015-16,regular-season,-,04/13/2016,W,48,14,9,16,50,7,12,18,48,0
2015-16,regular-season,-,04/13/2016,W,53,14,19,7,24,10,17,7,50,0
2015-16,regular-season,-,04/13/2016,W,48,17,10,18,60,8,16,6,52,0
2015-16,regular-season,-,04/13/2016,W,48,23,20,16,42,17,11,19,52,0
2015-16,regular-season,-,04/13/2016,W,48,14,4,7,42,14,6,21,52,0
2015-16,regular-season,-,04/13/2016,W,48,19,14,20,60,13,10,14,54,0
2015-16,regular-season,-,04/13/2016,L,53,10,17,7,50,14,19,7,24,0
2015-16,regular-season,-,04/13/2016,L,48,25,7,14,32,18,18,9,38,0
2015-16,regular-season,-,04/13/2016,L,48,17,21,10,46,19,11,34,38,0
2015-16,regular-season,-,04/13/2016,L,48,14,6,21,52,14,4,7,42,0
2015-16,regular-season,-,04/13/2016,L,48,23,15,6,20,14,6,11,42,0
2015-16,regular-season,-,04/13/2016,L,48,17,11,19,52,23,20,16,42,0
2015-16,regular-season,-,04/13/2016,L,48,7,12,18,48,14,9,16,50,0
2015-16,regular-season,-,04/13/2016,L,48,13,10,19,32,16,13,23,50,0
2015-16,regular-season,-,04/13/2016,L,48,21,7,18,48,16,8,14,52,0
2015-16,regular-season,-,04/13/2016,L,48,8,16,6,52,17,10,18,60,0
2015-16,regular-season,-,04/13/2016,L,48,13,10,14,54,19,14,20,60,0
2015-16,regular-season,-,04/13/2016,L,48,11,6,12,46,22,31,22,60,0
2015-16,regular-season,-,04/13/2016,L,48,21,10,17,38,29,13,30,66,0
2015-16,regular-season,-,04/13/2016,L,48,11,12,18,46,24,10,26,80,0
2015-16,regular-season,-,04/12/2016,W,48,17,15,18,46,12,8,4,26,0
2015-16,regular-season,-,04/12/2016,W,48,20,24,15,52,18,6,2,36,0
2015-16,regular-season,-,04/12/2016,W,53,20,21,9,42,7,26,7,42,0
2015-16,regular-season,-,04/12/2016,W,48,24,10,22,48,14,19,6,44,0
2015-16,regular-season,-,04/12/2016,W,48,14,9,4,36,15,22,7,48,0
2015-16,regular-season,-,04/12/2016,L,48,15,22,7,48,14,9,4,36,0
2015-16,regular-season,-,04/12/2016,L,53,7,26,7,42,20,21,9,42,0
2015-16,regular-season,-,04/12/2016,L,48,12,8,4,26,17,15,18,46,0
2015-16,regular-season,-,04/12/2016,L,48,14,19,6,44,24,10,22,48,0
2015-16,regular-season,-,04/12/2016,L,48,18,6,2,36,20,24,15,52,0
2015-16,regular-season,-,04/11/2016,W,48,19,13,32,54,13,11,9,24,0
2015-16,regular-season,-,04/11/2016,W,48,11,8,8,40,19,23,14,42,0
2015-16,regular-season,-,04/11/2016,W,48,20,11,7,44,19,7,13,46,0
2015-16,regular-season,-,04/11/2016,W,48,17,11,4,34,7,6,11,48,0
2015-16,regular-season,-,04/11/2016,W,48,12,12,9,40,11,7,6,50,0
2015-16,regular-season,-,04/11/2016,W,48,14,5,15,52,27,17,10,52,0
2015-16,regular-season,-,04/11/2016,W,48,18,12,17,54,18,8,19,54,0
2015-16,regular-season,-,04/11/2016,W,48,15,15,31,58,24,14,37,54,0
2015-16,regular-season,-,04/11/2016,W,48,23,15,10,54,12,18,6,60,0
2015-16,regular-season,-,04/11/2016,L,48,7,6,11,48,17,11,4,34,0
2015-16,regular-season,-,04/11/2016,L,48,19,23,14,42,11,8,8,40,0
2015-16,regular-season,-,04/11/2016,L,48,11,7,6,50,12,12,9,40,0
2015-16,playoffs,-,06/19/2016,W,48,16,17,18,48,10,6,7,28,0
2015-16,playoffs,-,06/19/2016,L,48,10,6,7,28,16,17,18,48,0
2015-16,playoffs,-,06/16/2016,W,48,15,12,19,42,16,9,10,30,0
2015-16,playoffs,-,06/16/2016,L,48,16,9,10,30,15,12,19,42,0
2015-16,playoffs,-,06/13/2016,W,48,18,9,28,48,11,19,9,30,0
2015-16,playoffs,-,06/13/2016,L,48,11,19,9,30,18,9,28,48,0
2015-16,playoffs,-,06/10/2016,W,48,18,19,9,20,9,25,6,48,0
2015-16,playoffs,-,06/10/2016,L,48,9,25,6,48,18,19,9,20,0
2015-16,playoffs,-,06/08/2016,W,48,34,23,15,54,8,3,8,32,0
2015-16,playoffs,-,06/08/2016,L,48,8,3,8,32,34,23,15,54,0
2015-16,playoffs,-,06/05/2016,W,48,26,13,14,50,20,15,11,40,0
2015-16,playoffs,-,06/05/2016,L,48,20,15,11,40,26,13,14,50,0
2015-16,playoffs,-,06/02/2016,W,48,25,15,9,54,12,13,18,42,0
2015-16,playoffs,-,06/02/2016,L,48,12,13,18,42,25,15,9,54,0
2015-16,playoffs,-,05/30/2016,W,48,10,3,12,32,12,16,8,30,0
2015-16,playoffs,-,05/30/2016,L,48,12,16,8,30,10,3,12,32,0
2015-16,playoffs,-,05/28/2016,W,48,19,19,14,28,16,25,15,52,0
2015-16,playoffs,-,05/28/2016,L,48,16,25,15,52,19,19,14,28,0
2015-16,playoffs,-,05/27/2016,W,48,15,12,17,36,9,8,5,34,0
2015-16,playoffs,-,05/27/2016,L,48,9,8,5,34,15,12,17,36,0
2015-16,playoffs,-,05/26/2016,W,48,20,13,28,48,16,9,15,30,0
2015-16,playoffs,-,05/26/2016,L,48,16,9,15,30,20,13,28,48,0
2015-16,playoffs,-,05/25/2016,W,48,30,18,21,46,19,11,14,32,0
2015-16,playoffs,-,05/25/2016,L,48,19,11,14,32,30,18,21,46,0
2015-16,playoffs,-,05/24/2016,W,48,18,21,15,48,18,13,16,38,0
2015-16,playoffs,-,05/24/2016,L,48,18,13,16,38,18,21,15,48,0
2015-16,playoffs,-,05/23/2016,W,48,17,11,5,44,10,10,4,36,0
2015-16,playoffs,-,05/23/2016,L,48,10,10,4,36,17,11,5,44,0
