SEASON,SEASON_TYPE,TEAM_ABB,MATCHUP,GDATE,WL,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
2015-16,pre-season,-,10/23/2015,L,48,68.8,31.3,51.9,16.7,19.4,15.7,28.7,9.3,35.2,35.7,64.3,71.4,28.6,42.9,57.1,0
2015-16,pre-season,-,10/23/2015,L,48,72.3,27.7,64.6,0.0,13.8,16.9,21.5,24.6,64.6,42.9,57.1,66.7,33.3,45.8,54.2,0
2015-16,pre-season,-,10/23/2015,L,48,80.6,19.4,55.6,17.8,16.7,4.4,27.8,7.8,37.8,40.0,60.0,100,0.0,50.0,50.0,0
2015-16,pre-season,-,10/23/2015,L,48,76.3,23.8,59.8,20.7,24.1,11.5,16.1,11.5,39.1,46.2,53.8,71.4,28.6,51.5,48.5,0
2015-16,pre-season,-,10/23/2015,W,48,72.0,28.0,71.6,19.8,22.2,13.6,6.2,12.3,51.9,51.7,48.3,83.3,16.7,57.1,42.9,0
2015-16,pre-season,-,10/23/2015,W,48,75.0,25.0,56.5,17.4,22.8,5.4,20.7,15.2,39.1,46.2,53.8,100,0.0,57.6,42.4,0
2015-16,pre-season,-,10/23/2015,W,48,72.8,27.2,62.1,23.3,26.2,16.5,11.7,17.5,38.8,50.0,50.0,100,0.0,61.0,39.0,0
2015-16,pre-season,-,10/23/2015,W,48,69.2,30.8,52.3,21.6,29.7,9.9,18.0,15.3,30.6,55.2,44.8,90.9,9.1,65.0,35.0,0
2015-16,pre-season,-,10/23/2015,W,48,78.3,21.7,55.4,21.4,24.1,17.0,20.5,14.3,33.9,54.8,45.2,100,0.0,65.0,35.0,0
2015-16,pre-season,-,10/23/2015,W,48,65.4,34.6,30.1,12.9,41.9,7.5,28.0,18.3,17.2,50.0,50.0,84.6,15.4,66.7,33.3,0
2015-16,pre-season,-,10/23/2015,L,48,79.5,20.5,60.8,29.4,17.6,8.8,21.6,19.6,31.4,64.5,35.5,83.3,16.7,67.6,32.4,0
2015-16,pre-season,-,10/23/2015,L,48,69.7,30.3,52.6,23.7,19.7,6.6,27.6,11.8,28.9,65.0,35.0,80.0,20.0,68.0,32.0,0
2015-16,pre-season,-,10/23/2015,W,48,57.0,43.0,52.2,12.2,41.7,9.6,6.1,18.3,40.0,56.7,43.3,93.8,6.3,69.6,30.4,0
2015-16,pre-season,-,10/23/2015,L,48,67.1,32.9,63.4,19.5,18.3,19.5,18.3,12.2,43.9,65.4,34.6,100,0.0,71.0,29.0,0
2015-16,pre-season,-,10/23/2015,W,48,64.3,35.7,51.2,7.0,34.9,20.9,14.0,27.9,44.2,68.2,31.8,90.0,10.0,75.0,25.0,0
2015-16,pre-season,-,10/23/2015,L,48,68.7,31.3,55.8,11.6,27.9,26.7,16.3,15.1,44.2,75.0,25.0,87.5,12.5,78.1,21.9,0
2015-16,pre-season,-,10/22/2015,W,48,71.0,29.0,61.2,20.4,21.4,15.3,17.3,21.4,40.8,40.0,60.0,71.4,28.6,45.9,54.1,0
2015-16,pre-season,-,10/22/2015,L,48,71.1,28.9,62.8,27.9,24.4,7.0,12.8,16.3,34.9,33.3,66.7,100,0.0,47.1,52.9,0
2015-16,pre-season,-,10/22/2015,L,48,72.1,27.9,58.8,16.5,28.2,9.4,12.9,16.5,42.4,40.0,60.0,87.5,12.5,51.5,48.5,0
2015-16,pre-season,-,10/22/2015,L,48,68.8,31.3,51.3,12.8,34.6,25.6,14.1,28.2,38.5,35.0,65.0,88.9,11.1,51.7,48.3,0
2015-16,pre-season,-,10/22/2015,L,48,70.0,30.0,51.5,16.5,24.7,14.4,23.7,25.8,35.1,40.0,60.0,100,0.0,54.5,45.5,0
2015-16,pre-season,-,10/22/2015,L,48,68.2,31.8,55.0,14.7,24.8,23.9,20.2,17.4,40.4,43.3,56.7,100,0.0,56.4,43.6,0
2015-16,pre-season,-,10/22/2015,W,48,67.4,32.6,52.9,16.2,35.3,15.4,11.8,19.9,36.8,44.4,55.6,93.8,6.3,59.6,40.4,0
2015-16,pre-season,-,10/22/2015,W,48,72.1,27.9,57.1,14.3,27.6,29.6,15.3,10.2,42.9,53.6,46.4,88.9,11.1,62.2,37.8,0
2015-16,pre-season,-,10/22/2015,W,48,76.7,23.3,62.6,14.1,21.2,10.1,16.2,17.2,48.5,71.0,29.0,85.7,14.3,73.7,26.3,0
2015-16,pre-season,-,10/22/2015,W,48,67.5,32.5,52.2,19.1,36.5,26.1,11.3,13.9,33.0,73.3,26.7,85.7,14.3,77.3,22.7,0
2015-16,pre-season,-,10/21/2015,L,53,66.2,33.8,37.4,11.2,22.4,12.1,40.2,18.7,26.2,30.0,70.0,50.0,50.0,35.7,64.3,0
2015-16,pre-season,-,10/21/2015,W,53,78.4,21.6,56.4,16.4,21.8,9.1,21.8,16.4,40.0,61.3,38.7,100,0.0,69.2,30.8,0
2015-16,pre-season,-,10/21/2015,L,48,72.9,27.1,66.7,18.4,6.9,16.1,26.4,17.2,48.3,48.3,51.7,100,0.0,51.6,48.4,0
