SEASON,SEASON_TYPE,TEAM_ID,TEAM_ABB,GAME_ID,MATCHUP,HOME_AWAY,GDATE,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2015-16,pre-season,1610612737,ATL,0011500108,ATL@DET,AWAY,23/10/2015,L,240,87,33,80,41.3,7,19,36.8,14,17,82.4,10,28,38,17,8,4,21,15,-28
2015-16,pre-season,1610612738,BOS,0011500106,BOSvs.PHI,HOME,23/10/2015,W,240,81,35,100,35.0,6,28,21.4,5,12,41.7,18,49,67,20,11,9,18,24,16
2015-16,pre-season,1610612740,NOP,0011500104,NOPvs.MIA,HOME,23/10/2015,W,240,93,27,81,33.3,13,28,46.4,26,32,81.3,11,33,44,18,5,5,14,28,3
2015-16,pre-season,1610612741,CHI,0011500103,CHIvs.DAL,HOME,23/10/2015,W,240,103,41,92,44.6,9,25,36.0,12,17,70.6,8,44,52,25,8,6,13,20,1
2015-16,pre-season,1610612742,DAL,0011500103,DAL@CHI,AWAY,23/10/2015,L,240,102,37,88,42.0,6,18,33.3,22,25,88.0,7,43,50,25,7,0,12,16,-1
2015-16,pre-season,1610612745,HOU,0011500109,HOU@SAS,AWAY,23/10/2015,L,240,86,32,83,38.6,8,26,30.8,14,20,70.0,8,33,41,25,9,4,13,23,-25
2015-16,pre-season,1610612748,MIA,0011500104,MIA@NOP,AWAY,23/10/2015,L,240,90,30,72,41.7,5,14,35.7,25,32,78.1,7,38,45,15,4,7,17,22,-3
2015-16,pre-season,1610612749,MIL,0011500105,MIL@MIN,AWAY,23/10/2015,L,240,108,35,80,43.8,7,25,28.0,31,40,77.5,8,35,43,15,6,6,14,22,-4
2015-16,pre-season,1610612750,MIN,0011500105,MINvs.MIL,HOME,23/10/2015,W,240,112,40,83,48.2,9,18,50.0,23,28,82.1,9,31,40,26,9,5,13,31,4
2015-16,pre-season,1610612753,ORL,0011500102,ORLvs.MEM,HOME,23/10/2015,W,240,86,32,84,38.1,10,30,33.3,12,17,70.6,16,35,51,24,8,6,17,24,10
2015-16,pre-season,1610612755,PHI,0011500106,PHI@BOS,AWAY,23/10/2015,L,240,65,24,83,28.9,3,23,13.0,14,22,63.6,9,45,54,11,10,6,23,14,-16
2015-16,pre-season,1610612759,SAS,0011500109,SASvs.HOU,HOME,23/10/2015,W,240,111,40,78,51.3,11,24,45.8,20,29,69.0,7,39,46,26,8,3,12,17,25
2015-16,pre-season,1610612761,TOR,0011500107,TORvs.WAS,HOME,23/10/2015,W,240,92,33,92,35.9,7,23,30.4,19,22,86.4,18,36,54,19,9,1,11,21,10
2015-16,pre-season,1610612763,MEM,0011500102,MEM@ORL,AWAY,23/10/2015,L,240,76,25,76,32.9,5,23,21.7,21,29,72.4,14,34,48,17,5,1,19,21,-10
2015-16,pre-season,1610612764,WAS,0011500107,WAS@TOR,AWAY,23/10/2015,L,240,82,31,79,39.2,5,26,19.2,15,20,75.0,10,34,44,22,7,7,18,19,-10
2015-16,pre-season,1610612765,DET,0011500108,DETvs.ATL,HOME,23/10/2015,W,240,115,46,86,53.5,16,37,43.2,7,8,87.5,10,31,41,32,9,4,14,21,28
2015-16,pre-season,1610612738,BOS,0011500100,BOSvs.NYK,HOME,22/10/2015,W,240,99,38,90,42.2,7,21,33.3,16,26,61.5,14,40,54,28,7,5,14,22,14
2015-16,pre-season,1610612743,DEN,0011500098,DEN@UTA,AWAY,22/10/2015,L,240,78,29,80,36.3,9,25,36.0,11,19,57.9,9,32,41,15,8,2,16,22,-20
2015-16,pre-season,1610612744,GSW,0011500099,GSW@LAL,AWAY,22/10/2015,W,240,136,52,95,54.7,16,31,51.6,16,25,64.0,14,43,57,31,12,3,19,25,39
