SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
2015-16,Pre+Season,CHA,Charlotte Hornets,5,5,0,14.0,127.3,70.0,57.3,54.5,6.00,14.0,-,70.8,-,3.0,51.9,61.9,106.34,82.1
2015-16,Pre+Season,MEM,Memphis Grizzlies,4,4,0,15.0,116.1,80.8,35.4,33.3,1.00,10.3,-,78.6,-,12.9,52.0,59.4,91.61,76.0
2015-16,Pre+Season,ORL,Orlando Magic,6,4,2,37.0,106.6,96.2,10.4,53.6,1.67,13.0,44.6,71.8,55.8,11.8,40.7,45.1,100.84,45.9
2015-16,Pre+Season,SAC,Sacramento Kings,5,4,1,22.0,92.0,81.0,11.0,75.0,2.40,17.4,32.1,62.5,48.3,10.0,43.9,47.9,98.42,76.0
2015-16,Pre+Season,ATL,Atlanta Hawks,4,3,1,9.0,131.8,88.2,43.6,72.7,2.00,24.2,-,-,-,18.2,73.5,75.5,104.19,81.6
2015-16,Pre+Season,IND,Indiana Pacers,4,3,1,15.0,120.0,80.6,39.4,54.5,6.00,13.6,21.4,61.5,47.5,2.9,50.0,63.2,103.65,110.5
2015-16,Pre+Season,MIA,Miami Heat,7,3,4,35.0,100.0,101.3,-1.3,45.8,1.22,10.5,41.3,71.7,56.5,11.5,39.4,47.9,107.18,53.0
2015-16,Pre+Season,NOP,New Orleans Pelicans,6,3,3,17.0,102.9,102.7,0.2,28.6,0.40,4.9,27.8,54.5,42.5,14.7,35.4,53.4,99.81,44.3
2015-16,Pre+Season,TOR,Toronto Raptors,4,3,1,8.0,125.0,92.9,32.1,62.5,1.00,17.9,-,-,-,25.0,64.3,71.3,99.15,76.4
2015-16,Pre+Season,BOS,Boston Celtics,3,2,1,5.0,72.7,112.5,-39.8,100,1.00,21.4,-,-,-,27.3,58.3,62.1,100.66,50.0
2015-16,Pre+Season,LAC,LA Clippers,2,2,0,8.0,127.8,66.7,61.1,62.5,2.50,20.0,25.0,-,-,11.1,62.5,66.4,102.68,100
2015-16,Pre+Season,MIN,Minnesota Timberwolves,2,2,0,7.0,131.3,69.2,62.0,60.0,1.00,15.0,-,-,-,18.8,85.7,85.5,104.43,136.0
2015-16,Pre+Season,NYK,New York Knicks,3,2,1,11.0,100.0,100.0,0.0,87.5,2.33,20.0,-,-,-,12.5,47.6,50.8,100.96,54.8
2015-16,Pre+Season,PHI,Philadelphia 76ers,5,2,3,12.0,107.1,90.6,16.5,87.5,2.33,17.9,33.3,-,-,10.7,52.8,57.9,117.55,63.5
2015-16,Pre+Season,POR,Portland Trail Blazers,6,2,4,29.0,106.2,104.4,1.7,44.4,1.20,13.5,38.2,71.9,54.5,15.4,49.2,53.1,108.79,47.3
2015-16,Pre+Season,UTA,Utah Jazz,5,2,3,21.0,75.6,112.5,-36.9,27.3,0.75,5.6,23.3,71.4,43.1,8.9,29.7,37.5,107.26,15.5
2015-16,Pre+Season,WAS,Washington Wizards,4,2,2,12.0,92.0,88.5,3.5,55.6,2.50,16.1,-,-,-,8.0,45.2,47.8,101.28,58.8
2015-16,Pre+Season,BKN,Brooklyn Nets,5,1,4,13.0,77.8,109.7,-31.9,100,1.00,8.8,-,-,-,11.1,20.6,43.9,107.85,14.8
2015-16,Pre+Season,CHI,Chicago Bulls,3,1,2,8.0,111.8,82.4,29.4,62.5,2.50,22.7,-,-,-,11.8,67.9,67.9,105.56,70.8
2015-16,Pre+Season,CLE,Cleveland Cavaliers,5,1,4,10.0,87.0,140.7,-53.8,42.9,0.75,10.3,-,-,-,17.4,46.9,52.4,117.26,23.2
2015-16,Pre+Season,HOU,Houston Rockets,4,1,3,21.0,100.0,95.8,4.2,50.0,2.25,12.3,33.3,-,-,7.3,43.6,48.1,117.81,62.3
2015-16,Pre+Season,Istanbul Fenerbahce Sports Club,Istanbul Fenerbahce Sports Club,1,1,0,4.0,112.5,57.1,55.4,0.0,0.00,0.0,-,-,-,12.5,33.3,43.6,99.08,110.0
2015-16,Pre+Season,LAL,Los Angeles Lakers,4,1,3,13.0,112.9,109.7,3.2,44.4,1.33,10.8,21.4,-,-,9.7,43.2,58.5,114.48,54.1
2015-16,Pre+Season,OKC,Oklahoma City Thunder,1,1,0,0.0,200.0,0.0,200.0,0.0,0.00,0.0,-,-,-,0.0,100,100,72.00,100
2015-16,Pre+Season,PHX,Phoenix Suns,2,1,1,11.0,79.2,93.9,-14.8,33.3,0.29,6.5,-,-,-,29.2,36.1,44.1,123.06,27.1
2015-16,Pre+Season,SAS,San Antonio Spurs,3,1,2,13.0,61.5,88.9,-27.4,40.0,0.25,6.7,-,52.6,-,30.8,34.4,41.0,101.09,9.7
2015-16,Pre+Season,DAL,Dallas Mavericks,3,0,3,9.0,61.9,125.0,-63.1,75.0,0.75,11.5,-,-,-,19.0,28.1,35.7,118.62,7.7
2015-16,Pre+Season,DEN,Denver Nuggets,1,0,1,4.0,42.9,90.0,-47.1,0.0,0.00,0.0,-,-,-,28.6,16.7,21.8,101.66,-160.0
2015-16,Pre+Season,DET,Detroit Pistons,4,0,4,18.0,61.5,107.1,-45.6,60.0,1.20,10.9,-,-,-,12.8,25.6,27.5,108.95,-17.7
2015-16,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,1,0,1,2.0,33.3,150.0,-116.7,0.0,0.00,0.0,-,-,-,33.3,0.0,26.6,91.91,-66.7
2015-16,Pre+Season,MIL,Milwaukee Bucks,2,0,2,6.0,25.0,120.0,-95.0,0.0,0.00,0.0,22.2,-,-,25.0,11.1,13.9,101.81,-147.1
2015-16,Regular+Season,TOR,Toronto Raptors,51,32,19,166.0,109.7,101.7,7.9,37.2,1.18,9.5,33.3,72.1,52.5,10.2,46.9,56.0,103.97,56.2
2015-16,Regular+Season,GSW,Golden State Warriors,34,30,4,144.0,118.7,84.6,34.1,57.5,1.67,15.7,34.0,69.8,54.2,12.8,54.1,61.2,100.80,78.2
2015-16,Regular+Season,IND,Indiana Pacers,53,30,23,215.0,100.7,104.3,-3.7,49.0,1.41,12.2,31.8,67.4,48.7,11.2,44.8,51.1,99.79,49.4
2015-16,Regular+Season,HOU,Houston Rockets,49,28,21,196.0,107.6,98.0,9.6,50.4,1.35,11.9,28.8,70.7,50.2,11.3,48.0,55.8,99.19,57.6
2015-16,Regular+Season,CHI,Chicago Bulls,46,27,19,212.0,98.1,103.5,-5.4,38.0,0.79,9.2,29.1,61.8,47.3,14.5,43.3,52.2,96.91,47.3
2015-16,Regular+Season,MEM,Memphis Grizzlies,44,26,18,170.0,109.5,97.4,12.1,52.5,1.54,12.9,36.6,69.5,51.8,11.4,45.4,53.5,98.99,56.8
2015-16,Regular+Season,BOS,Boston Celtics,46,25,21,158.0,111.9,107.8,4.1,57.4,1.90,15.4,29.4,68.5,49.2,10.8,49.8,57.4,109.77,50.6
2015-16,Regular+Season,DAL,Dallas Mavericks,49,25,24,226.0,113.5,99.6,14.0,56.0,2.69,16.1,20.5,67.2,45.5,7.8,52.8,58.8,96.48,59.2
2015-16,Regular+Season,DEN,Denver Nuggets,52,25,27,194.0,94.7,97.3,-2.6,46.7,1.19,11.1,27.7,72.4,50.2,11.8,40.9,49.0,99.70,46.5
2015-16,Regular+Season,DET,Detroit Pistons,42,25,17,172.0,105.4,96.6,8.8,35.0,1.05,8.9,33.5,66.5,49.9,10.8,47.0,53.6,100.51,59.0
2015-16,Regular+Season,LAC,LA Clippers,42,25,17,166.0,116.2,107.8,8.4,55.1,1.86,14.3,25.6,60.5,44.8,10.0,52.7,60.5,102.64,56.9
2015-16,Regular+Season,MIA,Miami Heat,43,25,18,178.0,112.8,99.2,13.6,54.4,2.39,14.9,31.7,72.4,51.8,8.4,49.2,55.7,97.98,63.0
