SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
2015-16,Pre+Season,CHA,Charlotte Hornets,5,5,0,1.000,14,51.9,0.692,3.0,-,28.1,0.125,3.3,29.2
2015-16,Pre+Season,Istanbul Fenerbahce Sports Club,Istanbul Fenerbahce Sports Club,1,1,0,1.000,4,33.3,0.333,12.5,-,16.7,0.333,14.3,-
2015-16,Pre+Season,LAC,LA Clippers,2,2,0,1.000,8,62.5,0.188,11.1,25.0,31.8,0.364,26.7,-
2015-16,Pre+Season,MEM,Memphis Grizzlies,4,4,0,1.000,15,52.0,0.480,12.9,-,40.5,0.286,15.4,21.4
2015-16,Pre+Season,MIN,Minnesota Timberwolves,2,2,0,1.000,7,85.7,1.714,18.8,-,35.7,1.143,30.8,-
2015-16,Pre+Season,OKC,Oklahoma City Thunder,1,1,0,1.000,0,100,0.000,0.0,-,0.0,0.000,0.0,-
2015-16,Pre+Season,SAC,Sacramento Kings,5,4,1,.800,22,43.9,0.390,10.0,32.1,31.8,0.182,14.3,37.5
2015-16,Pre+Season,ATL,Atlanta Hawks,4,3,1,.750,9,73.5,0.294,18.2,-,35.7,0.429,17.6,-
2015-16,Pre+Season,IND,Indiana Pacers,4,3,1,.750,15,50.0,0.875,2.9,21.4,27.3,0.303,9.7,38.5
2015-16,Pre+Season,TOR,Toronto Raptors,4,3,1,.750,8,64.3,0.571,25.0,-,50.0,2.000,21.4,-
2015-16,Pre+Season,BOS,Boston Celtics,3,2,1,.667,5,58.3,0.167,27.3,-,45.0,0.000,12.5,-
2015-16,Pre+Season,NYK,New York Knicks,3,2,1,.667,11,47.6,0.286,12.5,-,56.3,0.688,20.8,-
2015-16,Pre+Season,ORL,Orlando Magic,6,4,2,.667,37,40.7,0.247,11.8,44.6,44.3,0.475,11.5,28.2
2015-16,Pre+Season,NOP,New Orleans Pelicans,6,3,3,.500,17,35.4,0.833,14.7,27.8,47.1,0.235,13.5,45.5
2015-16,Pre+Season,PHX,Phoenix Suns,2,1,1,.500,11,36.1,0.444,29.2,-,34.5,0.586,3.0,-
2015-16,Pre+Season,WAS,Washington Wizards,4,2,2,.500,12,45.2,0.333,8.0,-,38.9,0.611,19.2,-
2015-16,Pre+Season,MIA,Miami Heat,7,3,4,.429,35,39.4,0.530,11.5,41.3,43.8,0.453,12.8,28.3
2015-16,Pre+Season,PHI,Philadelphia 76ers,5,2,3,.400,12,52.8,1.000,10.7,33.3,44.4,1.000,18.8,-
2015-16,Pre+Season,UTA,Utah Jazz,5,2,3,.400,21,29.7,0.514,8.9,23.3,51.3,0.410,10.4,28.6
2015-16,Pre+Season,CHI,Chicago Bulls,3,1,2,.333,8,67.9,0.000,11.8,-,33.3,0.167,5.9,-
2015-16,Pre+Season,POR,Portland Trail Blazers,6,2,4,.333,29,49.2,0.148,15.4,38.2,52.9,0.442,16.2,28.1
2015-16,Pre+Season,SAS,San Antonio Spurs,3,1,2,.333,13,34.4,0.500,30.8,-,31.5,0.296,14.8,47.4
2015-16,Pre+Season,HOU,Houston Rockets,4,1,3,.250,21,43.6,0.489,7.3,33.3,44.4,0.528,27.1,-
2015-16,Pre+Season,LAL,Los Angeles Lakers,4,1,3,.250,13,43.2,0.818,9.7,21.4,50.0,0.625,6.5,-
2015-16,Pre+Season,BKN,Brooklyn Nets,5,1,4,.200,13,20.6,1.059,11.1,-,48.0,0.560,9.7,-
2015-16,Pre+Season,CLE,Cleveland Cavaliers,5,1,4,.200,10,46.9,0.438,17.4,-,75.0,0.400,11.1,-
2015-16,Pre+Season,DAL,Dallas Mavericks,3,0,3,.000,9,28.1,0.313,19.0,-,61.4,0.182,12.5,-
2015-16,Pre+Season,DEN,Denver Nuggets,1,0,1,.000,4,16.7,0.333,28.6,-,30.0,0.300,0.0,-
2015-16,Pre+Season,DET,Detroit Pistons,4,0,4,.000,18,25.6,0.146,12.8,-,40.0,1.160,9.5,-
2015-16,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,1,0,1,.000,2,0.0,2.000,33.3,-,80.0,0.400,0.0,-
2015-16,Pre+Season,MIL,Milwaukee Bucks,2,0,2,.000,6,11.1,0.444,25.0,22.2,54.2,0.750,0.0,-
2015-16,Regular+Season,GSW,Golden State Warriors,34,30,4,.882,144,54.1,0.494,12.8,34.0,34.5,0.422,12.8,30.2
2015-16,Regular+Season,SAS,San Antonio Spurs,30,21,9,.700,106,49.2,0.432,11.6,38.4,44.1,0.401,13.9,25.7
2015-16,Regular+Season,TOR,Toronto Raptors,51,32,19,.627,166,46.9,0.611,10.2,33.3,42.2,0.681,12.4,27.9
