SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2015-16,Pre+Season,CHA,Charlotte Hornets,5,5,0,2.8,0.6,1.2,1.0,2.0,0.4,0.8,0.2,2.8
2015-16,Pre+Season,MEM,Memphis Grizzlies,4,4,0,3.7,0.5,0.3,0.0,3.0,0.5,0.8,1.0,1.0
2015-16,Pre+Season,ORL,Orlando Magic,6,4,2,6.1,0.8,3.3,0.5,4.3,1.7,1.0,1.8,4.3
2015-16,Pre+Season,SAC,Sacramento Kings,5,4,1,4.5,2.4,1.4,0.6,2.8,0.4,0.8,1.4,2.4
2015-16,Pre+Season,ATL,Atlanta Hawks,4,3,1,2.2,1.0,0.5,1.5,2.5,0.5,0.3,0.5,1.0
2015-16,Pre+Season,IND,Indiana Pacers,4,3,1,3.8,1.3,0.5,0.0,3.5,0.0,1.3,0.3,3.0
2015-16,Pre+Season,MIA,Miami Heat,7,3,4,5.0,1.7,2.1,1.9,4.3,1.0,1.7,1.1,2.3
2015-16,Pre+Season,NOP,New Orleans Pelicans,6,3,3,2.8,0.5,0.8,0.8,0.3,0.3,1.8,0.0,2.7
2015-16,Pre+Season,TOR,Toronto Raptors,4,3,1,2.1,0.0,1.5,0.5,3.0,2.3,0.0,0.3,0.0
2015-16,Pre+Season,BOS,Boston Celtics,3,2,1,1.5,0.0,0.0,0.0,1.3,1.0,0.0,0.0,0.0
2015-16,Pre+Season,LAC,LA Clippers,2,2,0,3.9,2.5,1.0,1.0,4.0,0.0,1.0,0.0,1.0
2015-16,Pre+Season,MIN,Minnesota Timberwolves,2,2,0,3.3,6.0,1.5,0.5,0.0,0.0,1.5,0.0,1.0
2015-16,Pre+Season,NYK,New York Knicks,3,2,1,3.8,2.3,0.0,1.0,2.0,0.3,1.0,0.7,2.0
2015-16,Pre+Season,PHI,Philadelphia 76ers,5,2,3,2.5,1.4,0.4,0.8,1.2,1.0,0.4,0.4,2.0
2015-16,Pre+Season,POR,Portland Trail Blazers,6,2,4,4.9,1.7,1.7,1.5,5.3,3.3,1.3,1.0,3.3
2015-16,Pre+Season,UTA,Utah Jazz,5,2,3,4.2,1.0,1.4,0.6,3.6,1.4,1.6,0.8,4.8
2015-16,Pre+Season,WAS,Washington Wizards,4,2,2,3.0,1.3,0.3,1.5,3.5,0.3,0.8,0.0,2.0
2015-16,Pre+Season,BKN,Brooklyn Nets,5,1,4,2.6,1.0,0.8,0.4,0.4,0.6,1.8,0.8,2.8
2015-16,Pre+Season,CHI,Chicago Bulls,3,1,2,2.6,0.0,0.0,1.0,0.7,2.0,2.0,0.0,1.3
2015-16,Pre+Season,CLE,Cleveland Cavaliers,5,1,4,2.0,0.4,0.6,1.0,1.6,1.4,0.4,0.4,3.2
2015-16,Pre+Season,HOU,Houston Rockets,4,1,3,5.2,4.0,3.3,3.0,5.5,0.0,1.0,1.0,2.5
2015-16,Pre+Season,Istanbul Fenerbahce Sports Club,Istanbul Fenerbahce Sports Club,1,1,0,3.6,2.0,7.0,0.0,6.0,2.0,2.0,2.0,0.0
2015-16,Pre+Season,LAL,Los Angeles Lakers,4,1,3,3.2,1.0,0.5,0.5,1.5,1.3,1.3,0.0,4.0
2015-16,Pre+Season,OKC,Oklahoma City Thunder,1,1,0,0.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2015-16,Pre+Season,PHX,Phoenix Suns,2,1,1,5.6,0.0,1.0,2.0,2.0,4.0,3.5,3.0,7.0
2015-16,Pre+Season,SAS,San Antonio Spurs,3,1,2,4.2,0.0,0.0,0.0,1.3,3.3,2.7,2.7,4.0
2015-16,Pre+Season,DAL,Dallas Mavericks,3,0,3,3.0,1.7,0.3,0.0,2.0,1.3,1.7,3.7,4.0
2015-16,Pre+Season,DEN,Denver Nuggets,1,0,1,4.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,6.0
2015-16,Pre+Season,DET,Detroit Pistons,4,0,4,4.5,0.5,1.3,0.8,4.5,1.3,0.5,0.8,3.0
2015-16,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,1,0,1,2.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
