SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2015-16,pre-season,CHA,5,5,0,2.8,1.8,6.4,28.1,0.0,2.0,0.0,0.6,0.8,75.0,1.2,2.4,3.6,1.2,0.2,0.2,0.6,0.6,2.0,0.8,4.2,-4.2
2015-16,pre-season,MEM,4,4,0,3.7,1.8,5.3,33.3,0.8,3.0,25.0,1.0,1.5,66.7,0.5,2.0,2.5,1.3,1.0,0.5,0.0,0.3,2.0,1.5,5.3,-3.8
2015-16,pre-season,ORL,6,4,2,6.1,4.2,10.2,41.0,0.7,3.0,22.2,3.5,4.8,72.4,1.2,5.0,6.2,2.0,1.5,0.8,1.3,0.5,2.8,3.5,12.5,-1.0
2015-16,pre-season,SAC,5,4,1,4.5,2.6,8.8,29.5,0.4,3.0,13.3,1.2,1.6,75.0,2.2,3.4,5.6,1.2,1.2,0.4,0.0,0.4,2.6,1.0,6.8,-2.4
2015-16,pre-season,ATL,4,3,1,2.2,1.0,3.5,28.6,0.5,1.8,28.6,1.3,1.5,83.3,0.8,0.8,1.5,0.5,0.8,0.5,0.8,0.0,1.0,1.3,3.8,-3.5
2015-16,pre-season,IND,4,3,1,3.8,2.0,8.3,24.2,0.5,3.8,13.3,1.8,2.5,70.0,2.0,2.5,4.5,1.0,0.8,0.0,0.5,1.0,4.3,1.8,6.3,-4.3
2015-16,pre-season,MIA,7,3,4,5.0,3.3,9.1,35.9,1.4,3.9,37.0,3.3,4.1,79.3,0.9,3.4,4.3,1.6,1.4,0.6,1.1,0.7,3.0,3.1,11.3,0.1
2015-16,pre-season,NOP,6,3,3,2.8,2.3,5.7,41.2,0.7,1.3,50.0,1.0,1.3,75.0,1.2,2.0,3.2,1.7,0.8,0.3,0.5,0.5,2.2,1.2,6.3,0.5
2015-16,pre-season,TOR,4,3,1,2.1,0.5,1.3,40.0,0.3,0.8,33.3,2.0,2.5,80.0,0.0,0.8,0.8,0.3,0.8,0.5,0.3,0.0,1.3,1.5,3.3,-3.0
2015-16,pre-season,BOS,3,2,1,1.5,1.0,3.3,30.0,1.0,1.3,75.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.3,0.7,0.0,1.0,0.3,0.3,3.0,0.3
2015-16,pre-season,LAC,2,2,0,3.9,1.5,5.5,27.3,0.5,1.5,33.3,1.5,2.0,75.0,1.0,2.5,3.5,0.5,2.0,1.0,0.0,0.5,3.0,1.0,5.0,-6.5
2015-16,pre-season,MIN,2,2,0,3.3,1.0,3.5,28.6,0.5,1.0,50.0,2.0,4.0,50.0,0.5,1.5,2.0,0.5,2.0,1.5,0.0,0.5,4.0,2.5,4.5,-6.0
2015-16,pre-season,NYK,3,2,1,3.8,2.3,5.3,43.8,1.3,2.7,50.0,2.0,3.7,54.5,1.0,2.7,3.7,1.7,1.7,0.0,1.3,0.7,1.7,2.0,8.0,0.0
2015-16,pre-season,PHI,5,2,3,2.5,1.4,3.6,38.9,0.4,1.4,28.6,2.6,3.6,72.2,0.4,1.4,1.8,1.2,1.2,0.2,0.2,0.2,2.2,2.4,5.8,-0.2
2015-16,pre-season,POR,6,2,4,4.9,4.0,8.7,46.2,1.2,2.8,41.2,2.7,3.8,69.6,0.8,3.2,4.0,2.2,1.8,0.8,0.3,0.2,1.2,2.8,11.8,0.3
2015-16,pre-season,UTA,5,2,3,4.2,3.8,7.8,48.7,0.4,2.4,16.7,2.8,3.2,87.5,0.8,4.4,5.2,1.2,1.0,0.4,0.4,0.6,2.2,2.2,10.8,4.0
