SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
2015-16,pre-season,CHA,5,5,0,2.8,61.5,38.5,28.6,4.8,35.7,11.9,35.7,7.1,23.8,16.7,83.3,100,0.0,54.5,45.5
2015-16,pre-season,MEM,4,4,0,3.7,72.0,28.0,55.6,22.2,16.7,0.0,27.8,5.6,33.3,40.0,60.0,0.0,100,33.3,66.7
2015-16,pre-season,ORL,6,4,2,6.1,65.4,34.6,44.4,12.3,37.0,3.7,18.5,6.2,32.1,38.9,61.1,80.0,20.0,53.6,46.4
2015-16,pre-season,SAC,5,4,1,4.5,63.4,36.6,52.2,21.7,26.1,6.5,21.7,26.1,30.4,83.3,16.7,50.0,50.0,75.0,25.0
2015-16,pre-season,ATL,4,3,1,2.2,70.6,29.4,55.2,20.7,31.0,20.7,13.8,13.8,34.5,62.5,37.5,100,0.0,72.7,27.3
2015-16,pre-season,IND,4,3,1,3.8,75.0,25.0,42.9,9.5,14.3,0.0,42.9,11.9,33.3,44.4,55.6,100,0.0,54.5,45.5
2015-16,pre-season,MIA,7,3,4,5.0,69.7,30.3,51.3,12.8,15.4,16.7,33.3,15.4,38.5,35.0,65.0,100,0.0,45.8,54.2
2015-16,pre-season,NOP,6,3,3,2.8,79.2,20.8,22.9,17.1,25.7,14.3,51.4,8.6,5.7,0.0,100,66.7,33.3,28.6,71.4
2015-16,pre-season,TOR,4,3,1,2.1,78.6,21.4,48.0,0.0,24.0,8.0,28.0,0.0,48.0,50.0,50.0,100,0.0,62.5,37.5
2015-16,pre-season,BOS,3,2,1,1.5,66.7,33.3,50.0,0.0,37.5,0.0,12.5,0.0,50.0,100,0.0,100,0.0,100,0.0
2015-16,pre-season,LAC,2,2,0,3.9,50.0,50.0,34.8,0.0,52.2,8.7,13.0,21.7,34.8,50.0,50.0,75.0,25.0,62.5,37.5
2015-16,pre-season,MIN,2,2,0,3.3,57.1,42.9,28.6,28.6,28.6,4.8,42.9,57.1,0.0,33.3,66.7,100,0.0,60.0,40.0
2015-16,pre-season,NYK,3,2,1,3.8,61.9,38.1,33.3,8.3,50.0,12.5,16.7,29.2,25.0,75.0,25.0,100,0.0,87.5,12.5
