SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,W_PCT,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS
2015-16,pre-season,CHA,5,5,0,100,2.8,8.4,2.2,5.2,42.3,1.0,2.0,50.0,3.0,3.6,83.3,0.8,2.8,3.6,1.2,0.2,0.2,0.6,0.6,0.8,2.0,4.2
2015-16,pre-season,-,1,1,0,100,3.6,9.0,3.0,9.0,33.3,0.0,2.0,0.0,3.0,3.0,100,3.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0
2015-16,pre-season,LAC,2,2,0,100,3.9,11.5,4.0,8.0,50.0,2.0,4.0,50.0,1.5,1.5,100,0.5,2.5,3.0,2.5,1.0,1.0,0.5,0.0,1.0,3.0,6.5
2015-16,pre-season,MEM,4,4,0,100,3.7,9.0,3.0,6.3,48.0,0.5,1.8,28.6,2.5,3.0,83.3,1.0,2.3,3.3,1.0,1.0,0.5,0.3,0.0,1.5,2.0,3.8
2015-16,pre-season,MIN,2,2,0,100,3.3,10.5,2.5,3.5,71.4,1.0,1.5,66.7,4.5,6.0,75.0,0.5,2.0,2.5,1.5,1.5,0.5,0.5,0.0,2.5,4.0,6.0
2015-16,pre-season,OKC,1,1,0,100,0.3,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2015-16,pre-season,SAC,5,4,1,80.0,4.5,9.2,3.2,8.2,39.0,0.8,3.0,26.7,2.0,3.2,62.5,1.0,3.4,4.4,2.4,1.0,0.4,0.4,0.0,1.0,2.6,2.4
2015-16,pre-season,ATL,4,3,1,75.0,2.2,7.3,2.8,4.3,64.7,0.8,1.3,60.0,1.0,1.3,80.0,0.5,1.8,2.3,2.0,1.0,0.5,0.0,0.8,1.3,1.0,3.5
2015-16,pre-season,IND,4,3,1,75.0,3.8,10.5,2.8,6.0,45.8,0.5,1.5,33.3,4.5,5.3,85.7,0.5,3.8,4.3,1.5,0.3,0.0,1.0,0.5,1.8,4.3,4.3
2015-16,pre-season,TOR,4,3,1,75.0,2.1,6.3,2.0,3.5,57.1,0.5,0.8,66.7,1.8,2.0,87.5,0.5,1.3,1.8,1.3,1.3,0.8,0.0,0.3,1.5,1.3,3.0
2015-16,pre-season,BOS,3,2,1,66.7,1.5,2.7,1.0,2.0,50.0,0.3,0.7,50.0,0.3,0.3,100,0.0,1.3,1.3,1.0,1.0,0.0,1.0,0.0,0.3,0.3,-0.3
2015-16,pre-season,NYK,3,2,1,66.7,3.8,8.0,2.7,7.0,38.1,1.3,2.7,50.0,1.3,2.0,66.7,1.3,2.0,3.3,2.3,1.0,1.3,0.7,1.3,2.0,1.7,0.0
2015-16,pre-season,ORL,6,4,2,66.7,6.1,13.5,4.7,13.5,34.6,1.7,4.7,35.7,2.5,3.3,75.0,3.3,4.3,7.7,2.5,1.5,0.8,0.5,1.3,3.5,2.8,1.0
2015-16,pre-season,NOP,6,3,3,50.0,2.8,5.8,1.2,4.0,29.2,0.5,0.8,60.0,3.0,3.3,90.0,0.3,1.8,2.2,0.3,0.8,0.3,0.5,0.5,1.2,2.2,-0.5
2015-16,pre-season,PHX,2,1,1,50.0,5.6,9.5,3.0,9.0,33.3,0.5,1.5,33.3,3.0,4.0,75.0,1.5,7.0,8.5,1.0,3.5,0.5,0.0,0.5,5.0,2.0,-6.0
2015-16,pre-season,WAS,4,2,2,50.0,3.0,5.8,2.3,5.3,42.9,0.3,1.5,16.7,1.0,1.8,57.1,0.3,2.3,2.5,1.3,0.5,1.0,0.8,0.3,1.5,2.0,0.0
2015-16,pre-season,MIA,7,3,4,42.9,5.0,11.1,3.4,9.4,36.4,0.6,2.9,20.0,3.7,5.0,74.3,2.1,4.6,6.7,1.6,1.3,0.6,0.7,1.1,3.1,3.0,-0.1
2015-16,pre-season,PHI,5,2,3,40.0,2.5,6.0,1.6,3.6,44.4,0.6,1.4,42.9,2.2,3.6,61.1,0.6,2.0,2.6,1.4,0.6,0.6,0.2,0.2,2.4,2.2,0.2
2015-16,pre-season,UTA,5,2,3,40.0,4.2,6.8,2.2,7.4,29.7,0.0,1.4,0.0,2.4,3.8,63.2,1.0,2.8,3.8,0.6,0.8,0.4,0.6,0.4,2.2,2.2,-4.0
2015-16,pre-season,CHI,3,1,2,33.3,2.6,6.3,2.7,4.7,57.1,1.0,1.3,75.0,0.0,0.0,0.0,0.0,3.3,3.3,1.7,0.7,0.3,0.3,0.0,0.7,0.7,1.7
2015-16,pre-season,POR,6,2,4,33.3,4.9,11.5,4.5,10.2,44.3,1.0,3.5,28.6,1.5,1.5,100,2.0,3.3,5.3,2.0,1.7,1.0,0.2,0.3,2.8,1.2,-0.3
2015-16,pre-season,SAS,3,1,2,33.3,4.2,5.3,1.7,5.3,31.3,0.3,2.3,14.3,1.7,2.7,62.5,0.3,2.7,3.0,0.7,2.7,0.3,1.3,0.0,2.0,2.7,-2.7
2015-16,pre-season,HOU,4,1,3,25.0,5.2,13.8,4.5,11.8,38.3,1.3,5.3,23.8,3.5,5.8,60.9,2.0,3.0,5.0,2.3,1.0,2.3,0.5,0.0,2.5,3.5,2.3
2015-16,pre-season,LAL,4,1,3,25.0,3.2,8.8,2.3,5.5,40.9,0.3,1.8,14.3,4.0,4.5,88.9,0.3,2.8,3.0,1.0,0.8,0.0,0.5,0.8,1.8,2.5,0.3
2015-16,pre-season,BKN,5,1,4,20.0,2.6,4.2,0.6,3.2,18.8,0.2,1.4,14.3,2.8,3.6,77.8,0.4,1.8,2.2,0.6,0.6,0.2,0.2,0.2,2.0,2.2,-2.6
2015-16,pre-season,CLE,5,1,4,20.0,2.0,4.0,1.4,3.2,43.8,0.2,0.8,25.0,1.0,1.4,71.4,0.6,0.8,1.4,0.6,0.8,0.6,0.4,0.0,1.2,1.0,-3.6
2015-16,pre-season,DAL,3,0,3,0.0,3.0,4.3,1.3,5.3,25.0,0.3,2.7,12.5,1.3,1.7,80.0,0.7,2.0,2.7,1.0,1.3,0.3,0.7,0.7,1.7,1.3,-5.7
2015-16,pre-season,DEN,1,0,1,0.0,4.0,3.0,1.0,6.0,16.7,0.0,1.0,0.0,1.0,2.0,50.0,2.0,5.0,7.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,-6.0
2015-16,pre-season,DET,4,0,4,0.0,4.5,6.0,2.5,10.3,24.4,0.3,4.3,5.9,0.8,1.5,50.0,2.0,3.8,5.8,1.5,1.3,0.5,0.5,1.3,5.0,1.0,-5.3
2015-16,pre-season,-,1,0,1,0.0,2.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,-8.0
2015-16,pre-season,MIL,2,0,2,0.0,3.2,1.5,0.5,4.5,11.1,0.0,1.0,0.0,0.5,2.0,25.0,0.5,3.0,3.5,0.0,1.5,0.0,0.0,1.0,4.0,1.0,-7.5
2015-16,regular-season,GSW,34,30,4,88.2,4.2,10.6,3.3,7.1,46.5,1.1,3.0,35.9,2.9,3.5,82.5,1.1,3.4,4.5,1.9,1.1,0.6,0.5,0.4,2.2,2.8,3.2
2015-16,regular-season,SAS,30,21,9,70.0,3.5,8.3,2.9,6.3,45.8,0.4,1.4,30.2,2.1,2.7,75.6,1.1,2.4,3.5,1.6,0.9,0.4,0.6,0.4,1.4,1.9,1.8
2015-16,regular-season,TOR,51,32,19,62.7,3.3,8.0,2.4,5.6,42.0,0.5,1.5,35.4,2.7,3.5,79.0,0.7,2.3,3.0,0.9,0.7,0.5,0.3,0.5,2.4,2.3,1.1
2015-16,regular-season,DET,42,25,17,59.5,4.1,9.3,2.9,6.7,42.4,0.6,2.0,31.7,3.0,4.5,67.0,0.9,2.8,3.8,1.0,1.0,0.5,0.3,0.5,2.2,3.2,1.3
2015-16,regular-season,LAC,42,25,17,59.5,4.0,9.7,2.8,6.1,45.9,0.8,2.2,37.2,3.3,4.3,75.3,0.8,2.5,3.3,1.5,0.8,0.5,0.6,0.2,2.5,2.9,0.5
2015-16,regular-season,MEM,44,26,18,59.1,3.9,8.9,2.7,6.7,41.0,0.6,1.7,35.1,2.9,3.8,75.1,1.2,2.5,3.7,1.4,0.9,0.7,0.4,0.6,2.0,2.4,1.3
2015-16,regular-season,CHI,46,27,19,58.7,4.6,9.1,2.8,7.2,39.2,0.6,1.9,31.4,2.9,3.6,81.3,0.8,3.2,4.0,1.1,1.3,0.4,0.8,0.4,2.5,2.5,-0.5
