SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FREQ_WHOLE_NUM,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
2015-16,Regular+Season,LAC,LA Clippers,82,82,72.5,28.9,61.4,47.1,49.0,-1.9
2015-16,Regular+Season,SAS,San Antonio Spurs,82,82,75.6,29.1,61.9,47.0,48.9,-1.9
2015-16,Regular+Season,ATL,Atlanta Hawks,82,82,71.6,28.9,61.6,46.9,48.8,-1.9
2015-16,Regular+Season,GSW,Golden State Warriors,82,82,73.7,31.1,65.9,47.2,48.9,-1.7
2015-16,Regular+Season,TOR,Toronto Raptors,81,81,71.4,27.6,58.5,47.3,48.9,-1.6
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,82,72.9,30.3,63.9,47.4,49.0,-1.6
2015-16,Regular+Season,CHI,Chicago Bulls,82,82,74.3,31.5,66.4,47.4,49.0,-1.6
2015-16,Regular+Season,MIA,Miami Heat,82,82,74.8,29.9,63.1,47.4,48.8,-1.4
2015-16,Regular+Season,NYK,New York Knicks,82,82,73.9,30.3,63.4,47.9,49.0,-1.1
2015-16,Regular+Season,UTA,Utah Jazz,82,82,72.2,27.7,57.7,48.0,49.0,-1.0
2015-16,Regular+Season,POR,Portland Trail Blazers,82,82,72.8,29.8,61.6,48.3,49.1,-0.8
2015-16,Regular+Season,BOS,Boston Celtics,81,81,72.6,29.8,61.8,48.2,48.9,-0.8
2015-16,Regular+Season,CHA,Charlotte Hornets,82,82,70.2,28.9,59.6,48.5,49.0,-0.5
2015-16,Regular+Season,IND,Indiana Pacers,82,82,70.8,29.1,60.1,48.4,49.0,-0.5
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,82,72.3,28.9,59.4,48.7,48.8,-0.1
2015-16,Regular+Season,DET,Detroit Pistons,82,82,75.7,31.5,63.7,49.5,49.0,0.5
2015-16,Regular+Season,DEN,Denver Nuggets,82,82,70.6,29.6,59.4,49.8,49.1,0.7
2015-16,Regular+Season,WAS,Washington Wizards,82,82,71.1,29.7,59.5,49.8,48.9,0.9
2015-16,Regular+Season,DAL,Dallas Mavericks,82,82,68.8,29.2,58.4,50.0,49.1,0.9
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,82,74.6,31.9,63.8,50.0,48.9,1.1
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,82,66.2,26.2,52.1,50.3,49.1,1.2
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,82,68.1,28.4,56.6,50.2,48.9,1.3
2015-16,Regular+Season,HOU,Houston Rockets,82,82,68.4,29.3,58.2,50.4,49.0,1.4
2015-16,Regular+Season,PHX,Phoenix Suns,82,82,70.3,29.7,58.9,50.5,49.1,1.4
2015-16,Regular+Season,ORL,Orlando Magic,81,81,70.2,29.5,58.6,50.4,49.0,1.4
2015-16,Regular+Season,SAC,Sacramento Kings,81,81,68.2,30.4,59.9,50.8,49.0,1.8
2015-16,Regular+Season,NOP,New Orleans Pelicans,82,82,70.3,30.1,59.0,51.0,49.1,1.8
2015-16,Regular+Season,MIN,Minnesota Timberwolves,82,82,70.0,30.8,59.4,52.0,49.0,2.9
2015-16,Regular+Season,LAL,Los Angeles Lakers,82,82,71.3,32.0,61.0,52.4,49.3,3.1
2015-16,Regular+Season,BKN,Brooklyn Nets,82,82,69.9,31.3,59.5,52.6,48.9,3.7
2017-18,Regular+Season,PHI,Philadelphia 76ers,81,81,66.3,27.9,58.1,48.1,50.9,-2.8
2017-18,Regular+Season,POR,Portland Trail Blazers,82,82,69.1,28.7,59.3,48.4,51.1,-2.7
2017-18,Regular+Season,UTA,Utah Jazz,82,82,68.7,27.8,57.0,48.8,51.1,-2.3
2017-18,Regular+Season,BOS,Boston Celtics,79,79,67.4,28.1,57.5,48.8,50.9,-2.1
2017-18,Regular+Season,TOR,Toronto Raptors,82,82,70.8,29.5,60.6,48.7,50.7,-2.0
2017-18,Regular+Season,GSW,Golden State Warriors,82,82,67.6,29.8,60.8,49.0,50.9,-1.8
2017-18,Regular+Season,MIA,Miami Heat,81,81,68.3,28.1,57.3,49.1,50.8,-1.7
2017-18,Regular+Season,SAS,San Antonio Spurs,82,82,68.8,29.0,58.0,50.0,51.1,-1.1
2017-18,Regular+Season,BKN,Brooklyn Nets,80,80,72.6,32.6,64.8,50.4,50.9,-0.6
2017-18,Regular+Season,NOP,New Orleans Pelicans,82,82,66.7,30.9,61.3,50.3,50.9,-0.5
2017-18,Regular+Season,NYK,New York Knicks,81,81,64.7,28.3,55.9,50.7,50.9,-0.2
2017-18,Regular+Season,OKC,Oklahoma City Thunder,80,80,63.7,27.3,53.6,51.0,51.0,0.0
2017-18,Regular+Season,LAL,Los Angeles Lakers,82,82,66.5,30.6,59.8,51.2,51.0,0.2
2017-18,Regular+Season,LAC,LA Clippers,82,82,65.6,29.5,57.5,51.3,51.0,0.3
2017-18,Regular+Season,MEM,Memphis Grizzlies,82,82,63.9,26.5,51.4,51.6,51.1,0.5
2017-18,Regular+Season,DET,Detroit Pistons,82,82,63.8,28.0,54.4,51.5,51.0,0.5
2017-18,Regular+Season,ORL,Orlando Magic,81,81,68.3,30.7,59.7,51.5,50.9,0.6
2017-18,Regular+Season,MIL,Milwaukee Bucks,81,81,67.6,29.1,56.6,51.4,50.8,0.6
2017-18,Regular+Season,CHA,Charlotte Hornets,81,81,65.7,29.8,57.6,51.7,51.0,0.7
2017-18,Regular+Season,PHX,Phoenix Suns,82,82,67.0,30.9,59.5,51.9,51.1,0.8
2017-18,Regular+Season,HOU,Houston Rockets,82,82,66.3,29.4,56.7,51.9,50.9,1.0
2017-18,Regular+Season,ATL,Atlanta Hawks,81,81,64.6,29.2,56.0,52.1,50.9,1.1
2017-18,Regular+Season,WAS,Washington Wizards,82,82,65.4,28.8,55.1,52.2,50.9,1.3
2017-18,Regular+Season,DAL,Dallas Mavericks,82,82,64.9,28.6,54.4,52.6,51.1,1.5
2017-18,Regular+Season,DEN,Denver Nuggets,82,82,66.8,30.4,57.9,52.5,50.9,1.6
2017-18,Regular+Season,SAC,Sacramento Kings,82,82,61.7,26.8,50.9,52.7,51.2,1.6
2017-18,Regular+Season,IND,Indiana Pacers,82,82,64.1,28.8,54.4,52.9,50.8,2.1
2017-18,Regular+Season,MIN,Minnesota Timberwolves,82,82,65.0,29.4,55.0,53.4,51.0,2.4
2017-18,Regular+Season,CHI,Chicago Bulls,82,82,62.4,28.9,54.1,53.4,51.0,2.4
2017-18,Regular+Season,CLE,Cleveland Cavaliers,82,82,64.1,30.2,56.6,53.3,50.8,2.5
2018-19,Regular+Season,MIL,Milwaukee Bucks,82,82,61.2,27.4,57.2,47.9,51.4,-3.4
2018-19,Regular+Season,MIA,Miami Heat,82,82,61.8,26.4,53.6,49.3,51.8,-2.5
2018-19,Regular+Season,UTA,Utah Jazz,80,80,68.6,30.2,60.9,49.6,51.9,-2.3
2018-19,Regular+Season,GSW,Golden State Warriors,82,82,63.2,28.8,57.5,50.0,51.8,-1.8
2018-19,Regular+Season,POR,Portland Trail Blazers,82,82,66.9,30.4,60.3,50.5,51.9,-1.5
2018-19,Regular+Season,MEM,Memphis Grizzlies,82,82,61.4,26.0,51.2,50.8,52.0,-1.2
2018-19,Regular+Season,TOR,Toronto Raptors,82,82,65.2,29.5,58.5,50.5,51.6,-1.1
2018-19,Regular+Season,IND,Indiana Pacers,82,82,62.7,27.4,54.0,50.7,51.7,-1.0
2018-19,Regular+Season,LAL,Los Angeles Lakers,82,82,63.4,30.1,58.8,51.1,51.9,-0.7
2018-19,Regular+Season,LAC,LA Clippers,82,82,66.9,31.4,61.1,51.3,52.0,-0.6
2018-19,Regular+Season,PHI,Philadelphia 76ers,79,79,67.1,31.3,61.3,51.1,51.5,-0.5
2018-19,Regular+Season,BKN,Brooklyn Nets,82,82,67.2,31.9,62.1,51.3,51.7,-0.4
2018-19,Regular+Season,BOS,Boston Celtics,82,82,61.9,28.0,54.6,51.3,51.6,-0.3
2018-19,Regular+Season,OKC,Oklahoma City Thunder,81,81,64.4,29.6,57.2,51.7,51.9,-0.2
2018-19,Regular+Season,ORL,Orlando Magic,80,80,65.4,29.6,57.4,51.6,51.7,-0.1
2018-19,Regular+Season,MIN,Minnesota Timberwolves,82,82,62.7,29.4,56.5,52.0,52.0,0.0
2018-19,Regular+Season,SAS,San Antonio Spurs,82,82,63.6,29.8,57.0,52.2,51.9,0.3
2018-19,Regular+Season,DAL,Dallas Mavericks,82,82,63.5,29.7,56.7,52.5,52.0,0.5
2018-19,Regular+Season,NOP,New Orleans Pelicans,82,82,63.6,31.0,59.1,52.5,51.8,0.7
2018-19,Regular+Season,NYK,New York Knicks,81,81,63.6,30.0,57.0,52.7,51.9,0.8
2018-19,Regular+Season,DEN,Denver Nuggets,82,82,63.0,28.8,54.5,52.8,51.9,0.9
2018-19,Regular+Season,DET,Detroit Pistons,82,82,67.3,30.3,57.2,53.0,51.7,1.3
2018-19,Regular+Season,HOU,Houston Rockets,81,81,65.7,30.3,56.9,53.2,51.9,1.3
2018-19,Regular+Season,CHA,Charlotte Hornets,81,81,62.5,29.8,55.7,53.5,51.7,1.8
2018-19,Regular+Season,CHI,Chicago Bulls,80,80,63.0,30.2,56.3,53.7,51.8,1.9
2018-19,Regular+Season,PHX,Phoenix Suns,82,82,66.1,31.3,58.2,53.8,51.9,1.9
2018-19,Regular+Season,SAC,Sacramento Kings,82,82,61.8,30.2,56.0,54.0,52.0,2.0
2018-19,Regular+Season,ATL,Atlanta Hawks,82,82,62.0,30.4,56.1,54.3,51.7,2.6
2018-19,Regular+Season,WAS,Washington Wizards,81,81,63.7,31.4,57.7,54.3,51.6,2.7
2018-19,Regular+Season,CLE,Cleveland Cavaliers,82,82,63.8,31.2,55.6,56.1,51.8,4.3
2018-19,Playoffs,MIL,Milwaukee Bucks,15,15,59.9,24.2,53.9,44.9,51.8,-6.9
2018-19,Playoffs,BOS,Boston Celtics,9,9,58.6,24.6,51.3,47.8,53.9,-6.0
2018-19,Playoffs,IND,Indiana Pacers,4,4,63.1,23.8,50.5,47.0,52.2,-5.2
2018-19,Playoffs,TOR,Toronto Raptors,24,24,59.4,24.2,49.4,48.9,53.8,-4.9
2018-19,Playoffs,OKC,Oklahoma City Thunder,5,5,64.5,27.0,57.4,47.0,51.6,-4.6
2018-19,Playoffs,UTA,Utah Jazz,5,5,49.9,21.2,42.0,50.5,54.7,-4.2
2018-19,Playoffs,POR,Portland Trail Blazers,16,16,66.2,29.7,59.3,50.1,52.5,-2.5
2018-19,Playoffs,HOU,Houston Rockets,11,11,60.4,27.4,52.3,52.5,54.7,-2.2
2018-19,Playoffs,PHI,Philadelphia 76ers,12,12,61.6,26.8,53.3,50.4,52.4,-2.0
2018-19,Playoffs,GSW,Golden State Warriors,22,22,57.9,25.3,49.8,50.7,52.5,-1.7
2018-19,Playoffs,DEN,Denver Nuggets,14,14,70.9,31.4,63.1,49.7,51.4,-1.7
2018-19,Playoffs,SAS,San Antonio Spurs,7,7,69.0,30.3,60.0,50.5,52.1,-1.6
2018-19,Playoffs,LAC,LA Clippers,6,6,63.9,31.8,56.8,56.0,55.3,0.7
2018-19,Playoffs,ORL,Orlando Magic,5,5,61.4,28.4,51.8,54.8,53.4,1.4
2018-19,Playoffs,BKN,Brooklyn Nets,5,5,71.2,37.0,66.4,55.7,52.8,2.9
2018-19,Playoffs,DET,Detroit Pistons,4,4,60.9,31.5,52.5,60.0,56.1,3.9
2019-20,Playoffs,UTA,Utah Jazz,7,7,58.1,25.0,50.0,50.0,53.3,-3.3
2019-20,Playoffs,OKC,Oklahoma City Thunder,7,7,43.8,21.1,39.7,53.2,55.3,-2.1
2019-20,Playoffs,MIL,Milwaukee Bucks,10,10,52.9,22.2,44.9,49.4,51.5,-2.1
2019-20,Playoffs,LAL,Los Angeles Lakers,21,21,60.0,25.1,48.9,51.3,53.1,-1.8
2019-20,Playoffs,IND,Indiana Pacers,4,4,58.8,24.5,47.5,51.6,53.4,-1.8
2019-20,Playoffs,BOS,Boston Celtics,17,17,57.4,25.0,49.4,50.7,52.4,-1.7
2019-20,Playoffs,TOR,Toronto Raptors,11,11,53.1,23.3,45.6,51.0,52.4,-1.4
2019-20,Playoffs,MIA,Miami Heat,21,21,57.8,26.2,49.0,53.5,54.4,-0.8
2019-20,Playoffs,PHI,Philadelphia 76ers,4,4,59.4,26.8,51.3,52.2,52.5,-0.3
2019-20,Playoffs,HOU,Houston Rockets,12,12,58.4,26.6,48.8,54.4,54.0,0.4
2019-20,Playoffs,ORL,Orlando Magic,5,5,53.2,26.6,46.8,56.8,56.2,0.6
2019-20,Playoffs,DEN,Denver Nuggets,19,19,60.2,26.9,49.4,54.5,53.8,0.7
2019-20,Playoffs,LAC,LA Clippers,13,13,59.1,27.3,50.1,54.4,53.7,0.8
2019-20,Playoffs,POR,Portland Trail Blazers,5,5,60.4,30.8,53.4,57.7,55.8,1.9
2019-20,Playoffs,BKN,Brooklyn Nets,4,4,54.9,27.3,50.0,54.5,51.7,2.8
2019-20,Playoffs,DAL,Dallas Mavericks,6,6,61.6,31.2,55.5,56.2,52.5,3.7
2019-20,PlayIn,POR,Portland Trail Blazers,1,1,72.8,31.0,67.0,46.3,53.1,-6.8
2019-20,PlayIn,MEM,Memphis Grizzlies,1,1,52.4,23.0,44.0,52.3,51.0,1.3
2019-20,IST,TOR,Toronto Raptors,1,1,55.9,24.0,57.0,42.1,52.8,-10.7
2019-20,IST,NOP,New Orleans Pelicans,1,1,61.2,28.0,63.0,44.4,51.7,-7.3
2020-21,Regular+Season,UTA,Utah Jazz,72,72,65.2,30.0,59.6,50.4,52.9,-2.6
2020-21,Regular+Season,MIL,Milwaukee Bucks,72,72,58.5,27.6,54.3,50.7,52.8,-2.0
2020-21,Regular+Season,NYK,New York Knicks,72,72,58.7,25.9,50.6,51.2,53.1,-1.9
2020-21,Regular+Season,GSW,Golden State Warriors,72,72,61.3,27.9,54.5,51.1,52.9,-1.9
2020-21,Regular+Season,PHI,Philadelphia 76ers,72,72,62.0,27.5,53.9,51.0,52.8,-1.8
2020-21,Regular+Season,IND,Indiana Pacers,72,72,65.6,31.2,59.9,52.1,52.8,-0.6
2020-21,Regular+Season,BKN,Brooklyn Nets,72,72,60.3,28.7,55.1,52.1,52.7,-0.6
2020-21,Regular+Season,TOR,Toronto Raptors,72,72,56.7,25.1,48.0,52.3,52.9,-0.6
2020-21,Regular+Season,MEM,Memphis Grizzlies,72,72,60.5,28.1,53.6,52.5,53.0,-0.5
2020-21,Regular+Season,LAL,Los Angeles Lakers,72,72,62.7,28.4,54.2,52.4,52.9,-0.5
2020-21,Regular+Season,DAL,Dallas Mavericks,72,72,59.5,27.2,51.8,52.5,52.9,-0.4
2020-21,Regular+Season,BOS,Boston Celtics,72,72,60.1,27.1,51.6,52.4,52.8,-0.4
2020-21,Regular+Season,SAS,San Antonio Spurs,72,72,63.7,30.1,57.2,52.7,53.1,-0.4
2020-21,Regular+Season,LAC,LA Clippers,72,72,62.4,28.5,53.9,52.9,52.9,0.0
2020-21,Regular+Season,WAS,Washington Wizards,72,72,63.2,30.6,57.9,53.0,52.8,0.2
2020-21,Regular+Season,ATL,Atlanta Hawks,72,72,61.7,29.4,55.0,53.4,52.9,0.5
2020-21,Regular+Season,MIN,Minnesota Timberwolves,72,72,62.5,29.9,55.7,53.7,53.0,0.6
2020-21,Regular+Season,PHX,Phoenix Suns,72,72,62.2,28.9,54.0,53.5,52.9,0.6
2020-21,Regular+Season,NOP,New Orleans Pelicans,72,72,57.3,27.4,51.2,53.5,52.9,0.7
2020-21,Regular+Season,ORL,Orlando Magic,72,72,59.0,28.5,52.9,53.9,53.1,0.8
2020-21,Regular+Season,POR,Portland Trail Blazers,72,72,60.8,28.9,53.6,53.8,53.1,0.8
2020-21,Regular+Season,MIA,Miami Heat,72,72,54.1,24.8,46.1,53.8,52.8,1.0
2020-21,Regular+Season,DET,Detroit Pistons,72,72,63.9,30.0,55.6,54.1,52.9,1.2
2020-21,Regular+Season,CHI,Chicago Bulls,72,72,63.1,29.9,55.4,54.1,52.7,1.3
2020-21,Regular+Season,HOU,Houston Rockets,72,72,60.5,29.3,53.9,54.4,53.0,1.4
2020-21,Regular+Season,DEN,Denver Nuggets,72,72,58.2,27.1,49.7,54.5,52.9,1.6
2020-21,Regular+Season,CLE,Cleveland Cavaliers,72,72,62.6,29.6,54.3,54.5,52.9,1.6
