SEASON,SEASON_TYPE,TEAM_ABB,GP,G,FREQ_WHOLE_NUM,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
2015-16,regular-season,-,82,24.4,6.6,19.9,33.1,35.2,-2.1,0
2015-16,regular-season,-,82,29.2,8.3,24.8,33.4,35.2,-1.8,0
2015-16,regular-season,-,82,26.3,7.8,23.5,33.2,35.0,-1.8,0
2015-16,regular-season,-,81,27.4,7.8,23.4,33.6,35.4,-1.7,0
2015-16,regular-season,-,82,27.5,7.9,23.3,33.8,35.3,-1.6,0
2015-16,regular-season,-,82,28.4,8.3,24.5,33.8,35.3,-1.5,0
2015-16,regular-season,-,82,31.2,9.1,26.4,34.3,35.5,-1.2,0
2015-16,regular-season,-,82,26.1,7.6,22.4,34.1,35.3,-1.2,0
2015-16,regular-season,-,82,27.1,8.1,23.8,34.2,35.3,-1.1,0
2015-16,regular-season,-,82,28.7,8.5,24.6,34.7,35.5,-0.8,0
2015-16,regular-season,-,82,25.7,7.9,23.0,34.5,35.2,-0.7,0
2015-16,regular-season,-,82,25.2,7.4,21.2,34.7,35.3,-0.6,0
2015-16,regular-season,-,82,27.7,7.9,22.7,34.7,35.2,-0.4,0
2015-16,regular-season,-,82,29.8,8.8,25.4,34.9,35.2,-0.3,0
2015-16,regular-season,-,82,31.9,9.3,26.5,35.2,35.3,0.0,0
2015-16,regular-season,-,82,24.3,7.3,20.5,35.5,35.2,0.3,0
2015-16,regular-season,-,82,27.8,7.9,22.2,35.7,35.4,0.3,0
2015-16,regular-season,-,82,30.0,9.1,25.4,35.6,35.3,0.3,0
2015-16,regular-season,-,82,25.4,7.8,21.7,35.9,35.3,0.6,0
2015-16,regular-season,-,81,29.8,8.9,24.9,35.9,35.3,0.6,0
2015-16,regular-season,-,82,31.6,9.7,26.9,36.1,35.3,0.7,0
2015-16,regular-season,-,81,31.8,10.2,27.9,36.5,35.4,1.1,0
2015-16,regular-season,-,82,33.8,9.7,26.6,36.5,35.4,1.1,0
2015-16,regular-season,-,82,29.7,9.2,24.9,36.9,35.3,1.6,0
2015-16,regular-season,-,82,30.1,9.4,25.6,36.9,35.2,1.7,0
2015-16,regular-season,-,82,27.2,8.5,23.0,37.1,35.3,1.8,0
2015-16,regular-season,-,82,29.4,9.2,24.8,37.1,35.3,1.8,0
2015-16,regular-season,-,82,28.9,9.0,24.2,37.1,35.2,1.9,0
2015-16,regular-season,-,81,28.6,8.7,23.4,37.3,35.2,2.1,0
2015-16,regular-season,-,82,29.7,9.4,24.9,37.7,35.4,2.3,0
2015-16,playoffs,-,7,30.7,7.1,25.3,28.2,35.6,-7.4,0
2015-16,playoffs,-,6,36.7,9.8,32.0,30.7,34.8,-4.1,0
2015-16,playoffs,-,14,22.7,5.9,18.6,31.9,35.8,-3.8,0
2015-16,playoffs,-,6,34.4,10.0,29.7,33.7,37.2,-3.5,0
2015-16,playoffs,-,10,24.7,6.2,20.1,30.8,34.1,-3.2,0
2015-16,playoffs,-,11,28.5,8.9,24.8,35.9,38.9,-3.0,0
2015-16,playoffs,-,21,37.3,10.5,29.7,35.3,37.5,-2.2,0
2015-16,playoffs,-,24,31.1,9.2,27.0,33.9,35.9,-2.0,0
2015-16,playoffs,-,18,28.5,9.0,24.3,37.1,38.7,-1.6,0
2015-16,playoffs,-,5,34.1,11.6,28.8,40.3,41.0,-0.7,0
2015-16,playoffs,-,20,29.1,8.2,22.4,36.3,35.7,0.6,0
2015-16,playoffs,-,5,33.8,10.2,28.0,36.4,34.6,1.8,0
2015-16,playoffs,-,10,38.8,12.9,34.1,37.8,34.8,3.0,0
2015-16,playoffs,-,4,41.3,14.3,34.5,41.3,37.2,4.1,0
2015-16,playoffs,-,7,25.2,8.3,20.4,40.6,34.0,6.6,0
2015-16,playoffs,-,4,28.5,10.3,21.8,47.1,38.2,8.9,0
2016-17,regular-season,-,82,31.1,9.0,27.8,32.4,35.6,-3.2,0
2016-17,regular-season,-,82,31.5,9.0,27.0,33.2,35.6,-2.3,0
2016-17,regular-season,-,82,32.8,10.0,29.1,34.4,35.8,-1.5,0
