SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FREQ_WHOLE_NUM,FGM_GT_15,FGA_GT_15,GT_15_PCT,NS_GT_15_PCT,PLUSMINUS
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,82,45.8,14.2,40.2,35.2,37.1,-1.8
2015-16,Regular+Season,LAC,LA Clippers,82,82,48.5,14.5,41.1,35.4,37.1,-1.7
2015-16,Regular+Season,ATL,Atlanta Hawks,82,82,47.9,14.7,41.3,35.6,37.1,-1.4
2015-16,Regular+Season,IND,Indiana Pacers,82,82,48.0,14.6,40.8,35.8,37.0,-1.2
2015-16,Regular+Season,GSW,Golden State Warriors,82,82,46.0,14.7,41.1,35.9,36.9,-1.0
2015-16,Regular+Season,MIA,Miami Heat,82,82,45.8,13.9,38.6,36.1,37.0,-0.9
2015-16,Regular+Season,BOS,Boston Celtics,81,81,47.0,14.5,40.0,36.3,37.1,-0.9
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,82,48.1,14.5,40.0,36.2,37.0,-0.8
2015-16,Regular+Season,SAS,San Antonio Spurs,82,82,46.1,13.7,37.7,36.2,37.0,-0.8
2015-16,Regular+Season,LAL,Los Angeles Lakers,82,82,47.5,14.9,40.7,36.6,37.3,-0.7
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,82,47.6,14.2,39.0,36.4,37.0,-0.6
2015-16,Regular+Season,DAL,Dallas Mavericks,82,82,49.9,15.6,42.4,36.7,37.3,-0.6
2015-16,Regular+Season,CHI,Chicago Bulls,82,82,46.0,15.1,41.1,36.8,36.9,-0.2
2015-16,Regular+Season,NYK,New York Knicks,82,82,47.4,15.0,40.7,36.8,37.0,-0.2
2015-16,Regular+Season,UTA,Utah Jazz,82,82,47.4,14.1,37.8,37.2,37.2,0.0
2015-16,Regular+Season,HOU,Houston Rockets,82,82,48.3,15.3,41.1,37.2,37.2,0.0
2015-16,Regular+Season,DET,Detroit Pistons,82,82,45.9,14.5,38.6,37.6,37.0,0.5
2015-16,Regular+Season,MIN,Minnesota Timberwolves,82,82,48.0,15.3,40.7,37.6,37.1,0.5
2015-16,Regular+Season,CHA,Charlotte Hornets,82,82,50.4,16.1,42.8,37.5,37.0,0.5
