SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FREQ_WHOLE_NUM,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS
2015-16,Regular+Season,TOR,Toronto Raptors,81,81,43.8,18.7,35.9,52.1,54.5,-2.4
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,82,46.6,21.4,40.9,52.4,54.5,-2.1
2015-16,Regular+Season,SAS,San Antonio Spurs,82,82,44.0,18.8,36.0,52.2,54.2,-2.0
2015-16,Regular+Season,UTA,Utah Jazz,82,82,44.5,18.7,35.6,52.5,54.5,-2.0
2015-16,Regular+Season,CHI,Chicago Bulls,82,82,45.1,21.2,40.3,52.7,54.6,-1.9
2015-16,Regular+Season,MIA,Miami Heat,82,82,44.7,19.8,37.7,52.7,54.4,-1.7
2015-16,Regular+Season,NYK,New York Knicks,82,82,44.0,20.0,37.8,52.9,54.5,-1.7
2015-16,Regular+Season,GSW,Golden State Warriors,82,82,44.7,21.1,40.0,52.8,54.4,-1.6
2015-16,Regular+Season,ATL,Atlanta Hawks,82,82,43.6,19.8,37.5,52.8,54.4,-1.6
2015-16,Regular+Season,POR,Portland Trail Blazers,82,82,42.5,19.1,35.9,53.3,54.6,-1.3
2015-16,Regular+Season,CHA,Charlotte Hornets,82,82,41.2,18.8,35.0,53.7,54.6,-0.9
2015-16,Regular+Season,BOS,Boston Celtics,81,81,43.9,20.1,37.4,53.7,54.5,-0.9
2015-16,Regular+Season,IND,Indiana Pacers,82,82,43.8,20.0,37.2,53.9,54.5,-0.6
2015-16,Regular+Season,LAC,LA Clippers,82,82,41.8,19.1,35.4,53.9,54.3,-0.4
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,82,45.8,21.3,39.1,54.4,54.5,-0.1
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,82,44.0,19.6,36.1,54.3,54.3,0.0
2015-16,Regular+Season,ORL,Orlando Magic,81,81,45.0,20.6,37.5,54.8,54.5,0.3
2015-16,Regular+Season,DET,Detroit Pistons,82,82,43.8,20.3,36.9,55.2,54.6,0.5
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,82,41.0,18.0,32.3,55.8,54.7,1.1
2015-16,Regular+Season,DEN,Denver Nuggets,82,82,43.8,20.6,36.9,55.8,54.6,1.1
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,82,45.2,20.9,37.6,55.5,54.5,1.1
2015-16,Regular+Season,WAS,Washington Wizards,82,82,42.3,19.7,35.5,55.6,54.4,1.2
2015-16,Regular+Season,DAL,Dallas Mavericks,82,82,41.4,19.6,35.1,55.8,54.5,1.3
2015-16,Regular+Season,SAC,Sacramento Kings,81,81,42.1,20.6,36.9,55.9,54.5,1.4
2015-16,Regular+Season,HOU,Houston Rockets,82,82,43.8,21.1,37.3,56.6,54.6,2.0
2015-16,Regular+Season,PHX,Phoenix Suns,82,82,43.7,20.7,36.6,56.6,54.6,2.0
2015-16,Regular+Season,MIN,Minnesota Timberwolves,82,82,45.5,22.3,38.5,57.8,54.3,3.4
2015-16,Regular+Season,NOP,New Orleans Pelicans,82,82,42.6,20.7,35.8,58.0,54.6,3.4
2015-16,Regular+Season,BKN,Brooklyn Nets,82,82,46.2,22.9,39.3,58.2,54.6,3.7
