SEASON,SEASON_TYPE,TEAM_ABB,GP,G,FREQ_WHOLE_NUM,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
2015-16,regular-season,-,82,31.1,15.0,26.3,57.0,59.8,-2.8,0
2015-16,regular-season,-,82,33.1,15.1,26.5,57.1,59.6,-2.5,0
2015-16,regular-season,-,81,32.2,15.1,26.4,57.2,59.6,-2.4,0
2015-16,regular-season,-,82,32.3,15.9,27.8,57.1,59.6,-2.4,0
2015-16,regular-season,-,82,33.5,16.5,28.8,57.3,59.7,-2.4,0
2015-16,regular-season,-,82,32.1,15.0,26.2,57.0,59.3,-2.2,0
2015-16,regular-season,-,82,33.0,17.1,29.5,57.7,59.8,-2.1,0
2015-16,regular-season,-,82,35.0,17.7,30.7,57.7,59.6,-2.0,0
2015-16,regular-season,-,82,32.2,15.7,27.2,57.6,59.5,-1.9,0
2015-16,regular-season,-,82,32.4,16.8,29.0,58.1,59.6,-1.5,0
2015-16,regular-season,-,82,32.7,16.4,27.8,59.1,59.7,-0.5,0
2015-16,regular-season,-,82,35.0,17.7,29.9,59.2,59.6,-0.4,0
2015-16,regular-season,-,82,30.6,15.3,25.9,59.0,59.4,-0.4,0
2015-16,regular-season,-,82,29.7,15.0,25.3,59.3,59.7,-0.4,0
2015-16,regular-season,-,82,35.5,17.5,29.5,59.3,59.5,-0.2,0
2015-16,regular-season,-,81,31.1,15.8,26.5,59.8,59.6,0.2,0
2015-16,regular-season,-,82,31.3,15.3,25.7,59.8,59.5,0.3,0
2015-16,regular-season,-,81,33.9,17.1,28.3,60.3,59.7,0.6,0
2015-16,regular-season,-,82,31.5,16.0,26.5,60.4,59.7,0.7,0
2015-16,regular-season,-,82,31.0,14.8,24.4,60.5,59.8,0.7,0
2015-16,regular-season,-,82,32.7,16.7,27.6,60.7,59.8,0.9,0
2015-16,regular-season,-,82,30.7,15.9,26.0,61.2,59.7,1.5,0
2015-16,regular-season,-,82,31.0,15.9,25.9,61.2,59.6,1.7,0
