SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FREQ_WHOLE_NUM,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
2015-16,Regular+Season,ATL,Atlanta Hawks,82,82,100%,37.1,86.0,43.2,45.0,-1.8
2015-16,Regular+Season,LAC,LA Clippers,82,82,100%,36.8,84.7,43.4,45.1,-1.7
2015-16,Regular+Season,GSW,Golden State Warriors,82,82,100%,38.9,89.4,43.5,44.9,-1.5
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,82,100%,38.4,87.7,43.8,45.1,-1.3
2015-16,Regular+Season,SAS,San Antonio Spurs,82,82,100%,35.7,81.8,43.6,44.9,-1.3
2015-16,Regular+Season,IND,Indiana Pacers,82,82,100%,37.4,84.9,44.0,45.1,-1.1
2015-16,Regular+Season,CHI,Chicago Bulls,82,82,100%,39.4,89.4,44.1,45.1,-1.0
2015-16,Regular+Season,BOS,Boston Celtics,81,81,100%,37.6,85.1,44.2,45.1,-0.9
2015-16,Regular+Season,MIA,Miami Heat,82,82,100%,37.2,84.3,44.2,44.9,-0.8
2015-16,Regular+Season,NYK,New York Knicks,82,82,100%,38.0,85.8,44.3,45.1,-0.8
2015-16,Regular+Season,CHA,Charlotte Hornets,82,82,100%,37.8,85.0,44.4,45.1,-0.7
2015-16,Regular+Season,TOR,Toronto Raptors,81,81,100%,36.4,81.9,44.4,45.0,-0.6
2015-16,Regular+Season,UTA,Utah Jazz,82,82,100%,35.6,79.9,44.6,45.1,-0.5
2015-16,Regular+Season,DAL,Dallas Mavericks,82,82,100%,38.3,84.9,45.1,45.3,-0.2
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,82,100%,36.8,82.1,44.8,45.0,-0.2
2015-16,Regular+Season,POR,Portland Trail Blazers,82,82,100%,38.3,84.6,45.3,45.2,0.1
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,82,100%,35.9,78.7,45.6,45.2,0.5
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,82,100%,37.8,83.1,45.4,44.9,0.5
2015-16,Regular+Season,HOU,Houston Rockets,82,82,100%,39.0,85.1,45.9,45.2,0.7
2015-16,Regular+Season,DEN,Denver Nuggets,82,82,100%,38.8,84.2,46.1,45.2,0.9
2015-16,Regular+Season,ORL,Orlando Magic,81,81,100%,38.4,83.5,46.1,45.1,1.0
2015-16,Regular+Season,DET,Detroit Pistons,82,82,100%,38.8,84.2,46.1,45.1,1.0
2015-16,Regular+Season,WAS,Washington Wizards,82,82,100%,38.7,83.8,46.2,45.0,1.2
2015-16,Regular+Season,SAC,Sacramento Kings,81,81,100%,40.6,87.8,46.2,45.1,1.2
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,82,100%,39.7,85.4,46.4,45.1,1.4
2015-16,Regular+Season,PHX,Phoenix Suns,82,82,100%,39.1,83.8,46.7,45.2,1.5
2015-16,Regular+Season,NOP,New Orleans Pelicans,82,82,100%,39.2,83.9,46.8,45.2,1.6
2015-16,Regular+Season,MIN,Minnesota Timberwolves,82,82,100%,39.9,84.8,47.1,45.0,2.0
2015-16,Regular+Season,LAL,Los Angeles Lakers,82,82,100%,40.5,85.6,47.3,45.3,2.0
2015-16,Regular+Season,BKN,Brooklyn Nets,82,82,100%,40.8,85.2,47.9,45.0,2.9
2015-16,Playoffs,IND,Indiana Pacers,7,7,100%,32.4,82.4,39.3,44.5,-5.2
