SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,E_PACE
2015-16,Pre+Season,CHA,Charlotte Hornets,8,7,1,384,99.8,90.0,9.8,15.3,16.5,82.7,51.3,13.9,99.00
2015-16,Pre+Season,ORL,Orlando Magic,8,6,2,394,99.7,96.1,3.6,16.7,26.1,77.5,51.0,16.3,97.30
2015-16,Pre+Season,BOS,Boston Celtics,7,6,1,336,100.4,89.1,11.3,18.1,26.0,76.6,52.2,16.4,103.90
2015-16,Pre+Season,MEM,Memphis Grizzlies,7,6,1,336,91.5,83.4,8.1,14.6,25.0,77.3,52.2,20.1,97.10
2015-16,Pre+Season,IND,Indiana Pacers,7,5,2,336,104.8,100.1,4.7,14.5,25.7,75.4,50.7,12.9,97.80
2015-16,Pre+Season,TOR,Toronto Raptors,7,5,2,336,98.3,92.2,6.1,13.7,26.9,80.7,53.8,15.7,96.30
2015-16,Pre+Season,SAC,Sacramento Kings,6,5,1,293,99.8,96.0,3.8,15.6,24.7,73.6,49.6,17.5,100.20
2015-16,Pre+Season,OKC,Oklahoma City Thunder,6,5,1,288,106.3,94.1,12.2,17.3,29.1,77.7,55.7,18.9,99.60
2015-16,Pre+Season,MIA,Miami Heat,8,4,4,389,95.9,95.9,0.0,15.4,23.7,76.9,50.7,16.0,99.00
2015-16,Pre+Season,CHI,Chicago Bulls,8,4,4,384,101.7,105.2,-3.5,15.5,29.6,81.5,54.7,14.8,99.60
2015-16,Pre+Season,WAS,Washington Wizards,7,4,3,336,106.8,99.3,7.5,19.1,21.4,73.8,48.4,14.8,105.10
2015-16,Pre+Season,DEN,Denver Nuggets,7,4,3,336,98.6,95.2,3.4,15.5,26.1,76.2,51.7,16.9,101.40
2015-16,Pre+Season,ATL,Atlanta Hawks,7,4,3,336,93.7,94.4,-0.7,15.8,17.4,79.5,50.2,17.8,99.40
2015-16,Pre+Season,PHX,Phoenix Suns,6,4,2,293,96.9,93.6,3.3,16.8,24.9,71.3,48.8,17.0,104.10
2015-16,Pre+Season,NYK,New York Knicks,6,4,2,288,97.3,93.3,4.0,16.7,22.3,75.6,49.6,16.2,100.80
2015-16,Pre+Season,HOU,Houston Rockets,8,3,5,389,101.6,102.3,-0.7,15.6,31.1,79.2,53.3,16.0,104.40
2015-16,Pre+Season,LAL,Los Angeles Lakers,8,3,5,375,103.0,105.1,-2.1,15.1,26.5,73.0,49.6,15.6,98.70
2015-16,Pre+Season,DET,Detroit Pistons,8,3,5,384,104.8,98.0,6.9,17.3,25.6,75.5,51.0,15.8,98.30
2015-16,Pre+Season,GSW,Golden State Warriors,7,3,4,322,101.8,103.0,-1.3,17.8,21.1,75.0,48.7,17.2,106.00
2015-16,Pre+Season,NOP,New Orleans Pelicans,7,3,4,341,98.1,101.6,-3.5,12.5,19.9,74.6,46.7,14.1,103.90
2015-16,Pre+Season,POR,Portland Trail Blazers,7,3,4,346,99.1,97.3,1.8,15.3,25.2,77.8,51.7,17.8,101.90
2015-16,Pre+Season,UTA,Utah Jazz,7,3,4,346,97.3,96.9,0.4,13.6,21.8,75.4,49.0,16.2,97.50
2015-16,Pre+Season,LAC,LA Clippers,6,3,3,288,93.0,97.1,-4.1,17.6,14.9,79.8,45.8,18.7,105.10
2015-16,Pre+Season,PHI,Philadelphia 76ers,7,2,5,336,89.7,98.1,-8.4,13.6,22.9,80.3,50.0,20.2,106.60
2015-16,Pre+Season,MIN,Minnesota Timberwolves,7,2,5,336,98.9,109.7,-10.8,16.8,21.7,72.7,44.8,17.5,96.20
2015-16,Pre+Season,MIL,Milwaukee Bucks,6,2,4,288,99.9,103.2,-3.3,15.7,24.9,74.5,51.2,17.9,101.40
2015-16,Pre+Season,BKN,Brooklyn Nets,6,2,4,288,96.6,97.6,-1.0,15.3,21.3,76.4,48.7,17.3,101.10
2015-16,Pre+Season,SAS,San Antonio Spurs,6,2,4,288,95.7,97.6,-1.9,15.9,19.5,79.9,49.0,17.2,98.00
2015-16,Pre+Season,CLE,Cleveland Cavaliers,7,1,6,336,94.3,100.5,-6.3,17.2,17.3,76.4,47.0,18.1,100.20
2015-16,Pre+Season,Istanbul Fenerbahce Sports Club,Istanbul Fenerbahce Sports Club,2,1,1,96,95.1,108.2,-13.1,18.2,28.7,72.4,49.1,20.9,95.70
2015-16,Pre+Season,DAL,Dallas Mavericks,7,0,7,336,87.7,98.2,-10.5,15.0,18.0,74.8,46.0,17.1,102.00
2015-16,Pre+Season,Bauru Paschoalotto/Bauru,Bauru Paschoalotto/Bauru,2,0,2,96,91.5,118.3,-26.8,14.5,28.4,73.0,47.9,20.7,98.90
2015-16,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,2,0,2,96,84.7,113.1,-28.4,16.8,20.2,60.6,37.1,17.2,98.60
2015-16,Pre+Season,Madrid Real Madrid,Madrid Real Madrid,1,0,1,48,85.2,98.5,-13.3,13.2,24.5,72.5,49.0,23.1,112.60
2015-16,Pre+Season,Milano Olimpia Milano,Milano Olimpia Milano,1,0,1,48,89.2,121.5,-32.3,13.8,23.3,78.4,48.8,21.6,102.00
2015-16,Pre+Season,Flamengo Flamengo,Flamengo Flamengo,1,0,1,48,75.4,93.0,-17.6,16.0,17.8,77.5,45.9,18.6,96.80
2015-16,Regular+Season,GSW,Golden State Warriors,82,73,9,3976,112.5,102.0,10.5,20.5,23.5,76.0,51.3,14.9,101.10
2015-16,Regular+Season,SAS,San Antonio Spurs,82,67,15,3941,108.4,97.2,11.1,18.9,23.0,79.1,52.0,13.7,95.40
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,57,25,3971,108.1,101.9,6.2,17.5,25.1,78.5,52.0,14.1,95.70
2015-16,Regular+Season,TOR,Toronto Raptors,82,56,26,3956,107.0,102.3,4.7,15.0,24.6,77.7,51.6,13.6,95.50
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,55,27,3966,109.9,102.6,7.3,16.8,31.1,76.0,54.7,15.9,99.60
2015-16,Regular+Season,LAC,LA Clippers,82,53,29,3966,106.5,102.1,4.4,17.6,20.1,73.8,47.4,13.2,97.40
2015-16,Regular+Season,BOS,Boston Celtics,82,48,34,3956,103.9,100.7,3.2,17.6,25.1,74.6,49.4,13.5,101.20
2015-16,Regular+Season,ATL,Atlanta Hawks,82,48,34,3966,103.0,99.3,3.6,19.1,19.1,74.6,47.5,15.0,99.10
2015-16,Regular+Season,CHA,Charlotte Hornets,82,48,34,3971,105.1,102.3,2.8,16.8,20.0,79.8,49.6,12.7,97.60
2015-16,Regular+Season,MIA,Miami Heat,82,48,34,3966,104.2,102.4,1.7,16.4,23.8,77.8,51.7,14.7,95.30
2015-16,Regular+Season,IND,Indiana Pacers,82,45,37,3976,102.4,100.7,1.7,16.2,23.4,76.0,49.8,14.9,98.80
2015-16,Regular+Season,POR,Portland Trail Blazers,82,44,38,3961,106.1,105.3,0.8,16.2,25.9,76.2,51.0,14.8,98.40
2015-16,Regular+Season,DET,Detroit Pistons,82,44,38,3976,103.3,102.6,0.6,14.9,27.0,79.3,52.1,13.7,97.80
2015-16,Regular+Season,CHI,Chicago Bulls,82,42,40,3981,102.1,103.6,-1.5,17.1,24.5,74.9,50.2,14.0,98.40
2015-16,Regular+Season,DAL,Dallas Mavericks,82,42,40,4001,104.8,105.1,-0.3,17.2,20.6,76.2,48.5,13.1,96.00
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,42,40,3966,102.6,104.9,-2.3,16.1,25.3,75.1,49.1,13.8,95.90
2015-16,Regular+Season,WAS,Washington Wizards,82,41,41,3951,102.9,103.4,-0.5,18.2,20.6,77.7,48.6,14.3,100.70
2015-16,Regular+Season,HOU,Houston Rockets,82,41,41,3966,105.5,105.3,0.2,16.5,25.7,72.8,49.1,15.8,100.20
2015-16,Regular+Season,UTA,Utah Jazz,82,40,42,3991,103.1,101.2,1.9,15.2,25.9,77.7,51.9,15.8,93.40
2015-16,Regular+Season,ORL,Orlando Magic,82,35,47,3981,102.6,104.2,-1.6,17.7,23.1,76.5,49.4,14.2,98.40
