SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
2015-16,Pre+Season,CHA,Charlotte Hornets,8,7,1,.875,384,48.0,0.372,14.0,20.6,44.1,0.238,13.6,20.4
2015-16,Pre+Season,BOS,Boston Celtics,7,6,1,.857,336,49.4,0.281,16.8,31.0,43.9,0.274,19.0,28.8
2015-16,Pre+Season,MEM,Memphis Grizzlies,7,6,1,.857,336,44.7,0.362,20.9,31.4,42.0,0.281,19.5,26.9
2015-16,Pre+Season,OKC,Oklahoma City Thunder,6,5,1,.833,288,55.2,0.276,19.3,33.7,45.6,0.318,17.0,27.9
2015-16,Pre+Season,SAC,Sacramento Kings,6,5,1,.833,293,48.6,0.377,17.4,27.7,47.7,0.245,19.2,28.8
2015-16,Pre+Season,ORL,Orlando Magic,8,6,2,.750,394,48.4,0.259,16.6,30.0,45.5,0.424,17.2,28.3
2015-16,Pre+Season,IND,Indiana Pacers,7,5,2,.714,336,47.4,0.356,12.8,28.1,47.4,0.255,16.1,28.8
2015-16,Pre+Season,TOR,Toronto Raptors,7,5,2,.714,336,46.1,0.361,16.2,33.1,48.5,0.310,19.5,23.7
2015-16,Pre+Season,NYK,New York Knicks,6,4,2,.667,288,48.0,0.241,16.3,24.5,45.0,0.303,17.0,28.1
2015-16,Pre+Season,PHX,Phoenix Suns,6,4,2,.667,293,48.5,0.243,17.4,30.4,45.7,0.386,20.1,32.4
2015-16,Pre+Season,ATL,Atlanta Hawks,7,4,3,.571,336,46.6,0.319,17.8,21.7,44.8,0.269,16.0,25.8
2015-16,Pre+Season,DEN,Denver Nuggets,7,4,3,.571,336,48.1,0.315,17.2,29.8,46.2,0.319,17.3,28.3
2015-16,Pre+Season,WAS,Washington Wizards,7,4,3,.571,336,52.2,0.317,15.1,25.4,48.6,0.307,17.1,28.7
2015-16,Pre+Season,CHI,Chicago Bulls,8,4,4,.500,384,47.2,0.265,15.1,32.7,49.5,0.385,11.9,22.7
2015-16,Pre+Season,Istanbul Fenerbahce Sports Club,Istanbul Fenerbahce Sports Club,2,1,1,.500,96,48.5,0.171,21.6,34.4,51.6,0.395,14.4,34.1
2015-16,Pre+Season,LAC,LA Clippers,6,3,3,.500,288,49.6,0.294,19.0,19.1,48.5,0.405,18.8,24.6
2015-16,Pre+Season,MIA,Miami Heat,8,4,4,.500,389,45.3,0.361,16.1,26.8,44.8,0.322,16.8,28.0
2015-16,Pre+Season,GSW,Golden State Warriors,7,3,4,.429,322,51.4,0.424,17.4,25.4,48.9,0.368,16.8,29.5
2015-16,Pre+Season,NOP,New Orleans Pelicans,7,3,4,.429,341,45.2,0.400,14.3,25.1,49.4,0.367,16.1,28.5
2015-16,Pre+Season,POR,Portland Trail Blazers,7,3,4,.429,346,49.6,0.265,18.1,29.4,47.7,0.350,16.3,25.0
2015-16,Pre+Season,UTA,Utah Jazz,7,3,4,.429,346,46.9,0.427,16.5,27.0,47.7,0.273,16.5,28.1
2015-16,Pre+Season,DET,Detroit Pistons,8,3,5,.375,384,51.1,0.273,16.0,30.5,48.0,0.283,17.8,27.1
2015-16,Pre+Season,HOU,Houston Rockets,8,3,5,.375,389,47.7,0.322,16.2,35.0,51.9,0.373,17.5,26.7
2015-16,Pre+Season,LAL,Los Angeles Lakers,8,3,5,.375,375,48.2,0.369,15.8,29.2,50.6,0.367,16.1,31.6
2015-16,Pre+Season,BKN,Brooklyn Nets,6,2,4,.333,288,46.7,0.368,17.8,28.6,50.1,0.292,19.4,27.9
2015-16,Pre+Season,MIL,Milwaukee Bucks,6,2,4,.333,288,49.7,0.353,18.4,30.0,46.0,0.452,14.4,30.5
2015-16,Pre+Season,SAS,San Antonio Spurs,6,2,4,.333,288,47.5,0.317,17.2,22.2,47.3,0.282,16.2,24.0
2015-16,Pre+Season,MIN,Minnesota Timberwolves,7,2,5,.286,336,47.4,0.404,17.7,25.4,54.4,0.334,18.2,33.1
2015-16,Pre+Season,PHI,Philadelphia 76ers,7,2,5,.286,336,44.9,0.387,20.4,24.7,49.4,0.328,18.7,25.8
2015-16,Pre+Season,CLE,Cleveland Cavaliers,7,1,6,.143,336,48.2,0.311,18.3,22.7,49.4,0.383,17.0,26.1
2015-16,Pre+Season,Bauru Paschoalotto/Bauru,Bauru Paschoalotto/Bauru,2,0,2,.000,96,47.0,0.214,20.9,32.1,59.6,0.352,15.9,28.9
2015-16,Pre+Season,DAL,Dallas Mavericks,7,0,7,.000,336,42.7,0.286,17.3,21.6,47.9,0.237,16.2,29.4
2015-16,Pre+Season,Flamengo Flamengo,Flamengo Flamengo,1,0,1,.000,48,37.2,0.256,19.6,25.5,52.7,0.257,19.4,25.0
2015-16,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,2,0,2,.000,96,42.2,0.235,17.6,25.5,56.8,0.396,23.3,44.4
2015-16,Pre+Season,Madrid Real Madrid,Madrid Real Madrid,1,0,1,.000,48,43.5,0.365,23.9,31.0,46.9,0.292,14.7,31.6
2015-16,Pre+Season,Milano Olimpia Milano,Milano Olimpia Milano,1,0,1,.000,48,50.0,0.193,22.4,32.0,61.0,0.354,14.3,-
2015-16,Regular+Season,GSW,Golden State Warriors,82,73,9,.890,3976,56.3,0.250,15.0,26.7,47.9,0.275,14.3,28.0
2015-16,Regular+Season,SAS,San Antonio Spurs,82,67,15,.817,3941,52.6,0.246,13.8,26.6,47.7,0.240,15.7,25.4
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,57,25,.695,3971,52.4,0.259,14.3,29.4,49.6,0.275,14.1,25.8
2015-16,Regular+Season,TOR,Toronto Raptors,82,56,26,.683,3956,50.4,0.328,13.9,30.0,49.8,0.269,14.2,26.4
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,55,27,.671,3966,52.4,0.292,16.2,34.7,48.4,0.271,13.3,28.0
2015-16,Regular+Season,LAC,LA Clippers,82,53,29,.646,3966,52.4,0.318,13.3,23.4,48.0,0.296,15.7,30.3
2015-16,Regular+Season,ATL,Atlanta Hawks,82,48,34,.585,3966,51.6,0.237,15.2,23.4,48.0,0.256,16.4,30.2
2015-16,Regular+Season,BOS,Boston Celtics,82,48,34,.585,3956,48.8,0.264,13.8,29.0,48.7,0.306,16.4,29.3
2015-16,Regular+Season,CHA,Charlotte Hornets,82,48,34,.585,3971,50.2,0.280,12.9,24.4,49.6,0.249,13.8,24.6
2015-16,Regular+Season,MIA,Miami Heat,82,48,34,.585,3966,50.8,0.282,14.8,28.0,48.5,0.255,13.6,27.1
2015-16,Regular+Season,IND,Indiana Pacers,82,45,37,.549,3976,49.7,0.268,15.1,27.1,48.9,0.273,16.1,28.6
2015-16,Regular+Season,DET,Detroit Pistons,82,44,38,.537,3976,49.1,0.296,14.0,31.3,50.4,0.250,13.9,24.7
2015-16,Regular+Season,POR,Portland Trail Blazers,82,44,38,.537,3961,51.1,0.268,15.0,29.4,50.3,0.307,13.6,27.2
2015-16,Regular+Season,CHI,Chicago Bulls,82,42,40,.512,3981,48.7,0.240,14.2,29.0,48.5,0.247,12.2,28.6
2015-16,Regular+Season,DAL,Dallas Mavericks,82,42,40,.512,4001,50.2,0.265,13.2,24.1,50.4,0.269,14.4,27.7
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,42,40,.512,3966,47.7,0.295,14.0,29.8,51.8,0.326,17.1,29.1
2015-16,Regular+Season,HOU,Houston Rockets,82,41,41,.500,3966,51.6,0.352,16.1,29.7,51.6,0.289,16.8,30.8
2015-16,Regular+Season,WAS,Washington Wizards,82,41,41,.500,3951,51.1,0.263,14.5,25.0,51.5,0.283,16.2,26.3
2015-16,Regular+Season,UTA,Utah Jazz,82,40,42,.488,3991,50.1,0.286,16.1,30.3,49.5,0.281,15.0,26.9
2015-16,Regular+Season,ORL,Orlando Magic,82,35,47,.427,3981,50.0,0.232,14.4,27.1,51.3,0.288,15.5,27.4
2015-16,Regular+Season,DEN,Denver Nuggets,82,33,49,.402,3966,48.9,0.282,15.1,30.4,51.5,0.284,14.1,26.8
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,33,49,.402,3966,49.9,0.276,15.9,28.6,51.0,0.288,16.2,31.1
