SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2015-16,Pre+Season,CHA,Charlotte Hornets,8,7,1,48.0,15.9,8.8,9.9,30.3,15.8,8.3,15.5,37.0
2015-16,Pre+Season,BOS,Boston Celtics,7,6,1,48.0,18.7,17.3,15.4,48.9,14.9,10.7,10.6,36.3
2015-16,Pre+Season,MEM,Memphis Grizzlies,7,6,1,48.0,16.1,11.6,7.7,32.6,21.0,7.1,16.3,30.6
2015-16,Pre+Season,ORL,Orlando Magic,8,6,2,49.3,20.3,15.1,14.0,40.8,16.4,10.8,9.8,30.5
2015-16,Pre+Season,IND,Indiana Pacers,7,5,2,48.0,19.3,12.6,14.1,37.4,13.0,13.0,11.7,36.9
2015-16,Pre+Season,OKC,Oklahoma City Thunder,6,5,1,48.0,18.3,17.2,16.0,46.3,20.3,12.5,12.0,40.3
2015-16,Pre+Season,SAC,Sacramento Kings,6,5,1,48.8,20.5,12.2,14.7,42.0,19.0,8.5,14.7,34.7
2015-16,Pre+Season,TOR,Toronto Raptors,7,5,2,48.0,20.1,12.9,10.7,40.0,14.9,9.7,10.6,35.4
2015-16,Pre+Season,ATL,Atlanta Hawks,7,4,3,48.0,16.6,6.4,17.9,34.6,19.4,9.7,14.3,32.9
2015-16,Pre+Season,CHI,Chicago Bulls,8,4,4,48.0,12.4,16.0,12.5,35.5,19.3,9.9,15.6,36.5
2015-16,Pre+Season,DEN,Denver Nuggets,7,4,3,48.0,20.7,15.3,15.3,42.6,18.4,12.9,15.7,38.3
2015-16,Pre+Season,MIA,Miami Heat,8,4,4,48.6,17.6,10.1,12.3,38.0,16.9,13.6,13.3,34.3
2015-16,Pre+Season,NYK,New York Knicks,6,4,2,48.0,18.8,10.0,15.3,34.3,12.8,15.3,12.0,41.0
2015-16,Pre+Season,PHX,Phoenix Suns,6,4,2,48.8,22.8,11.8,16.2,41.7,19.5,17.8,13.2,44.7
