SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2015-16,Pre+Season,CHA,Charlotte Hornets,8,7,1,48.0,34.5,85.0,40.6,6.0,24.1,24.9,14.1,20.3,69.8,8.5,37.3,45.8,21.8,13.4,8.9,4.0,3.0,24.0,18.6,89.1,-9.8
2015-16,Pre+Season,BOS,Boston Celtics,7,6,1,48.0,33.4,86.0,38.9,8.7,26.6,32.8,17.0,23.6,72.1,11.6,34.1,45.7,19.0,19.1,8.6,5.9,5.7,22.0,24.0,92.6,-11.7
2015-16,Pre+Season,MEM,Memphis Grizzlies,7,6,1,48.0,29.0,77.9,37.2,7.4,28.1,26.4,15.6,21.9,71.2,10.6,32.1,42.7,19.9,18.4,11.1,5.7,4.3,24.4,23.1,81.0,-7.9
2015-16,Pre+Season,ORL,Orlando Magic,8,6,2,49.3,31.3,78.5,39.8,8.9,29.6,30.0,24.5,33.3,73.7,10.0,34.8,44.8,20.4,16.9,7.6,4.5,4.6,21.0,27.5,95.9,-3.6
2015-16,Pre+Season,IND,Indiana Pacers,7,5,2,48.0,36.0,86.3,41.7,9.7,25.9,37.6,16.1,22.0,73.4,11.9,35.6,47.4,19.6,15.7,5.6,3.1,7.7,23.0,20.1,97.9,-4.6
2015-16,Pre+Season,OKC,Oklahoma City Thunder,6,5,1,48.0,34.7,81.8,42.4,5.3,20.8,25.6,19.0,26.0,73.1,10.0,26.3,36.3,17.7,16.5,10.3,4.0,6.0,21.2,22.5,93.7,-12.2
2015-16,Pre+Season,SAC,Sacramento Kings,6,5,1,48.8,36.5,86.3,42.3,9.3,27.3,34.1,15.5,21.2,73.2,12.5,34.5,47.0,19.3,19.7,9.7,4.0,5.5,27.8,19.3,97.8,-3.8
2015-16,Pre+Season,TOR,Toronto Raptors,7,5,2,48.0,32.3,74.1,43.5,7.3,22.3,32.7,17.0,23.0,73.9,7.9,29.9,37.7,21.3,18.1,6.6,5.4,3.9,24.1,23.7,88.9,-5.9
2015-16,Pre+Season,ATL,Atlanta Hawks,7,4,3,48.0,33.6,85.4,39.3,9.4,29.3,32.2,17.3,23.0,75.2,10.0,35.9,45.9,21.9,15.9,8.6,5.0,5.9,22.3,20.4,93.9,0.7
2015-16,Pre+Season,CHI,Chicago Bulls,8,4,4,48.0,36.5,81.8,44.6,8.0,22.1,36.2,23.9,31.5,75.8,8.5,34.5,43.0,20.6,11.6,9.0,3.1,3.6,20.6,24.8,104.9,3.5
2015-16,Pre+Season,DEN,Denver Nuggets,7,4,3,48.0,34.7,83.7,41.5,7.9,27.7,28.4,19.3,26.7,72.2,11.3,33.6,44.9,21.3,17.1,8.0,5.0,3.0,24.1,23.7,96.6,-3.4
2015-16,Pre+Season,MIA,Miami Heat,8,4,4,48.6,32.9,83.5,39.4,9.1,27.1,33.6,21.3,26.9,79.1,10.9,35.0,45.9,20.0,16.6,8.5,5.9,4.9,26.8,20.4,96.1,0.0
2015-16,Pre+Season,NYK,New York Knicks,6,4,2,48.0,34.8,85.3,40.8,7.2,27.2,26.4,17.2,25.8,66.5,11.8,36.0,47.8,18.3,17.2,7.3,4.2,6.2,21.2,23.0,94.0,-4.0
2015-16,Pre+Season,PHX,Phoenix Suns,6,4,2,48.8,35.0,83.7,41.8,6.5,24.0,27.1,22.7,32.3,70.1,13.8,34.2,48.0,18.2,20.7,10.3,4.8,4.7,22.3,26.2,99.2,-3.5
