SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
2015-16,pre-season,CHA,8,7,1,48.0,67.8,32.2,49.3,18.7,28.1,10.0,22.6,16.1,30.6,46.2,53.8,86.5,13.5,57.2,42.8
2015-16,pre-season,BOS,7,6,1,48.0,73.2,26.8,58.6,11.8,24.7,14.8,16.7,17.9,46.8,57.9,42.1,91.7,8.3,65.3,34.7
2015-16,pre-season,MEM,7,6,1,48.0,76.0,24.0,57.9,21.2,18.8,8.7,23.3,18.2,36.7,54.4,45.6,79.5,20.5,58.9,41.1
2015-16,pre-season,ORL,8,6,2,49.3,70.8,29.2,56.5,15.6,27.1,14.1,16.3,20.4,41.0,51.1,48.9,90.3,9.7,60.6,39.4
2015-16,pre-season,IND,7,5,2,48.0,70.7,29.3,56.6,20.1,21.3,13.8,22.0,18.8,36.5,42.9,57.1,86.3,13.7,51.6,48.4
2015-16,pre-season,OKC,6,5,1,48.0,70.0,30.0,59.2,15.4,26.0,15.1,14.8,17.3,43.8,49.5,50.5,83.6,16.4,57.2,42.8
2015-16,pre-season,SAC,6,5,1,48.8,68.4,31.6,56.1,14.8,22.1,14.4,21.8,20.2,41.3,52.0,48.0,82.2,17.8,58.3,41.7
2015-16,pre-season,TOR,7,5,2,48.0,74.0,26.0,55.8,13.6,21.7,11.3,22.5,21.3,42.2,42.2,57.8,85.4,14.6,51.1,48.9
2015-16,pre-season,ATL,7,4,3,48.0,67.9,32.1,51.2,14.1,27.1,19.2,21.6,17.8,37.1,52.7,47.3,89.8,10.2,62.4,37.6
2015-16,pre-season,CHI,8,4,4,48.0,67.7,32.3,52.5,17.5,30.3,12.3,17.1,12.2,35.0,44.1,55.9,89.0,11.0,56.6,43.4
2015-16,pre-season,DEN,7,4,3,48.0,72.6,27.4,58.0,15.4,23.1,15.3,18.9,20.7,42.6,49.8,50.2,81.5,18.5,56.4,43.6
2015-16,pre-season,MIA,8,4,4,48.6,72.6,27.4,56.7,17.2,20.7,12.7,22.6,18.3,39.5,50.9,49.1,96.2,3.8,59.8,40.2
2015-16,pre-season,NYK,6,4,2,48.0,75.1,24.9,59.9,24.8,24.0,15.6,16.2,19.2,35.0,52.8,47.2,87.2,12.8,60.1,39.9
2015-16,pre-season,PHX,6,4,2,48.8,69.7,30.3,56.5,15.9,28.2,15.7,15.3,22.2,40.6,54.6,45.4,81.0,19.0,61.2,38.8
2015-16,pre-season,WAS,7,4,3,48.0,71.1,28.9,58.0,15.8,22.9,19.3,19.1,18.3,42.2,59.6,40.4,90.0,10.0,66.0,34.0
2015-16,pre-season,DET,8,3,5,48.0,68.2,31.8,54.4,15.0,28.4,15.2,17.2,20.1,39.3,51.8,48.2,84.6,15.4,60.3,39.7
2015-16,pre-season,GSW,7,3,4,46.0,69.8,30.2,53.1,14.9,24.9,17.3,22.0,17.4,38.2,59.9,40.1,88.3,11.7,66.7,33.3
2015-16,pre-season,HOU,8,3,5,48.6,62.2,37.8,51.7,8.6,29.7,17.7,18.6,17.5,43.1,47.7,52.3,85.9,14.1,58.3,41.7
2015-16,pre-season,LAC,6,3,3,48.0,70.4,29.6,57.3,24.2,25.6,15.2,17.1,18.1,33.1,63.1,36.9,74.0,26.0,65.6,34.4
2015-16,pre-season,LAL,8,3,5,46.8,71.4,28.6,53.9,13.9,23.8,12.3,22.3,21.3,40.1,48.6,51.4,79.4,20.6,55.6,44.4
2015-16,pre-season,NOP,7,3,4,48.7,68.6,31.4,47.2,14.6,27.3,14.1,25.4,16.0,32.6,37.4,62.6,77.3,22.7,48.5,51.5
2015-16,pre-season,POR,7,3,4,49.4,65.6,34.4,52.7,16.5,30.9,13.9,16.3,17.2,36.3,42.2,57.8,88.0,12.0,55.1,44.9
2015-16,pre-season,UTA,7,3,4,49.4,74.5,25.5,56.1,12.0,19.7,14.6,24.1,19.2,44.2,43.8,56.3,82.2,17.8,51.1,48.9
2015-16,pre-season,BKN,6,2,4,48.0,73.2,26.8,52.6,16.4,23.5,9.7,23.9,20.1,36.2,52.6,47.4,82.6,17.4,59.5,40.5
2015-16,pre-season,MIL,6,2,4,48.0,74.3,25.7,59.9,17.8,19.7,13.2,20.4,14.8,42.1,49.5,50.5,87.5,12.5,56.3,43.7
2015-16,pre-season,MIN,7,2,5,48.0,74.0,26.0,51.7,17.4,23.4,12.6,24.9,19.5,34.2,58.1,41.9,94.2,5.8,66.5,33.5
2015-16,pre-season,PHI,7,2,5,48.0,62.7,37.3,49.9,9.0,27.4,15.8,22.7,24.5,41.0,47.9,52.1,82.0,18.0,57.0,43.0
2015-16,pre-season,SAS,6,2,4,48.0,74.2,25.8,57.9,21.0,21.8,14.6,20.2,17.1,36.9,52.8,47.2,85.4,14.6,59.3,40.7
2015-16,pre-season,CLE,7,1,6,48.0,61.5,38.5,48.4,14.8,31.8,10.1,19.8,16.0,33.6,56.9,43.1,92.9,7.1,67.8,32.2
2015-16,pre-season,-,2,1,1,48.0,70.7,29.3,56.0,20.9,31.3,4.4,12.6,13.2,35.2,60.8,39.2,89.5,10.5,68.6,31.4
2015-16,pre-season,-,2,0,2,48.0,51.2,48.8,47.5,13.3,39.8,7.2,12.7,15.5,34.3,46.5,53.5,75.0,25.0,56.7,43.3
2015-16,pre-season,DAL,7,0,7,48.0,67.3,32.7,58.1,17.9,21.1,18.2,20.8,21.7,40.3,56.0,44.0,79.5,20.5,60.6,39.4
2015-16,pre-season,-,1,0,1,48.0,52.6,47.4,46.6,13.7,32.9,2.7,20.5,16.4,32.9,82.4,17.6,75.0,25.0,80.0,20.0
2015-16,pre-season,-,2,0,2,48.0,63.3,36.7,55.1,19.2,28.7,16.2,16.2,30.5,35.9,60.9,39.1,100,0.0,71.0,29.0
2015-16,pre-season,-,1,0,1,48.0,56.5,43.5,45.8,18.8,31.3,9.4,22.9,8.3,27.1,50.0,50.0,80.0,20.0,59.4,40.6
2015-16,pre-season,-,1,0,1,48.0,68.7,31.3,61.5,17.6,29.7,14.3,8.8,12.1,44.0,39.3,60.7,77.8,22.2,48.6,51.4
2015-16,regular-season,GSW,82,73,9,48.5,63.8,36.2,51.2,12.4,34.3,18.2,14.5,14.8,38.8,62.6,37.4,80.1,19.9,68.0,32.0
2015-16,regular-season,SAS,82,67,15,48.1,77.7,22.3,64.1,22.0,20.1,10.0,15.8,15.5,42.1,54.9,45.1,90.5,9.5,61.1,38.9
2015-16,regular-season,CLE,82,57,25,48.4,64.8,35.2,53.6,14.3,30.9,11.4,15.6,15.6,39.3,48.1,51.9,86.3,13.7,58.7,41.3
2015-16,regular-season,TOR,82,56,26,48.2,71.3,28.7,54.6,13.6,25.2,10.7,20.2,16.3,41.0,40.0,60.0,87.0,13.0,51.1,48.9
2015-16,regular-season,OKC,82,55,27,48.4,72.5,27.5,59.6,16.4,22.5,15.7,17.9,13.7,43.3,50.8,49.2,75.8,24.2,55.8,44.2
2015-16,regular-season,LAC,82,53,29,48.4,67.6,32.4,54.7,18.6,27.9,12.3,17.4,16.2,36.1,52.6,47.4,80.2,19.8,59.6,40.4
2015-16,regular-season,ATL,82,48,34,48.4,66.4,33.6,55.8,13.6,29.0,14.3,15.2,18.0,42.2,58.2,41.8,89.6,10.4,66.3,33.7
2015-16,regular-season,BOS,82,48,34,48.2,70.7,29.3,57.7,14.2,24.8,15.4,17.5,17.8,43.4,54.6,45.4,85.9,14.1,61.6,38.4
2015-16,regular-season,CHA,82,48,34,48.4,65.2,34.8,51.0,14.7,30.9,10.7,18.1,15.4,36.3,48.2,51.8,84.2,15.8,58.6,41.4
2015-16,regular-season,MIA,82,48,34,48.4,77.9,22.1,64.7,18.2,18.2,11.1,17.1,14.8,46.4,47.0,53.0,92.8,7.2,54.3,45.7
2015-16,regular-season,IND,82,45,37,48.5,73.0,27.0,59.2,19.2,23.7,13.1,17.1,18.5,40.0,48.7,51.3,80.4,19.6,55.4,44.6
2015-16,regular-season,DET,82,44,38,48.5,69.7,30.3,56.7,14.1,26.6,10.9,16.7,15.1,42.7,42.2,57.8,80.3,19.7,51.2,48.8
2015-16,regular-season,POR,82,44,38,48.3,66.8,33.2,53.4,16.3,30.1,10.2,16.5,14.0,37.2,46.9,53.1,77.2,22.8,55.2,44.8
2015-16,regular-season,CHI,82,42,40,48.5,75.6,24.4,60.3,20.0,23.4,10.0,16.2,13.1,40.3,51.5,48.5,88.5,11.5,59.1,40.9
2015-16,regular-season,DAL,82,42,40,48.8,66.1,33.9,53.8,16.7,28.8,11.0,17.3,15.6,37.1,50.0,50.0,85.0,15.0,59.2,40.8
2015-16,regular-season,MEM,82,42,40,48.4,77.8,22.2,61.9,17.5,18.6,12.7,19.5,18.0,44.4,50.2,49.8,86.1,13.9,56.2,43.8
2015-16,regular-season,HOU,82,41,41,48.4,63.0,37.0,50.7,7.8,30.1,17.0,19.1,17.7,42.9,50.8,49.2,79.3,20.7,58.9,41.1
2015-16,regular-season,WAS,82,41,41,48.2,71.8,28.2,59.3,18.5,24.9,17.8,15.8,16.8,40.7,54.8,45.2,87.3,12.7,61.9,38.1
2015-16,regular-season,UTA,82,40,42,48.7,70.3,29.7,56.5,13.8,26.0,9.5,17.5,15.9,42.7,43.4,56.6,82.3,17.7,52.6,47.4
2015-16,regular-season,ORL,82,35,47,48.5,74.5,25.5,62.3,19.6,22.8,12.1,14.9,17.4,42.7,52.8,47.2,87.4,12.6,59.6,40.4
2015-16,regular-season,DEN,82,33,49,48.4,72.3,27.7,58.3,13.3,23.6,13.9,18.1,15.4,45.0,54.3,45.7,81.4,18.6,60.1,39.9
2015-16,regular-season,MIL,82,33,49,48.4,81.1,18.9,66.6,15.6,16.3,13.9,17.1,18.6,51.0,55.5,44.5,89.8,10.2,60.3,39.7
2015-16,regular-season,SAC,82,33,49,48.3,74.0,26.0,60.0,13.6,22.7,16.2,17.3,16.5,46.5,55.0,45.0,85.8,14.2,61.2,38.8
2015-16,regular-season,NYK,82,32,50,48.3,74.4,25.6,59.8,23.5,22.7,8.6,17.5,12.0,36.4,47.7,52.3,87.0,13.0,55.7,44.3
2015-16,regular-season,NOP,82,30,52,48.2,72.3,27.7,58.2,17.9,25.0,12.1,16.8,14.6,40.3,51.0,49.0,80.9,19.1,57.7,42.3
2015-16,regular-season,MIN,82,29,53,48.5,79.8,20.2,62.9,19.8,16.3,13.3,20.9,16.1,43.1,57.8,42.2,85.7,14.3,61.9,38.1
2015-16,regular-season,PHX,82,23,59,48.1,69.8,30.2,55.9,14.9,26.8,14.3,17.3,16.4,41.1,47.0,53.0,83.2,16.8,55.8,44.2
2015-16,regular-season,BKN,82,21,61,48.2,78.2,21.8,64.4,17.6,19.7,11.6,15.9,15.2,46.8,53.0,47.0,84.4,15.6,58.3,41.7
2015-16,regular-season,LAL,82,17,65,48.1,71.0,29.0,56.2,17.0,24.0,12.5,19.8,14.0,39.2,45.0,55.0,73.4,26.6,51.3,48.7
2015-16,regular-season,PHI,82,10,72,48.3,67.3,32.7,55.2,10.9,28.7,12.5,16.1,17.0,44.3,50.1,49.9,86.3,13.7,59.4,40.6
2015-16,playoffs,CLE,21,16,5,48.0,63.0,37.0,49.7,12.8,35.2,13.0,15.1,16.7,36.9,43.7,56.3,80.2,19.8,55.4,44.6
2015-16,playoffs,GSW,24,15,9,48.2,62.1,37.9,48.6,11.3,35.5,13.6,15.9,16.6,37.3,53.2,46.8,81.4,18.6,62.4,37.6
2015-16,playoffs,OKC,18,11,7,48.0,70.5,29.5,56.3,16.5,23.3,15.7,20.4,14.2,39.8,45.8,54.2,81.9,18.1,53.6,46.4
2015-16,playoffs,TOR,20,10,10,48.8,71.8,28.2,58.7,18.3,22.0,9.8,19.3,16.8,40.4,38.0,62.0,77.4,22.6,45.8,54.2
2015-16,playoffs,MIA,14,7,7,49.1,76.2,23.8,61.9,17.4,21.2,8.8,16.8,11.4,44.5,36.2,63.8,80.2,19.8,44.4,55.6
2015-16,playoffs,SAS,10,6,4,48.0,76.8,23.2,59.8,20.4,24.1,14.1,16.1,16.3,39.4,46.2,53.8,87.8,12.2,55.0,45.0
2015-16,playoffs,POR,11,5,6,48.5,64.9,35.1,48.0,13.5,34.0,13.6,18.0,11.7,34.5,51.6,48.4,71.8,28.2,58.1,41.9
2015-16,playoffs,ATL,10,4,6,48.5,62.5,37.5,51.9,8.8,31.8,12.1,16.3,14.0,43.2,51.2,48.8,87.7,12.3,61.7,38.3
2015-16,playoffs,CHA,7,3,4,48.0,76.9,23.1,57.9,12.3,19.0,6.5,23.1,14.2,45.6,36.6,63.4,70.0,30.0,42.6,57.4
