SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS
2015-16,All+Star,West NBA All Stars West,West NBA All Stars West,1,1,0,1.000,48.0,196.0,82.0,149.0,55.0,31.0,80.0,38.8,1.0,2.0,50.0,17.0,42.0,59.0,51.0,14.0,20.0,0.0,2.0,8.0,8.0,23.0
2015-16,All+Star,East NBA All Stars East,East NBA All Stars East,1,0,1,.000,48.0,173.0,75.0,137.0,54.7,20.0,59.0,33.9,3.0,5.0,60.0,15.0,42.0,57.0,34.0,24.0,11.0,2.0,0.0,8.0,8.0,-23.0
2016-17,All+Star,West NBA All Stars West,West NBA All Stars West,1,1,0,1.000,48.0,192.0,84.0,143.0,58.7,21.0,63.0,33.3,3.0,4.0,75.0,15.0,46.0,61.0,60.0,17.0,16.0,1.0,1.0,11.0,5.0,10.0
2016-17,All+Star,East NBA All Stars East,East NBA All Stars East,1,0,1,.000,48.0,182.0,78.0,137.0,56.9,22.0,59.0,37.3,4.0,4.0,100,10.0,40.0,50.0,43.0,19.0,17.0,1.0,1.0,5.0,11.0,-10.0
2017-18,Regular+Season,HOU,Houston Rockets,82,65,17,.793,48.2,112.4,38.7,84.2,46.0,15.3,42.3,36.2,19.6,25.1,78.1,9.0,34.5,43.5,21.5,13.8,8.5,4.8,4.4,19.5,20.4,8.5
2017-18,Regular+Season,TOR,Toronto Raptors,82,59,23,.720,48.4,111.7,41.3,87.4,47.2,11.8,33.0,35.8,17.3,21.8,79.4,9.8,34.2,44.0,24.3,13.4,7.6,6.1,4.9,21.7,19.9,7.8
2017-18,Regular+Season,GSW,Golden State Warriors,82,58,24,.707,48.1,113.5,42.8,85.1,50.3,11.3,28.9,39.1,16.6,20.3,81.5,8.4,35.1,43.5,29.3,15.4,8.0,7.5,3.7,19.6,18.5,6.0
2017-18,Regular+Season,BOS,Boston Celtics,82,55,27,.671,48.3,104.0,38.3,85.1,45.0,11.5,30.4,37.7,16.0,20.7,77.1,9.4,35.1,44.5,22.5,14.0,7.4,4.5,4.4,19.7,19.2,3.6
2017-18,Regular+Season,PHI,Philadelphia 76ers,82,52,30,.634,48.2,109.8,40.8,86.6,47.2,11.0,29.8,36.9,17.1,22.8,75.2,10.9,36.5,47.4,27.1,16.5,8.3,5.1,5.1,22.1,20.4,4.5
2017-18,Regular+Season,CLE,Cleveland Cavaliers,82,50,32,.610,48.1,110.9,40.4,84.8,47.6,12.0,32.1,37.2,18.1,23.3,77.9,8.5,33.7,42.1,23.4,13.7,7.1,3.8,4.1,18.6,20.7,0.9
