SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,W_PCT,TRAVEL,DOUBLE_DRIBBLE,DISCONTINUED_DRIBBLE,OFF_THREE_SEC,FIVE_SEC,EIGHT_SEC,SHOT_CLOCK,INBOUND,BACKCOURT,OFF_GOALTENDING,PALMING,OFF_FOUL,DEF_THREE_SEC,CHARGE,DELAY_OF_GAME,DEF_GOALTENDING,LANE,JUMP_BALL,KICKED_BALL
2015-16,Pre+Season,ATL,Atlanta Hawks,7,4,3,.571,5,0,1,2,0,0,2,0,0,0,0,1,3,7,2,0,1,0,6
2015-16,Pre+Season,Bauru Paschoalotto/Bauru,Bauru Paschoalotto/Bauru,2,0,2,.000,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2015-16,Pre+Season,BOS,Boston Celtics,7,6,1,.857,9,0,1,4,0,0,5,0,0,1,0,0,3,5,1,0,0,0,6
2015-16,Pre+Season,BKN,Brooklyn Nets,6,2,4,.333,3,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0,0,0,1
2015-16,Pre+Season,CHA,Charlotte Hornets,8,7,1,.875,10,0,0,0,0,0,1,0,0,0,3,0,1,0,1,3,0,0,7
2015-16,Pre+Season,CHI,Chicago Bulls,8,4,4,.500,7,1,1,2,0,0,3,0,1,1,0,0,3,4,1,0,1,0,7
2015-16,Pre+Season,CLE,Cleveland Cavaliers,7,1,6,.143,10,0,0,2,0,0,4,0,0,0,1,0,1,3,2,3,0,1,1
2015-16,Pre+Season,DAL,Dallas Mavericks,7,0,7,.000,6,1,0,1,0,0,7,0,2,1,1,0,3,1,1,0,0,0,5
2015-16,Pre+Season,DEN,Denver Nuggets,7,4,3,.571,8,0,2,5,0,0,3,0,2,2,0,0,5,6,2,4,0,0,3
2015-16,Pre+Season,DET,Detroit Pistons,8,3,5,.375,9,1,1,1,0,0,8,0,0,1,2,1,2,7,3,2,0,0,3
2015-16,Pre+Season,Flamengo Flamengo,Flamengo Flamengo,1,0,1,.000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2015-16,Pre+Season,GSW,Golden State Warriors,7,3,4,.429,4,0,0,1,0,0,3,0,1,0,2,0,5,3,0,0,0,0,2
2015-16,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,2,0,2,.000,4,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0
2015-16,Pre+Season,HOU,Houston Rockets,8,3,5,.375,13,0,0,2,0,0,5,0,1,0,0,0,2,10,4,5,0,0,1
2015-16,Pre+Season,IND,Indiana Pacers,7,5,2,.714,3,0,1,0,0,0,4,0,0,0,0,0,1,4,1,2,0,0,7
2015-16,Pre+Season,Istanbul Fenerbahce Sports Club,Istanbul Fenerbahce Sports Club,2,1,1,.500,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1
