SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,MIN,SCREEN_ASSISTS,SCREEN_AST_PTS,DEFLECTIONS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,CHARGES_DRAWN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,CONTESTED_SHOTS
2024-25,Playoffs,BOS,Boston Celtics,47.8,6.8,17.4,13.4,2.6,2.4,5.0,52.7,47.3,0.64,27.4,17.7,45.2
2024-25,Playoffs,CLE,Cleveland Cavaliers,47.8,11.3,27.0,16.6,2.3,3.1,5.4,42.9,57.1,0.11,20.9,14.3,35.2
2024-25,Playoffs,DEN,Denver Nuggets,47.7,9.1,21.2,13.6,2.0,2.2,4.2,47.5,52.5,0.07,19.8,13.7,33.5
2024-25,Playoffs,DET,Detroit Pistons,48.0,9.8,22.5,16.7,2.3,2.2,4.5,51.9,48.1,0.17,30.3,13.5,43.8
2024-25,Playoffs,GSW,Golden State Warriors,47.1,8.3,20.5,18.3,1.7,2.1,3.8,44.4,55.6,0.83,28.0,12.8,40.8
2024-25,Playoffs,HOU,Houston Rockets,47.6,6.4,16.0,16.9,2.6,2.7,5.3,48.6,51.4,0.00,18.9,18.6,37.4
2024-25,Playoffs,IND,Indiana Pacers,47.6,8.3,19.4,15.3,2.5,2.4,4.9,50.9,49.1,0.35,25.3,15.7,41.0
2024-25,Playoffs,LAC,LA Clippers,47.8,5.9,13.1,15.9,2.1,1.9,4.0,53.6,46.4,0.14,27.0,14.3,41.3
2024-25,Playoffs,LAL,Los Angeles Lakers,47.9,8.2,19.0,16.4,2.6,2.2,4.8,54.2,45.8,0.80,21.2,14.6,35.8
2024-25,Playoffs,MEM,Memphis Grizzlies,48.0,9.0,21.5,11.8,1.8,2.3,4.0,43.8,56.3,0.25,29.3,17.3,46.5
2024-25,Playoffs,MIA,Miami Heat,47.4,4.5,10.5,14.3,2.0,3.0,5.0,40.0,60.0,0.25,16.3,20.3,36.5
2024-25,Playoffs,MIL,Milwaukee Bucks,48.5,7.2,16.0,12.6,2.4,1.0,3.4,70.6,29.4,0.00,25.4,12.4,37.8
2024-25,Playoffs,MIN,Minnesota Timberwolves,47.6,6.3,15.6,16.4,2.2,1.9,4.1,54.1,45.9,0.07,22.3,15.6,37.9
2024-25,Playoffs,NYK,New York Knicks,48.1,9.4,21.5,16.8,2.7,2.1,4.8,55.8,44.2,0.67,22.3,16.1,38.4
2024-25,Playoffs,OKC,Oklahoma City Thunder,47.7,9.0,19.7,20.4,2.6,2.5,5.1,50.8,49.2,0.30,28.0,17.5,45.5
2024-25,Playoffs,ORL,Orlando Magic,47.4,8.4,18.2,12.2,3.0,2.4,5.4,55.6,44.4,0.00,19.6,15.8,35.4
2025-26,Regular+Season,ATL,Atlanta Hawks,48.0,7.3,17.1,19.3,2.8,2.9,5.7,49.1,50.9,0.18,27.1,16.6,43.7
