SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
2015-16,Pre+Season,ATL,Atlanta Hawks,13.4,25.4,52.8,1.9,5.3,35.1,2.3,6.0,38.1,4.6,14.0,32.7,8.3,24.9,33.3,3.0,9.1,32.8
2015-16,Pre+Season,Bauru Paschoalotto/Bauru,Bauru Paschoalotto/Bauru,18.0,25.5,70.6,3.0,6.5,46.2,2.5,6.0,41.7,7.5,16.0,46.9,6.0,12.0,50.0,5.5,14.5,37.9
2015-16,Pre+Season,BOS,Boston Celtics,15.1,29.0,52.2,2.4,7.3,33.3,2.6,8.1,31.6,3.4,10.9,31.6,6.0,18.3,32.8,3.9,11.1,34.6
2015-16,Pre+Season,BKN,Brooklyn Nets,16.8,29.0,58.0,3.0,10.0,30.0,2.8,6.8,41.5,2.8,7.2,39.5,5.3,13.7,39.0,5.0,13.8,36.1
2015-16,Pre+Season,CHA,Charlotte Hornets,15.5,25.5,60.8,2.1,7.1,29.8,2.3,5.3,42.9,6.8,18.1,37.2,4.4,14.8,29.7,3.5,13.5,25.9
2015-16,Pre+Season,CHI,Chicago Bulls,15.3,25.6,59.5,3.1,8.3,37.9,2.0,5.3,38.1,5.0,12.8,39.2,7.5,18.6,40.3,3.5,10.6,32.9
2015-16,Pre+Season,CLE,Cleveland Cavaliers,16.4,25.1,65.3,3.1,9.1,34.4,2.4,6.3,38.6,5.0,12.1,41.2,4.7,14.6,32.4,3.6,10.7,33.3
2015-16,Pre+Season,DAL,Dallas Mavericks,16.4,28.6,57.5,2.9,8.3,34.5,2.3,6.3,36.4,3.6,10.3,34.7,10.4,27.6,37.8,1.7,7.1,24.0
2015-16,Pre+Season,DEN,Denver Nuggets,17.0,27.0,63.0,1.1,6.0,19.0,3.1,7.4,42.3,4.3,11.3,38.0,5.7,21.6,26.5,3.4,10.0,34.3
2015-16,Pre+Season,DET,Detroit Pistons,12.6,23.9,52.9,3.1,9.8,32.1,3.0,8.9,33.8,6.3,13.5,46.3,5.3,12.1,43.3,4.3,11.8,36.2
2015-16,Pre+Season,Flamengo Flamengo,Flamengo Flamengo,16.0,22.0,72.7,5.0,8.0,62.5,4.0,8.0,50.0,4.0,12.0,33.3,2.0,9.0,22.2,5.0,14.0,35.7
