SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2015-16,Regular+Season,CHI,Chicago Bulls,82,82,20.7,8.3,18.5,45.1,45.4,20.1,8.2,18.0,45.7,0.6,0.1,0.5,22.7
2015-16,Regular+Season,IND,Indiana Pacers,82,82,21.2,7.9,18.0,44.0,44.1,20.8,7.9,17.7,44.6,0.4,0.0,0.3,11.1
2015-16,Regular+Season,ATL,Atlanta Hawks,82,82,19.9,7.8,17.2,45.2,45.4,19.5,7.7,16.7,45.9,0.5,0.1,0.4,17.6
2015-16,Regular+Season,POR,Portland Trail Blazers,82,82,20.0,7.8,16.9,46.4,46.5,19.6,7.8,16.6,47.1,0.4,0.1,0.4,13.3
2015-16,Regular+Season,BOS,Boston Celtics,81,81,19.8,7.8,16.9,46.6,46.8,19.4,7.8,16.5,47.0,0.4,0.1,0.3,25.0
2015-16,Regular+Season,GSW,Golden State Warriors,82,82,18.7,7.3,16.7,43.4,43.6,18.3,7.2,16.4,43.8,0.4,0.1,0.3,23.1
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,82,19.2,7.4,16.4,45.3,45.4,18.9,7.4,16.2,45.6,0.3,0.1,0.3,23.8
2015-16,Regular+Season,ORL,Orlando Magic,81,81,19.7,7.6,16.4,46.5,46.7,19.1,7.6,15.9,47.5,0.6,0.1,0.5,14.3
2015-16,Regular+Season,UTA,Utah Jazz,82,82,20.5,7.3,16.4,44.6,45.0,20.1,7.2,16.1,44.8,0.4,0.1,0.3,34.5
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,82,18.6,7.2,16.3,44.0,44.2,18.3,7.1,16.1,44.2,0.3,0.1,0.2,27.8
2015-16,Regular+Season,CHA,Charlotte Hornets,82,82,19.1,7.5,16.2,45.9,46.1,18.8,7.4,16.0,46.4,0.3,0.1,0.3,17.4
2015-16,Regular+Season,WAS,Washington Wizards,82,82,19.0,7.8,15.9,49.3,49.6,18.5,7.7,15.5,50.0,0.5,0.1,0.4,23.5
2015-16,Regular+Season,PHX,Phoenix Suns,82,82,18.7,7.5,15.7,48.1,48.4,18.1,7.4,15.2,49.0,0.6,0.1,0.5,21.1
2015-16,Regular+Season,DET,Detroit Pistons,82,82,18.6,7.2,15.7,45.7,46.2,18.0,7.0,15.2,46.3,0.6,0.1,0.5,29.3
2015-16,Regular+Season,MIA,Miami Heat,82,82,18.4,6.7,15.6,43.1,43.6,17.8,6.5,15.0,43.6,0.7,0.2,0.6,28.9
2015-16,Regular+Season,SAS,San Antonio Spurs,82,82,18.8,6.8,15.4,44.5,44.9,18.2,6.7,14.9,45.0,0.6,0.1,0.5,26.8
2015-16,Regular+Season,BKN,Brooklyn Nets,82,82,17.5,7.1,14.9,47.5,47.8,17.1,7.0,14.6,47.9,0.4,0.1,0.3,27.6
