SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2015-16,Playoffs,POR,Portland Trail Blazers,11,11,4.7,1.6,4.1,37.8,41.1,4.0,1.3,3.5,36.8,0.7,0.3,0.6,42.9
2015-16,Playoffs,DAL,Dallas Mavericks,5,5,4.8,1.6,4.0,40.0,45.0,3.1,1.2,2.6,46.2,1.7,0.4,1.4,28.6
2015-16,Playoffs,DET,Detroit Pistons,4,4,3.9,1.3,3.3,38.5,46.2,1.8,0.8,1.5,50.0,2.1,0.5,1.8,28.6
2015-16,Playoffs,HOU,Houston Rockets,5,5,3.8,1.6,3.2,50.0,50.0,3.3,1.6,2.8,57.1,0.5,0.0,0.4,0.0
2015-16,Playoffs,IND,Indiana Pacers,7,6,3.3,0.3,2.7,10.5,13.2,2.6,0.1,2.1,6.7,0.7,0.1,0.6,25.0
2015-16,Playoffs,CHA,Charlotte Hornets,7,6,2.8,0.9,2.3,37.5,37.5,2.8,0.9,2.3,37.5,0.0,0.0,0.0,-
2015-16,Playoffs,ATL,Atlanta Hawks,10,8,2.5,0.7,2.2,31.8,36.4,2.0,0.5,1.8,27.8,0.5,0.2,0.4,50.0
2015-16,Playoffs,MEM,Memphis Grizzlies,4,4,2.6,0.5,2.0,25.0,25.0,1.6,0.5,1.3,40.0,1.0,0.0,0.8,0.0
2015-16,Playoffs,LAC,LA Clippers,6,6,2.1,0.5,1.8,27.3,27.3,1.5,0.5,1.3,37.5,0.6,0.0,0.5,0.0
2015-16,Playoffs,CLE,Cleveland Cavaliers,21,17,2.3,0.6,1.8,31.6,32.9,1.7,0.5,1.3,39.3,0.6,0.1,0.5,10.0
2015-16,Playoffs,SAS,San Antonio Spurs,10,9,2.2,0.7,1.8,38.9,38.9,2.1,0.7,1.7,41.2,0.1,0.0,0.1,0.0
2015-16,Playoffs,TOR,Toronto Raptors,20,18,2.3,0.6,1.8,33.3,34.7,1.7,0.6,1.3,42.3,0.6,0.1,0.5,10.0
2015-16,Playoffs,MIA,Miami Heat,14,12,2.1,0.5,1.7,29.2,31.3,1.9,0.4,1.6,27.3,0.2,0.1,0.1,50.0
2015-16,Playoffs,BOS,Boston Celtics,6,4,1.9,0.3,1.7,20.0,20.0,1.3,0.3,1.2,28.6,0.6,0.0,0.5,0.0
