SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2018-19,Playoffs,LAC,LA Clippers,6,6,53.3,24.5,47.3,51.8,60.9,26.8,15.8,23.8,66.4,26.5,8.7,23.5,36.9
2018-19,Playoffs,HOU,Houston Rockets,11,11,49.6,18.9,43.0,44.0,52.7,20.9,11.4,18.1,62.8,28.8,7.5,24.9,30.3
2018-19,Playoffs,BKN,Brooklyn Nets,5,5,45.4,20.6,42.2,48.8,57.3,23.0,13.4,21.4,62.6,22.4,7.2,20.8,34.6
2018-19,Playoffs,MIL,Milwaukee Bucks,15,15,46.6,17.6,41.9,42.0,53.7,16.3,7.8,14.7,53.2,30.3,9.8,27.3,35.9
2018-19,Playoffs,TOR,Toronto Raptors,24,24,49.1,17.5,40.9,42.8,53.2,18.5,9.0,15.4,58.4,30.6,8.5,25.5,33.4
2018-19,Playoffs,BOS,Boston Celtics,9,9,45.6,16.1,40.0,40.3,51.3,15.6,7.3,13.7,53.7,30.0,8.8,26.3,33.3
2018-19,Playoffs,POR,Portland Trail Blazers,16,16,43.8,18.2,39.3,46.3,55.3,20.4,11.2,18.3,61.1,23.4,7.0,20.9,33.4
2018-19,Playoffs,ORL,Orlando Magic,5,5,46.0,18.8,38.8,48.5,61.3,15.6,8.8,13.2,66.7,30.3,10.0,25.6,39.1
2018-19,Playoffs,DET,Detroit Pistons,4,4,44.1,19.8,38.0,52.0,63.5,18.6,11.0,16.0,68.8,25.5,8.8,22.0,39.8
2018-19,Playoffs,GSW,Golden State Warriors,22,22,43.8,18.0,37.6,47.8,59.4,16.5,9.3,14.1,65.6,27.4,8.7,23.5,37.1
2018-19,Playoffs,PHI,Philadelphia 76ers,12,12,42.5,14.7,36.8,39.9,48.0,17.6,8.8,15.2,57.7,25.0,5.9,21.6,27.4
2018-19,Playoffs,OKC,Oklahoma City Thunder,5,5,38.4,16.2,34.2,47.4,57.0,19.1,9.6,17.0,56.5,19.3,6.6,17.2,38.4
2018-19,Playoffs,IND,Indiana Pacers,4,4,41.9,15.0,33.5,44.8,57.1,15.3,6.8,12.3,55.1,26.6,8.3,21.3,38.8
2018-19,Playoffs,SAS,San Antonio Spurs,7,7,38.4,15.0,33.4,44.9,55.1,15.9,8.1,13.9,58.8,22.5,6.9,19.6,35.0
2018-19,Playoffs,UTA,Utah Jazz,5,5,39.4,16.2,33.2,48.8,61.1,13.5,8.0,11.4,70.2,25.9,8.2,21.8,37.6
2018-19,Playoffs,DEN,Denver Nuggets,14,14,35.0,14.6,31.1,46.8,56.5,16.5,8.5,14.7,57.8,18.5,6.1,16.4,37.0
2019-20,PlayIn,MEM,Memphis Grizzlies,1,1,45.2,14.0,38.0,36.8,46.1,17.9,7.0,15.0,46.7,27.4,7.0,23.0,30.4
2019-20,PlayIn,POR,Portland Trail Blazers,1,1,34.8,18.0,32.0,56.3,67.2,18.5,11.0,17.0,64.7,16.3,7.0,15.0,46.7
2020-21,PlayIn,CHA,Charlotte Hornets,1,1,45.7,29.0,48.0,60.4,74.0,22.9,16.0,24.0,66.7,22.9,13.0,24.0,54.2
2020-21,PlayIn,GSW,Golden State Warriors,2,2,47.6,23.0,45.0,51.1,63.9,21.2,11.5,20.0,57.5,26.5,11.5,25.0,46.0
