SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2016-17,Regular+Season,BKN,Brooklyn Nets,81,81,100,41.6,90.8,45.8,51.3,69.9,31.6,63.5,49.8,30.1,10.0,27.3,36.5
2016-17,Regular+Season,GSW,Golden State Warriors,82,82,100,38.8,89.2,43.5,48.6,68.9,29.8,61.4,48.5,31.1,9.0,27.8,32.4
2016-17,Regular+Season,NOP,New Orleans Pelicans,82,82,100,40.1,89.0,45.0,50.9,66.5,29.6,59.2,49.9,33.5,10.5,29.8,35.3
2016-17,Regular+Season,CLE,Cleveland Cavaliers,82,82,100,40.6,88.8,45.8,51.6,67.7,30.3,60.1,50.4,32.3,10.4,28.7,36.1
2016-17,Regular+Season,HOU,Houston Rockets,82,82,100,41.1,88.8,46.3,52.0,67.2,31.1,59.6,52.2,32.8,10.0,29.1,34.4
2016-17,Regular+Season,DEN,Denver Nuggets,81,81,100,42.0,88.2,47.6,53.2,70.3,32.2,62.0,51.9,29.7,9.8,26.2,37.5
2016-17,Regular+Season,NYK,New York Knicks,82,82,100,39.7,87.3,45.5,51.1,67.7,29.9,59.1,50.6,32.3,9.8,28.2,34.8
2016-17,Regular+Season,ATL,Atlanta Hawks,82,82,100,38.7,87.2,44.4,50.6,65.0,27.8,56.7,49.1,35.0,10.9,30.5,35.7
2016-17,Regular+Season,CHI,Chicago Bulls,82,82,100,39.5,86.6,45.6,50.7,70.1,30.6,60.7,50.3,29.9,8.9,25.9,34.5
2016-17,Regular+Season,CHA,Charlotte Hornets,82,82,100,39.5,86.5,45.6,52.3,63.7,27.9,55.1,50.6,36.3,11.6,31.4,36.9
2016-17,Regular+Season,PHX,Phoenix Suns,80,80,100,40.2,86.2,46.6,52.4,69.5,30.2,60.0,50.4,30.5,10.0,26.3,38.1
2016-17,Regular+Season,ORL,Orlando Magic,82,82,100,40.2,86.2,46.7,52.3,69.5,30.6,59.9,51.0,30.5,9.7,26.3,36.8
2016-17,Regular+Season,POR,Portland Trail Blazers,82,82,100,39.1,86.1,45.4,50.8,70.9,29.9,61.1,48.9,29.1,9.3,25.1,37.0
2016-17,Regular+Season,LAL,Los Angeles Lakers,82,82,100,41.5,86.0,48.3,54.2,68.2,31.4,58.6,53.6,31.8,10.1,27.4,37.0
2016-17,Regular+Season,PHI,Philadelphia 76ers,82,82,100,39.6,85.9,46.1,51.2,71.0,30.7,61.0,50.3,29.0,8.9,24.9,35.7
2016-17,Regular+Season,BOS,Boston Celtics,82,82,100,38.6,85.8,45.0,50.3,68.5,29.7,58.8,50.5,31.5,9.0,27.0,33.2
2016-17,Regular+Season,LAC,LA Clippers,82,82,100,38.6,85.3,45.2,50.6,69.2,29.4,59.1,49.7,30.8,9.2,26.3,35.0
2016-17,Regular+Season,OKC,Oklahoma City Thunder,82,82,100,39.1,85.2,45.9,51.1,70.9,30.3,60.3,50.2,29.1,8.8,24.8,35.6
2016-17,Regular+Season,WAS,Washington Wizards,82,82,100,39.6,85.0,46.6,52.4,68.1,29.8,57.9,51.4,31.9,9.9,27.1,36.4
2016-17,Regular+Season,MIA,Miami Heat,82,82,100,37.9,84.2,45.0,49.6,73.0,30.1,61.5,49.0,27.0,7.8,22.7,34.3
2016-17,Regular+Season,IND,Indiana Pacers,81,81,100,37.8,84.2,44.9,51.0,65.4,27.5,55.1,49.9,34.6,10.3,29.1,35.4
2016-17,Regular+Season,SAS,San Antonio Spurs,81,81,100,36.9,83.3,44.3,49.2,71.5,28.8,59.6,48.3,28.5,8.2,23.7,34.4
2016-17,Regular+Season,MIN,Minnesota Timberwolves,82,82,100,39.6,83.3,47.5,53.5,67.6,29.7,56.3,52.7,32.4,9.9,27.0,36.6
2016-17,Regular+Season,DET,Detroit Pistons,82,82,100,38.3,83.3,46.0,51.7,69.3,29.0,57.7,50.2,30.7,9.3,25.6,36.6
2016-17,Regular+Season,SAC,Sacramento Kings,82,82,100,38.4,83.2,46.2,52.8,63.9,27.5,53.2,51.8,36.1,10.9,30.0,36.4
2016-17,Regular+Season,MIL,Milwaukee Bucks,82,82,100,37.9,82.8,45.8,51.8,66.0,28.0,54.6,51.2,34.0,9.9,28.1,35.3
2016-17,Regular+Season,TOR,Toronto Raptors,81,81,100,37.2,82.8,44.9,50.8,67.1,27.5,55.6,49.5,32.9,9.7,27.2,35.6
2016-17,Regular+Season,UTA,Utah Jazz,82,82,100,36.3,81.9,44.3,49.3,72.1,28.1,59.1,47.6,27.9,8.2,22.8,35.8
2016-17,Regular+Season,DAL,Dallas Mavericks,81,81,100,37.0,79.0,46.8,52.9,67.9,27.4,53.6,51.1,32.1,9.6,25.4,37.8
2016-17,Regular+Season,MEM,Memphis Grizzlies,82,82,100,34.9,78.8,44.3,50.6,64.4,25.0,50.8,49.2,35.6,9.9,28.0,35.4
2021-22,Playoffs,MIN,Minnesota Timberwolves,6,6,100,39.8,88.0,45.3,51.8,63.8,28.3,56.2,50.4,36.2,11.5,31.8,36.1
2021-22,Playoffs,MIL,Milwaukee Bucks,12,12,100,36.6,86.9,42.1,49.9,54.4,23.1,47.3,48.9,45.6,13.5,39.7,34.0
