SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2017-18,Playoffs,MIA,Miami Heat,5,5,8.5,4.2,7.4,56.8,59.5,6.9,3.8,6.0,63.3,1.6,0.4,1.4,28.6
2017-18,Playoffs,WAS,Washington Wizards,6,6,6.4,3.0,5.3,56.3,56.3,6.0,3.0,5.0,60.0,0.4,0.0,0.3,0.0
2017-18,Playoffs,SAS,San Antonio Spurs,5,5,6.3,2.4,5.2,46.2,51.9,5.1,1.8,4.2,42.9,1.2,0.6,1.0,60.0
2017-18,Playoffs,OKC,Oklahoma City Thunder,6,6,6.0,3.0,5.0,60.0,60.0,6.0,3.0,5.0,60.0,0.0,0.0,0.0,-
2017-18,Playoffs,NOP,New Orleans Pelicans,9,9,5.4,3.0,5.0,60.0,63.3,4.6,2.7,4.2,63.2,0.8,0.3,0.8,42.9
2017-18,Playoffs,GSW,Golden State Warriors,21,19,5.1,2.8,4.5,62.8,64.9,4.3,2.6,3.7,70.5,0.9,0.2,0.8,25.0
2017-18,Playoffs,MIL,Milwaukee Bucks,7,6,5.0,2.3,4.1,55.2,58.6,4.3,2.0,3.6,56.0,0.7,0.3,0.6,50.0
2017-18,Playoffs,PHI,Philadelphia 76ers,10,10,4.9,2.1,4.1,51.2,53.7,4.2,1.9,3.5,54.3,0.7,0.2,0.6,33.3
2017-18,Playoffs,CLE,Cleveland Cavaliers,22,22,4.8,2.4,3.9,60.5,64.0,4.3,2.1,3.5,59.7,0.5,0.3,0.4,66.7
2017-18,Playoffs,POR,Portland Trail Blazers,4,4,4.5,2.3,3.8,60.0,60.0,4.2,2.3,3.5,64.3,0.3,0.0,0.3,0.0
2017-18,Playoffs,BOS,Boston Celtics,19,19,4.5,2.4,3.7,64.3,67.9,3.9,2.1,3.2,65.6,0.6,0.3,0.5,55.6
2017-18,Playoffs,TOR,Toronto Raptors,10,9,4.0,1.7,3.4,50.0,55.9,2.8,1.3,2.4,54.2,1.2,0.4,1.0,40.0
2017-18,Playoffs,MIN,Minnesota Timberwolves,5,5,3.9,1.6,3.4,47.1,50.0,3.4,1.4,3.0,46.7,0.5,0.2,0.4,50.0
2017-18,Playoffs,HOU,Houston Rockets,17,17,4.0,1.8,3.3,55.4,58.9,3.5,1.6,2.9,55.1,0.5,0.2,0.4,57.1
2017-18,Playoffs,IND,Indiana Pacers,7,7,3.9,1.4,3.0,47.6,54.8,2.3,1.0,1.7,58.3,1.7,0.4,1.3,33.3
2017-18,Playoffs,UTA,Utah Jazz,11,11,3.1,1.6,2.7,56.7,60.0,2.8,1.4,2.5,55.6,0.3,0.2,0.3,66.7
2019-20,IST,TOR,Toronto Raptors,1,1,3.9,1.0,4.0,25.0,25.0,3.9,1.0,4.0,25.0,0.0,0.0,0.0,-
2019-20,IST,NOP,New Orleans Pelicans,1,1,1.9,1.0,2.0,50.0,50.0,1.9,1.0,2.0,50.0,0.0,0.0,0.0,-
2020-21,PlayIn,BOS,Boston Celtics,1,1,6.5,3.0,6.0,50.0,50.0,6.5,3.0,6.0,50.0,0.0,0.0,0.0,-
2020-21,PlayIn,CHA,Charlotte Hornets,1,1,5.7,3.0,6.0,50.0,50.0,5.7,3.0,6.0,50.0,0.0,0.0,0.0,-
2020-21,PlayIn,IND,Indiana Pacers,2,2,3.7,3.0,3.5,85.7,85.7,3.7,3.0,3.5,85.7,0.0,0.0,0.0,-
2020-21,PlayIn,WAS,Washington Wizards,2,2,3.6,2.0,3.5,57.1,57.1,3.6,2.0,3.5,57.1,0.0,0.0,0.0,-
2020-21,PlayIn,SAS,San Antonio Spurs,1,1,3.3,2.0,3.0,66.7,66.7,3.3,2.0,3.0,66.7,0.0,0.0,0.0,-
2020-21,PlayIn,MEM,Memphis Grizzlies,2,2,3.1,1.5,3.0,50.0,50.0,2.1,1.5,2.0,75.0,1.0,0.0,1.0,0.0
2020-21,PlayIn,LAL,Los Angeles Lakers,1,1,2.4,2.0,2.0,100,100,2.4,2.0,2.0,100,0.0,0.0,0.0,-
2020-21,PlayIn,GSW,Golden State Warriors,2,2,2.1,1.0,2.0,50.0,50.0,2.1,1.0,2.0,50.0,0.0,0.0,0.0,-
